Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Pricelandratio,
Brunswick,h,825000,16/04/2016,5.2,4,3,2,443,,1877,Port Phillip City Council,-37.83524,144.95211,Southern Metropolitan,5943,144,4153.498871, ,460000,968421.0526,5729.166667,BRUNSWICK,,,
Brunswick,h,860000,16/04/2016,5.2,2,2,1,0,96,1880,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204,141, ,5052.083333,242500,62179.48718,6099.29078,BRUNSWICK,,,
Brunswick,h,1261000,16/04/2016,5.2,3,1,0,183,104,1880,Yarra City Council,-37.7948,144.9875,Northern Metropolitan,4553,141,5874.31694,10336.53846,358333.3333,671875,8943.262411,BRUNSWICK,,,
Brunswick,h,1045000,16/04/2016,5.2,3,2,1,140,169,1880,Melbourne City Council,-37.8353,144.9442,Southern Metropolitan,8648,141,11928.57143,9881.656805,556666.6667,439473.6842,7411.347518,BRUNSWICK,,,
Brunswick West,h,711000,16/04/2016,5.9,3,1,2,240,84,1880,Maribyrnong City Council,-37.8202,144.8896,Western Metropolitan,6543,141,3958.333333,11309.52381,316666.6667,135714.2857,5042.553191,BRUNSWICK WEST,,,
Bulleen,h,1000000,16/04/2016,11.8,4,2,1,153,180,1880,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280,141,15032.67974,12777.77778,575000,696969.697,7092.198582,BULLEEN,,,
Burwood,h,1350000,16/04/2016,11.7,3,2,2,426,,1880,Moreland City Council,-37.7759,144.9578,Northern Metropolitan,11918,141,3075.117371, ,436666.6667,251923.0769,9574.468085,BURWOOD,,,
Carlton North,h,2520000,16/04/2016,3.2,2,1,1,215,,1880,Moreland City Council,-37.7722,144.9637,Northern Metropolitan,11918,141,4051.162791, ,435500,167500,17872.34043,CARLTON NORTH,,,
Carnegie,h,817500,16/04/2016,11.4,3,2,1,132,165,1880,Yarra City Council,-37.8004,144.9768,Northern Metropolitan,5825,141,12272.72727,9818.181818,540000,1012500,5797.87234,CARNEGIE,,,
Carnegie,h,1450000,16/04/2016,11.4,2,1,1,199,120,1880,Moreland City Council,-37.759,144.9597,Northern Metropolitan,11918,141,3844.221106,6375,382500,147115.3846,10283.68794,CARNEGIE,,,
Carnegie,t,855000,16/04/2016,11.4,2,1,1,155,85,1880,Yarra City Council,-37.7934,144.9922,Northern Metropolitan,2954,141,5032.258065,9176.470588,390000,229411.7647,6063.829787,CARNEGIE,,,
Carnegie,h,675000,16/04/2016,11.4,3,1,0,153,109,1880,Melbourne City Council,-37.8382,144.9469,Southern Metropolitan,8648,141,9607.843137,13486.23853,490000,386842.1053,4787.234043,CARNEGIE,,,
Caulfield South,h,825000,16/04/2016,9.3,3,1,1,181,117,1880,Port Phillip City Council,-37.8365,144.9631,Southern Metropolitan,5943,141,7762.430939,12008.54701,468333.3333,669047.619,5851.06383,CAULFIELD SOUTH,,,
Caulfield South,h,1262000,16/04/2016,9.3,3,3,2,265,280,1880,Melbourne City Council,-37.8073,144.9481,Northern Metropolitan,2230,141,8943.396226,8464.285714,790000,1247368.421,8950.35461,CAULFIELD SOUTH,,,
Coburg,h,865000,16/04/2016,7.8,2,1,1,261,100,1880,Maribyrnong City Council,-37.8157,144.887,Western Metropolitan,6543,141,3279.693487,8560,428000,122285.7143,6134.751773,COBURG,,,
Coburg,u,485000,16/04/2016,7.8,3,2,1,183,145,1880,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280,141,11693.98907,14758.62069,713333.3333,648484.8485,3439.716312,COBURG,,,
Collingwood,h,1075000,16/04/2016,1.6,3,1,0,118,118,1880,Yarra City Council,-37.7921,144.9858,Northern Metropolitan,2954,141,11525.42373,11525.42373,453333.3333,400000,7624.113475,COLLINGWOOD,,,
Doncaster,h,1485000,16/04/2016,13.9,3,2,1,151,165,1880,Port Phillip City Council,-37.847,144.9594,Southern Metropolitan,2019,141,9933.774834,9090.909091,500000,365853.6585,10531.91489,DONCASTER,,,
Doncaster,h,1190000,16/04/2016,13.9,3,2,2,222,,1880,Moonee Valley City Council,-37.7688,144.9291,Western Metropolitan,6232,141,7581.081081, ,561000,243913.0435,8439.716312,DONCASTER,,,
Elsternwick,t,1071000,16/04/2016,8.5,3,2,1,113,110,1880,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019,141,10619.46903,10909.09091,400000,480000,7595.744681,ELSTERNWICK,,,
Elsternwick,h,1800000,16/04/2016,8.5,4,2,2,436,211,1880,Port Phillip City Council,-37.8629,144.9887,Southern Metropolitan,13240,141,4472.477064,9241.706161,487500,319672.1311,12765.95745,ELSTERNWICK,,,
Elsternwick,h,2345000,16/04/2016,8.5,4,1,2,146,,1880,Melbourne City Council,-37.8343,144.9452,Southern Metropolitan,8648,141,10287.67123, ,375500,395263.1579,16631.20567,ELSTERNWICK,,,
Elsternwick,u,741000,16/04/2016,8.5,4,2,2,527,184,1880,Glen Eira City Council,-37.883,145.0043,Southern Metropolitan,4898,141,4933.586338,14130.43478,650000,305882.3529,5255.319149,ELSTERNWICK,,,
Elwood,h,1700000,16/04/2016,7.7,3,2,2,662,,1880,Bayside City Council,-37.9384,145.0002,Southern Metropolitan,5454,141,3685.045317, ,813166.6667,178065.6934,12056.73759,ELWOOD,,,
Elwood,u,686000,16/04/2016,7.7,2,1,1,111,73,1880,Melbourne City Council,-37.8044,144.9481,Northern Metropolitan,6821,141,7972.972973,12123.28767,442500,384782.6087,4865.248227,ELWOOD,,,
Elwood,u,560000,16/04/2016,7.7,2,1,0,104,70,1880,Moreland City Council,-37.7927,144.9796,Northern Metropolitan,6244,141,8269.230769,12285.71429,430000,245714.2857,3971.631206,ELWOOD,,,
Elwood,u,765000,16/04/2016,7.7,4,3,4,310,276,1880,Melbourne City Council,-37.7958,144.944,Northern Metropolitan,6821,141,9419.354839,10579.71014,730000,1269565.217,5425.531915,ELWOOD,,,
Essendon,h,1575000,16/04/2016,8,4,2,2,447,,1880,Moonee Valley City Council,-37.7704,144.9199,Western Metropolitan,6232,141,3020.134228, ,337500,195652.1739,11170.21277,ESSENDON,,,
Essendon,u,280000,16/04/2016,8,3,2,2,324,165,1880,Yarra City Council,-37.8278,144.9885,Northern Metropolitan,1123,141,4552.469136,8939.393939,491666.6667,590000,1985.815603,ESSENDON,,,
Essendon,h,1467000,16/04/2016,8,3,2,0,357,,1880,Moreland City Council,-37.7778,144.9824,Northern Metropolitan,6244,141,4789.915966, ,570000,488571.4286,10404.25532,ESSENDON,,,
Essendon,h,890000,16/04/2016,8,3,2,2,324,165,1880,Yarra City Council,-37.8278,144.9885,Northern Metropolitan,1123,141,3950.617284,7757.575758,426666.6667,512000,6312.056738,ESSENDON,,,
Fitzroy North,h,1275000,16/04/2016,3.5,4,2,0,292,272,1880,Melbourne City Council,-37.8377,144.9894,Southern Metropolitan,14887,141,19520.54795,20955.88235,1425000,1727272.727,9042.553191,FITZROY NORTH,,,
Footscray,u,375000,16/04/2016,6.4,3,2,2,350,,1880,Melbourne City Council,-37.8451,145.0019,Southern Metropolitan,14887,141,8200, ,956666.6667,869696.9697,2659.574468,FOOTSCRAY,,,
Footscray,u,615000,16/04/2016,6.4,2,1,2,159,86,1880,Yarra City Council,-37.7962,144.9887,Northern Metropolitan,4553,141,6289.308176,11627.90698,500000,625000,4361.702128,FOOTSCRAY,,,
Glenroy,h,525000,16/04/2016,13,2,1,0,96,71,1880,Stonnington City Council,-37.8501,144.9953,Southern Metropolitan,7717,141,8489.583333,11478.87324,407500,181111.1111,3723.404255,GLENROY,,,
Gowanbrae,h,485000,16/04/2016,13.6,3,1,1,309,,1880,Darebin City Council,-37.7434,144.9697,Northern Metropolitan,11204,141,3187.702265, ,328333.3333,126282.0513,3439.716312,GOWANBRAE,,,
Hadfield,t,510000,16/04/2016,12.1,4,1,3,765,257,1880,Hobsons Bay City Council,-37.8621,144.8999,Western Metropolitan,6380,141,2947.712418,8774.319066,563750,281875,3617.021277,HADFIELD,,,
Hughesdale,u,455000,16/04/2016,13,3,2,1,177,181,1880,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280,141,14774.0113,14447.51381,871666.6667,792424.2424,3226.950355,HUGHESDALE,,,
Keilor East,h,835000,16/04/2016,12.8,1,1,1,818,50,1880,Melbourne City Council,-37.788,144.9306,Northern Metropolitan,3593,141,482.8850856,7900,395000,89772.72727,5921.985816,KEILOR EAST,,,
Keilor East,t,705000,16/04/2016,12.8,2,1,1,0,97,1880,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553,141, ,9381.443299,455000,568750,5000,KEILOR EAST,,,
Kensington,t,812000,16/04/2016,4.2,3,2,1,287,196,1880,Moonee Valley City Council,-37.7698,144.9214,Western Metropolitan,6232,141,5017.421603,7346.938776,480000,208695.6522,5758.865248,KENSINGTON,,,
Kensington,h,1900000,16/04/2016,4.2,3,2,2,176,192,1880,Port Phillip City Council,-37.8641,144.9739,Southern Metropolitan,13240,141,11363.63636,10416.66667,666666.6667,327868.8525,13475.1773,KENSINGTON,,,
Maidstone,u,349000,16/04/2016,9.2,4,1,1,0,163,1880,Hobsons Bay City Council,-37.8423,144.8795,Western Metropolitan,5498,141, ,6840.490798,278750,132738.0952,2475.177305,MAIDSTONE,,,
Malvern,h,1437000,16/04/2016,7.4,4,2,2,141,127,1880,Melbourne City Council,-37.8366,144.9827,Southern Metropolitan,14887,141,18439.71631,20472.44094,650000,787878.7879,10191.48936,MALVERN,,,
Malvern East,h,1915000,16/04/2016,11.2,2,1,0,101,60,1880,Melbourne City Council,-37.7989,144.9713,Northern Metropolitan,6786,141,10000,16833.33333,505000,561111.1111,13581.56028,MALVERN EAST,,,
Malvern East,h,1690000,16/04/2016,11.2,5,4,4,1276,,1880,Bayside City Council,-37.9164,144.9974,Southern Metropolitan,10579,141,4545.454545, ,1160000,517857.1429,11985.8156,MALVERN EAST,,,
Maribyrnong,t,865000,16/04/2016,8.7,2,1,1,15900,98,1880,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553,141,59.43396226,9642.857143,472500,590625,6134.751773,MARIBYRNONG,,,
Maribyrnong,h,940000,16/04/2016,8.7,2,1,0,160,119,1880,Moreland City Council,-37.7933,144.9824,Northern Metropolitan,6244,141,5287.5,7109.243697,423000,241714.2857,6666.666667,MARIBYRNONG,,,
Maribyrnong,t,570000,16/04/2016,8.7,2,2,1,182,,1880,Moreland City Council,-37.7843,144.9902,Northern Metropolitan,6244,141,9903.846154, ,901250,515000,4042.553191,MARIBYRNONG,,,
Middle Park,u,700000,16/04/2016,4.1,3,2,2,368,226,1880,Melbourne City Council,-37.8323,144.9463,Southern Metropolitan,8648,141,6521.73913,10619.46903,800000,631578.9474,4964.539007,MIDDLE PARK,,,
Moonee Ponds,h,1400000,16/04/2016,6.9,2,1,0,102,,1880,Port Phillip City Council,-37.8355,144.9675,Southern Metropolitan,5943,141,10039.21569, ,512000,487619.0476,9929.078014,MOONEE PONDS,,,
Newport,h,740000,16/04/2016,8.4,2,1,0,147,,1880,Melbourne City Council,-37.8059,144.9459,Northern Metropolitan,2230,141,7163.265306, ,526500,554210.5263,5248.22695,NEWPORT,,,
Newport,h,970000,16/04/2016,8.4,2,1,0,1328,,1880,Moreland City Council,-37.7731,144.9568,Northern Metropolitan,11918,141,719.126506, ,477500,183653.8462,6879.432624,NEWPORT,,,
Newport,t,735000,16/04/2016,8.4,3,2,2,275,106,1880,Moonee Valley City Council,-37.767,144.9108,Western Metropolitan,6232,141,4509.090909,11698.11321,413333.3333,179710.1449,5212.765957,NEWPORT,,,
North Melbourne,u,440000,16/04/2016,2.3,2,2,0,208,145,1880,Melbourne City Council,-37.8433,145.0024,Southern Metropolitan,14887,141,8221.153846,11793.10345,855000,518181.8182,3120.567376,NORTH MELBOURNE,,,
North Melbourne,u,606000,16/04/2016,2.3,2,1,0,144,80,1880,Yarra City Council,-37.80298,144.98894,Northern Metropolitan,4553,141,7881.944444,14187.5,567500,567500,4297.87234,NORTH MELBOURNE,,,
Northcote,h,1900000,16/04/2016,5.5,2,1,0,181,105,1880,Melbourne City Council,-37.83661,144.93359,Southern Metropolitan,8648,141,7375.690608,12714.28571,667500,381428.5714,13475.1773,NORTHCOTE,,,
Northcote,h,888000,16/04/2016,5.5,5,3,2,590,223,1880,Moonee Valley City Council,-37.75511,144.90935,Western Metropolitan,9264,141,3745.762712,9910.313901,442000,294666.6667,6297.87234,NORTHCOTE,,,
Northcote,h,1020000,16/04/2016,5.5,3,2,0,145,138,1880,Stonnington City Council,-37.84957,144.9889,Southern Metropolitan,7717,141,9655.172414,10144.92754,466666.6667,304347.8261,7234.042553,NORTHCOTE,,,
Northcote,h,844000,16/04/2016,5.5,4,2,1,176,216,1880,Melbourne City Council,-37.83986,144.98598,Southern Metropolitan,14887,141,10542.61364,8590.277778,463875,687222.2222,5985.815603,NORTHCOTE,,,
Pascoe Vale,h,970000,16/04/2016,9.9,3,1,2,433,144,1880,Maribyrnong City Council,-37.81183,144.88569,Western Metropolitan,6543,141,2840.646651,8541.666667,410000,195238.0952,6879.432624,PASCOE VALE,,,
Port Melbourne,h,1670000,16/04/2016,3.8,3,1,3,312,106,1880,Maribyrnong City Council,-37.79334,144.89128,Western Metropolitan,7570,141,2884.615385,8490.566038,300000,176470.5882,11843.97163,PORT MELBOURNE,,,
Prahran,u,530000,16/04/2016,4.5,3,1,0,142,130,1880,Yarra City Council,-37.80359,144.99538,Northern Metropolitan,4019,141,11514.08451,12576.92308,545000,545000,3758.865248,PRAHRAN,,,
Preston,h,700000,16/04/2016,8.8,3,1,2,354,117,1880,Stonnington City Council,-37.85189,145.03335,Southern Metropolitan,4675,141,4661.016949,14102.5641,550000,279661.0169,4964.539007,PRESTON,,,
Preston,h,920000,16/04/2016,8.8,2,1,0,,,1880,Moreland City Council,-37.76453,144.97369,Northern Metropolitan,5533,141, , ,455000,227500,6524.822695,PRESTON,,,
Reservoir,u,376000,16/04/2016,11.2,3,1,1,,,1880,Moreland City Council,-37.78137,144.9815,Northern Metropolitan,6244,141, , ,496666.6667,413888.8889,2666.666667,RESERVOIR,,,
Reservoir,u,323000,16/04/2016,11.2,3,1,,128,130,1880,Port Phillip City Council,-37.83731,144.95057,Southern Metropolitan,5943,141,11031.25,10861.53846,470666.6667,743157.8947,2290.780142,RESERVOIR,,,
Reservoir,h,680000,16/04/2016,11.2,3,2,1,162,135,1880,Port Phillip City Council,-37.84398,144.95044,Southern Metropolitan,3280,141,14444.44444,17333.33333,780000,780000,4822.695035,RESERVOIR,,,
Reservoir,t,530000,16/04/2016,11.2,3,1,,9405,134,1880,Melbourne City Council,-37.79945,144.96653,Northern Metropolitan,6786,141,187.1345029,13134.32836,586666.6667,1100000,3758.865248,RESERVOIR,,,
Reservoir,h,786000,16/04/2016,11.2,4,2,1,,160,1880,Yarra City Council,-37.79113,144.98892,Northern Metropolitan,2954,141, ,15250,610000,677777.7778,5574.468085,RESERVOIR,,,
Reservoir,u,390000,16/04/2016,11.2,5,3,1,,179,1880,Port Phillip City Council,-37.84008,144.95976,Southern Metropolitan,5943,141, ,25139.6648,900000,2368421.053,2765.957447,RESERVOIR,,,
Reservoir,h,650000,16/04/2016,11.2,2,1,0,129,,1880,Melbourne City Council,-37.80318,144.94513,Northern Metropolitan,6821,141,8527.131783, ,550000,611111.1111,4609.929078,RESERVOIR,,,
Richmond,h,1088000,16/04/2016,2.6,3,1,1,110,128,1880,Melbourne City Council,-37.79667,144.97204,Northern Metropolitan,6786,141,11481.81818,9867.1875,421000,789375,7716.312057,RICHMOND,,,
Richmond,t,911000,16/04/2016,2.6,3,1,1,,133,1880,Moreland City Council,-37.7762,144.9544,Northern Metropolitan,11918,141, ,7744.360902,343333.3333,198076.9231,6460.992908,RICHMOND,,,
Richmond,h,3001000,16/04/2016,2.6,4,2,1,278,174,1880,Moreland City Council,-37.77081,144.96318,Northern Metropolitan,11918,141,5863.309353,9367.816092,407500,313461.5385,21283.68794,RICHMOND,,,
Richmond,u,638000,16/04/2016,2.6,3,2,,395,149,1880,Stonnington City Council,-37.85892,145.03731,Southern Metropolitan,4675,141,6329.113924,16778.52349,833333.3333,423728.8136,4524.822695,RICHMOND,,,
Seddon,h,920000,16/04/2016,6.6,2,1,1,,91,1880,Maribyrnong City Council,-37.80472,144.88673,Western Metropolitan,2417,141, ,10989.01099,500000,196078.4314,6524.822695,SEDDON,,,
Seddon,h,1395000,16/04/2016,6.6,2,1,1,182,96,1880,Moreland City Council,-37.77523,144.97479,Northern Metropolitan,5533,141,6593.406593,12500,600000,300000,9893.617021,SEDDON,,,
Seddon,h,965000,16/04/2016,6.6,1,1,0,133,60,1880,Moreland City Council,-37.78673,144.97899,Northern Metropolitan,6244,141,6917.293233,15333.33333,920000,255555.5556,6843.971631,SEDDON,,,
South Melbourne,u,1500000,16/04/2016,2.1,4,2,1,,216,1880,Melbourne City Council,-37.79645,144.93053,Northern Metropolitan,5263,141, ,9777.777778,528000,621176.4706,10638.29787,SOUTH MELBOURNE,,,
South Melbourne,h,2000000,16/04/2016,2.1,3,2,0,193,80,1880,Darebin City Council,-37.76627,144.99345,Northern Metropolitan,11364,141,5958.549223,14375,383333.3333,216981.1321,14184.39716,SOUTH MELBOURNE,,,
South Yarra,u,515000,16/04/2016,3.3,3,2,2,,200,1880,Stonnington City Council,-37.85256,145.00143,Southern Metropolitan,7717,141, ,16250,1083333.333,706521.7391,3652.48227,SOUTH YARRA,,,
Southbank,u,425000,16/04/2016,1.2,4,2,,165,202,1880,Melbourne City Council,-37.78731,144.97551,Northern Metropolitan,3106,141,11030.30303,9009.90099,455000,520000,3014.184397,SOUTHBANK,,,
Spotswood,h,831000,16/04/2016,7.7,2,1,1,156,96,1880,Yarra City Council,-37.79379,144.98809,Northern Metropolitan,2954,141,5846.153846,9500,456000,253333.3333,5893.617021,SPOTSWOOD,,,
St Kilda,u,503500,16/04/2016,6.1,4,1,1,242,143,1880,Moreland City Council,-37.7873,144.9911,Northern Metropolitan,6244,141,9090.909091,15384.61538,550000,611111.1111,3570.921986,ST KILDA,,,
St Kilda,u,580000,16/04/2016,6.1,3,2,2,,200,1880,Stonnington City Council,-37.85256,145.00143,Southern Metropolitan,7717,141, ,16250,1083333.333,706521.7391,4113.475177,ST KILDA,,,
Strathmore,h,1430000,16/04/2016,9.7,2,1,,100,71,1880,Port Phillip City Council,-37.83661,144.96378,Southern Metropolitan,5943,141,12250,17253.52113,612500,644736.8421,10141.84397,STRATHMORE,,,
Sunshine,h,610000,16/04/2016,12.6,4,1,1,133,124,1880,Melbourne City Council,-37.80814,144.94506,Northern Metropolitan,2230,141,9248.120301,9919.354839,307500,396774.1935,4326.241135,SUNSHINE,,,
Sunshine,h,600000,16/04/2016,12.6,3,1,,,105,1880,Melbourne City Council,-37.81034,144.94604,Northern Metropolitan,2230,141, ,11333.33333,396666.6667,383870.9677,4255.319149,SUNSHINE,,,
Sunshine North,h,735000,16/04/2016,13.3,2,1,1,,93,1880,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204,141, ,7505.376344,349000,104179.1045,5212.765957,SUNSHINE NORTH,,,
Sunshine West,h,480000,16/04/2016,13.5,3,2,0,506,88,1880,Yarra City Council,-37.8029,144.9772,Northern Metropolitan,5825,141,2579.051383,14829.54545,435000,621428.5714,3404.255319,SUNSHINE WEST,,,
Templestowe Lower,h,1010000,16/04/2016,13.8,3,2,1,261,194,1880,Stonnington City Council,-37.8513,145.0089,Southern Metropolitan,7717,141,12452.10728,16752.57732,1083333.333,706521.7391,7163.120567,TEMPLESTOWE LOWER,,,
Thornbury,h,898000,16/04/2016,6.5,3,1,,116,98,1880,Yarra City Council,-37.813,145.0004,Northern Metropolitan,14949,141,8198.275862,9704.081633,317000,396250,6368.794326,THORNBURY,,,
Thornbury,h,1235000,16/04/2016,6.5,2,1,0,,140,1880,Melbourne City Council,-37.8407,145.0022,Southern Metropolitan,14887,141, ,11428.57143,800000,592592.5926,8758.865248,THORNBURY,,,
Thornbury,t,910500,16/04/2016,6.5,4,2,,165,170,1880,Yarra City Council,-37.7925,144.98789,Northern Metropolitan,2954,141,9696.969697,9411.764706,400000,444444.4444,6457.446809,THORNBURY,,,
Thornbury,h,995000,16/04/2016,6.5,3,2,1,,134,1880,Moreland City Council,-37.78196,144.98376,Northern Metropolitan,6244,141, ,13880.59701,620000,516666.6667,7056.737589,THORNBURY,,,
Thornbury,h,760000,16/04/2016,6.5,2,1,,101,93,1880,Moreland City Council,-37.78495,144.98088,Northern Metropolitan,6244,141,13465.34653,14623.65591,680000,377777.7778,5390.070922,THORNBURY,,,
