Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Buildingage2,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Uppercase,,Buildingage,,#REF!
Blackburn North,h,1570000,6/01/2018,13.4,2,2,1,0,92,2002,Melbourne City Council,-37.8361,144.9966,14887,19, ,9130.434783,420000,254545.4545,82631.57895,BLACKBURN NORTH,,19,,
Boronia,h,629000,6/01/2018,25,3,1,2,280,,2002,Darebin City Council,-37.7183,145.0164,21650,19,2303.571429, ,215000,57589.28571,33105.26316,BORONIA,,19,,
Brighton,h,1900000,6/01/2018,10.5,1,1,1,2335,58,2002,Port Phillip City Council,-37.8571,144.987,13240,19,214.1327623,8620.689655,500000,81967.21311,100000,BRIGHTON,,19,,
Brighton East,h,1262000,6/01/2018,10.3,2,2,2,0,95,2002,Moreland City Council,-37.7761,144.9792,6244,19, ,7894.736842,375000,214285.7143,66421.05263,BRIGHTON EAST,,19,,
Brunswick,h,1011000,6/01/2018,5.2,2,2,1,0,137,2002,Yarra City Council,-37.8151,145.0003,14949,19, ,7956.20438,545000,419230.7692,53210.52632,BRUNSWICK,,19,,
Brunswick,h,1150000,6/01/2018,5.2,4,3,2,475,319,2002,Maribyrnong City Council,-37.7759,144.8552,3589,19,2105.263158,3134.796238,250000,92592.59259,60526.31579,BRUNSWICK,,19,,
Brunswick,h,970000,6/01/2018,5.2,3,2,2,287,210.68,2002,Maribyrnong City Council,-37.8233,144.8825,6543,19,3310.10453,4509.208278,316666.6667,135714.2857,51052.63158,BRUNSWICK,,19,,
Brunswick,h,970000,6/01/2018,5.2,1,1,1,0,53,2002,Port Phillip City Council,-37.8852,144.9877,8989,19, ,9245.283019,490000,63636.36364,51052.63158,BRUNSWICK,,19,,
Brunswick,h,1665000,6/01/2018,5.2,2,1,1,0,87,2002,Darebin City Council,-37.7847,145.0109,2970,19, ,7770.114943,338000,116551.7241,87631.57895,BRUNSWICK,,19,,
Carlton North,h,1391000,6/01/2018,3.5,3,2,2,226,140,2002,Melbourne City Council,-37.7824,144.9243,3593,19,5530.973451,8928.571429,416666.6667,284090.9091,73210.52632,CARLTON NORTH,,19,,
Caulfield South,h,1300000,6/01/2018,8.7,3,2,2,0,133,2002,Monash City Council,-37.89873,145.15072,15321,19, ,4924.81203,218333.3333,39221.55689,68421.05263,CAULFIELD SOUTH,,19,,
Caulfield South,t,1675000,6/01/2018,8.7,4,2,2,441,255,2002,Darebin City Council,-37.73572,144.97256,11204,19,2312.92517,4000,255000,152238.806,88157.89474,CAULFIELD SOUTH,,19,,
Cheltenham,h,800000,6/01/2018,17.9,3,2,1,223,146,2002,Moonee Valley City Council,-37.74566,144.89346,9264,19,4170.403587,6369.863014,310000,124000,42105.26316,CHELTENHAM,,19,,
Cheltenham,t,955000,6/01/2018,17.9,3,2,2,666,193,2002,Brimbank City Council,-37.68381,144.73331,5556,19,990.990991,3419.689119,220000,36666.66667,50263.15789,CHELTENHAM,,19,,
Cheltenham,h,888000,6/01/2018,17.9,3,2,2,174,,2002,Brimbank City Council,-37.72012,144.86149,1119,19,3649.425287, ,211666.6667,61057.69231,46736.84211,CHELTENHAM,,19,,
Clifton Hill,h,1300000,6/01/2018,3.6,4,2,2,1016,310,2002,Maroondah City Council,-37.78372,145.25311,7785,19,1697.834646,5564.516129,431250,86683.41709,68421.05263,CLIFTON HILL,,19,,
Coburg,h,1090000,6/01/2018,6.7,3,1,1,158,137,2002,Maribyrnong City Council,-37.78893,144.84652,3589,19,3544.303797,4087.591241,186666.6667,65116.27907,57368.42105,COBURG,,19,,
Coburg North,h,965000,6/01/2018,6.7,3,2,2,246,3,2002,Monash City Council,-37.92829,145.19647,7113,19,3504.065041,287333.3333,287333.3333,45851.06383,50789.47368,COBURG NORTH,,19,,
Coburg North,h,730000,6/01/2018,6.7,4,2,2,600,174,2002,Brimbank City Council,-37.6844,144.75595,5556,19,966.6666667,3333.333333,145000,32222.22222,38421.05263,COBURG NORTH,,19,,
Coburg North,h,950000,6/01/2018,6.7,2,1,2,,77,2002,Glen Eira City Council,-37.88472,145.00025,4898,19, ,7350.649351,283000,78611.11111,50000,COBURG NORTH,,19,,
Coburg North,h,800000,6/01/2018,6.7,3,2,1,125,0,2002,Stonnington City Council,-37.85257,145.00296,7717,19,11120, ,463333.3333,302173.913,42105.26316,COBURG NORTH,,19,,
Collingwood,h,1079500,6/01/2018,2,1,1,1,,52,2002,Port Phillip City Council,-37.85921,144.97777,13240,19, ,8942.307692,465000,93000,56815.78947,COLLINGWOOD,,19,,
Cremorne,h,1245000,6/01/2018,2.4,3,2,1,,117,2002,Manningham City Council,-37.75875,145.1317,6202,19, ,6752.136752,263333.3333,50967.74194,65526.31579,CREMORNE,,19,,
Croydon,h,720000,6/01/2018,23,3,1,1,,116,2002,Brimbank City Council,-37.6908,144.87277,3296,19, ,4594.827586,177666.6667,41317.82946,37894.73684,CROYDON,,19,,
Croydon,h,997000,6/01/2018,23,5,2,3,,237,2002,Maribyrnong City Council,-37.81391,144.86817,6543,19, ,4472.57384,212000,168253.9683,52473.68421,CROYDON,,19,,
Croydon,h,655200,6/01/2018,23,3,2,2,,,2002,Brimbank City Council,-37.74726,144.78013,2674,19, , ,223333.3333,45270.27027,34484.21053,CROYDON,,19,,
Delahey,h,600000,6/01/2018,18,4,2,3,,134,2002,Brimbank City Council,-37.69779,144.75877,3640,19, ,4328.358209,145000,32222.22222,31578.94737,DELAHEY,,19,,
Derrimut,h,561000,6/01/2018,14.7,3,1,2,,117,2002,Stonnington City Council,-37.87679,145.05903,8801,19, ,8675.213675,338333.3333,120833.3333,29526.31579,DERRIMUT,,19,,
Derrimut,h,912000,6/01/2018,14.7,3,2,1,,,2002,Darebin City Council,-37.77179,144.99871,11364,19, , ,269166.6667,152358.4906,48000,DERRIMUT,,19,,
Doncaster East,h,1198000,6/01/2018,14.3,4,2,2,903,187,2002,Brimbank City Council,-37.80053,144.80459,6763,19,777.9623477,3756.684492,175625,66904.7619,63052.63158,DONCASTER EAST,,19,,
Essendon,h,2200000,6/01/2018,7.5,4,1,1,469,,2002,Brimbank City Council,-37.70161,144.74978,5556,19,1132.196162, ,132750,29500,115789.4737,ESSENDON,,19,,
Glenroy,t,530000,6/01/2018,11.2,2,1,2,,,2002,Stonnington City Council,-37.84691,144.98828,7717,19, , ,697500,303260.8696,27894.73684,GLENROY,,19,,
Gowanbrae,h,790000,6/01/2018,12.9,4,2,2,,292,2002,Knox City Council,-37.85854,145.22399,5424,19, ,4246.575342,310000,84353.7415,41578.94737,GOWANBRAE,,19,,
Gowanbrae,t,700000,6/01/2018,12.9,4,2,2,653,181,2002,Moreland City Council,-37.7031,144.89443,1071,19,1209.800919,4364.640884,197500,61240.31008,36842.10526,GOWANBRAE,,19,,
Gowanbrae,h,1260000,6/01/2018,12.9,4,2,2,612,236,2002,Knox City Council,-37.9046,145.2684,11667,19,1470.588235,3813.559322,225000,38297.87234,66315.78947,GOWANBRAE,,19,,
Hadfield,h,772500,6/01/2018,11.2,3,2,1,194,128,2002,Hobsons Bay City Council,-37.8726,144.7814,7630,19,2791.237113,4230.46875,180500,34935.48387,40657.89474,HADFIELD,,19,,
Hampton,t,2440000,6/01/2018,13.8,4,2,2,,237,2002,Whitehorse City Council,-37.83349,145.15996,4387,19, ,5274.261603,312500,93283.58209,128421.0526,HAMPTON,,19,,
Hampton East,h,1330000,6/01/2018,13.8,3,2,0,,126,2002,Brimbank City Council,-37.70548,144.75265,5556,19, ,4367.063492,183416.6667,30569.44444,70000,HAMPTON EAST,,19,,
Heathmont,h,1051000,6/01/2018,21.3,4,2,2,,254,2002,Stonnington City Council,-37.86075,145.03656,4675,19, ,11023.62205,700000,474576.2712,55315.78947,HEATHMONT,,19,,
Highett,h,1430000,6/01/2018,16,2,2,1,122,126,2002,Melbourne City Council,-37.83705,144.94515,8648,19,9836.065574,9523.809524,600000,342857.1429,75263.15789,HIGHETT,,19,,
Hillside,h,666000,6/01/2018,18,2,1,1,,117,2002,Bayside City Council,-37.96273,145.04935,9758,19, ,8162.393162,477500,53351.95531,35052.63158,HILLSIDE,,19,,
Hillside,h,700000,6/01/2018,18,4,2,4,750,286,2002,Moreland City Council,-37.70486,144.9007,1071,19,1680,4405.594406,315000,97674.4186,36842.10526,HILLSIDE,,19,,
Hillside,h,1405000,6/01/2018,18,3,2,2,,131,2002,Maribyrnong City Council,-37.77181,144.88152,4918,19, ,4770.992366,208333.3333,145348.8372,73947.36842,HILLSIDE,,19,,
Keilor Downs,h,670000,6/01/2018,15.5,3,1,2,212,,2002,Knox City Council,-37.87374,145.27058,10788,19,3000, ,212000,25645.16129,35263.15789,KEILOR DOWNS,,19,,
Keilor Downs,h,685000,6/01/2018,15.5,3,2,2,78,107,2002,Maribyrnong City Council,-37.77158,144.88116,4918,19,8173.076923,5957.943925,212500,148255.814,36052.63158,KEILOR DOWNS,,19,,
Keilor East,h,975000,6/01/2018,11.7,3,2,1,359,204,2002,Glen Eira City Council,-37.92025,145.03482,6795,19,3760.445682,6617.647059,450000,118421.0526,51315.78947,KEILOR EAST,,19,,
Keilor Park,h,550000,6/01/2018,10.4,2,1,1,144,95,2002,Darebin City Council,-37.69824,145.02372,21650,19,3090.277778,4684.210526,222500,37083.33333,28947.36842,KEILOR PARK,,19,,
Kilsyth,h,830000,6/01/2018,26,3,2,1,104,118,2002,Yarra City Council,-37.81471,145.0086,14949,19,11057.69231,9745.762712,383333.3333,479166.6667,43684.21053,KILSYTH,,19,,
Kings Park,h,665000,6/01/2018,14,4,2,1,739,183,2002,Boroondara City Council,-37.8513,145.0601,10412,19,,,499500,,35000,KINGS PARK,,19,,
Kingsville,h,1210000,6/01/2018,6.4,4,2,3,207,180,2002,Boroondara City Council,-37.8271,145.0243,11308,19,,,412500,,63684.21053,KINGSVILLE,,19,,
Kingsville,h,1250000,6/01/2018,6.4,4,3,2,324,241,2002,Boroondara City Council,-37.8348,145.0503,6482,19,,,434500,,65789.47368,KINGSVILLE,,19,,
Maidstone,h,895000,6/01/2018,6.4,4,2,2,446,274,2002,Boroondara City Council,-37.82785,145.03816,11308,19,,,849750,,47105.26316,MAIDSTONE,,19,,
Maidstone,h,825000,6/01/2018,6.4,3,2,1,267,186,2003,Darebin City Council,-37.7132,145.0075,21650,18,2340.82397,3360.215054,208333.3333,55803.57143,45833.33333,MAIDSTONE,,18,,
Maribyrnong,h,1250000,6/01/2018,4.3,2,1,1,216,90,2003,Monash City Council,-37.8711,145.1017,2894,18,3194.444444,7666.666667,345000,56557.37705,69444.44444,MARIBYRNONG,,18,,
Maribyrnong,t,625000,6/01/2018,4.3,2,2,2,0,,2003,Melbourne City Council,-37.8435,144.9415,8648,18, , ,625000,328947.3684,34722.22222,MARIBYRNONG,,18,,
McKinnon,h,1820000,6/01/2018,11.4,3,2,1,149,140,2003,Melbourne City Council,-37.8448,144.9882,14887,18,10335.57047,11000,513333.3333,466666.6667,101111.1111,MCKINNON,,18,,
Mulgrave,h,825000,6/01/2018,18.8,4,2,2,990,267,2003,Glen Eira City Council,-37.8916,145.0753,4442,18,1818.181818,6741.573034,450000,148760.3306,45833.33333,MULGRAVE,,18,,
Murrumbeena,h,1590000,6/01/2018,10.1,2,1,1,0,84,2003,Melbourne City Council,-37.8246,144.9632,8400,18, ,6309.52381,265000,441666.6667,88333.33333,MURRUMBEENA,,18,,
Niddrie,h,1050000,6/01/2018,10.4,2,1,1,164,,2003,Moonee Valley City Council,-37.7218,144.8863,3464,18,2820.121951, ,231250,34259.25926,58333.33333,NIDDRIE,,18,,
Northcote,h,1585000,6/01/2018,5.3,2,1,2,153,107,2003,Darebin City Council,-37.702,145.0324,21650,18,2745.098039,3925.233645,210000,37500,88055.55556,NORTHCOTE,,18,,
Northcote,h,1650000,6/01/2018,5.3,2,1,1,0,114,2003,Moreland City Council,-37.7789,144.9739,5533,18, ,7061.403509,402500,178888.8889,91666.66667,NORTHCOTE,,18,,
Northcote,h,1315000,6/01/2018,5.3,2,1,2,0,,2003,Port Phillip City Council,-37.8844,144.9855,8989,18, , ,507500,131818.1818,73055.55556,NORTHCOTE,,18,,
Northcote,h,1100000,6/01/2018,5.3,2,1,1,0,70,2003,Port Phillip City Council,-37.8653,144.9824,13240,18, ,7714.285714,270000,88524.59016,61111.11111,NORTHCOTE,,18,,
Northcote,h,2525000,6/01/2018,5.3,3,2,2,1181,136,2003,Melbourne City Council,-37.7982,144.9202,5263,18,668.9246401,5808.823529,263333.3333,188095.2381,140277.7778,NORTHCOTE,,18,,
Pascoe Vale,t,826000,6/01/2018,8.5,2,1,1,0,86,2003,Melbourne City Council,-37.8393,144.9886,14887,18, ,8395.348837,361000,218787.8788,45888.88889,PASCOE VALE,,18,,
Pascoe Vale,h,1015000,6/01/2018,8.5,3,1,1,412,133,2003,Brimbank City Council,-37.7459,144.8643,5629,18,1415.048544,4383.458647,194333.3333,45546.875,56388.88889,PASCOE VALE,,18,,
Prahran,h,1312000,6/01/2018,4.6,2,2,1,0,,2003,Melbourne City Council,-37.8435,144.9415,8648,18, , ,517500,272368.4211,72888.88889,PRAHRAN,,18,,
Preston,t,723000,6/01/2018,8.4,2,2,1,0,,2003,Melbourne City Council,-37.8435,144.9415,8648,18, , ,535000,281578.9474,40166.66667,PRESTON,,18,,
Preston,h,1455000,6/01/2018,8.4,3,2,1,259,,2003,Moreland City Council,-37.6977,144.9149,8870,18,1428.571429, ,123333.3333,28461.53846,80833.33333,PRESTON,,18,,
Reservoir,h,600000,6/01/2018,12,2,1,1,148,79,2003,Maribyrnong City Council,-37.822,144.89,6543,18,4256.756757,7974.683544,315000,90000,33333.33333,RESERVOIR,,18,,
Reservoir,h,900000,6/01/2018,12,3,2,1,80,118,2003,Melbourne City Council,-37.8416,144.9923,14887,18,15625,10593.22034,416666.6667,378787.8788,50000,RESERVOIR,,18,,
Reservoir,h,845000,6/01/2018,12,4,3,2,217,266,2003,Hobsons Bay City Council,-37.8634,144.8796,6380,18,6129.032258,5000,332500,166250,46944.44444,RESERVOIR,,18,,
Reservoir,h,810000,6/01/2018,12,3,2,2,200,144,2003,Moonee Valley City Council,-37.7766,144.9277,6567,18,5000,6944.444444,333333.3333,169491.5254,45000,RESERVOIR,,18,,
Reservoir,h,920000,6/01/2018,12,3,2,2,0,90,2003,Port Phillip City Council,-37.8319,144.9682,5943,18, ,8244.444444,247333.3333,353333.3333,51111.11111,RESERVOIR,,18,,
Reservoir,h,775000,6/01/2018,12,1,1,1,0,52,2003,Melbourne City Council,-37.8,144.9542,6821,18, ,7076.923077,368000,160000,43055.55556,RESERVOIR,,18,,
Reservoir,t,669000,6/01/2018,12,3,2,2,215,146,2003,Darebin City Council,-37.7257,145.0243,21650,18,2511.627907,3698.630137,180000,48214.28571,37166.66667,RESERVOIR,,18,,
Reservoir,h,890000,6/01/2018,12,4,2,2,206,,2003,Whitehorse City Council,-37.828,145.1215,4605,18,4271.84466, ,220000,67175.57252,49444.44444,RESERVOIR,,18,,
Richmond,h,1700000,6/01/2018,2.4,2,2,1,2740,76,2003,Yarra City Council,-37.8231,144.9906,14949,18,231.7518248,8355.263158,317500,244230.7692,94444.44444,RICHMOND,,18,,
Ringwood,h,1246000,6/01/2018,19.9,3,2,2,213,143,2003,Glen Eira City Council,-37.9079,145.0707,10969,18,3863.849765,5755.244755,274333.3333,59208.63309,69222.22222,RINGWOOD,,18,,
Ripponlea,h,1380000,6/01/2018,7.2,3,2,1,341,170,2003,Moreland City Council,-37.7166,144.9104,2651,18,2214.076246,4441.176471,251666.6667,65652.17391,76666.66667,RIPPONLEA,,18,,
Rowville,h,956000,6/01/2018,23.5,3,2,5,442,249,2003,Hobsons Bay City Council,-37.8538,144.8722,802,18,2420.81448,4297.188755,356666.6667,120224.7191,53111.11111,ROWVILLE,,18,,
Seaholme,h,1410000,6/01/2018,11,3,2,1,145,107,2003,Maribyrnong City Council,-37.7894,144.8463,3589,18,3046.206897,4128.037383,147233.3333,40898.14815,78333.33333,SEAHOLME,,18,,
Spotswood,h,1060000,6/01/2018,6.2,3,2,2,0,110.87,2003,Port Phillip City Council,-37.8309,144.9686,5943,18, ,6133.309281,226666.6667,323809.5238,58888.88889,SPOTSWOOD,,18,,
St Albans,t,505000,6/01/2018,14,3,1,1,0,125,2003,Melbourne City Council,-37.7954,144.9259,5263,18, ,7220,300833.3333,214880.9524,28055.55556,ST ALBANS,,18,,
St Kilda,h,1310000,6/01/2018,5,3,1,1,221,120,2003,Hobsons Bay City Council,-37.8297,144.8752,1223,18,2986.425339,5500,220000,85714.28571,72777.77778,ST KILDA,,18,,
Sunshine,h,1155500,6/01/2018,10.5,4,2,2,702,170,2003,Moreland City Council,-37.7071,144.8989,1071,18,1410.25641,5823.529412,247500,72794.11765,64194.44444,SUNSHINE,,18,,
Sunshine West,h,753000,6/01/2018,10.5,2,1,1,0,71,2003,Glen Eira City Council,-37.8937,145.0137,5051,18, ,8873.239437,315000,67741.93548,41833.33333,SUNSHINE WEST,,18,,
Sunshine West,h,560000,6/01/2018,10.5,4,2,5,612,363,2003,Glen Eira City Council,-37.9143,145.06582,10969,18,2704.248366,4559.22865,413750,119927.5362,31111.11111,SUNSHINE WEST,,18,,
Sydenham,u,395000,6/01/2018,18,3,2,2,334,129,2003,Hobsons Bay City Council,-37.83137,144.86731,984,18,2365.269461,6124.031008,263333.3333,127419.3548,21944.44444,SYDENHAM,,18,,
Sydenham,h,601000,6/01/2018,18,4,2,2,0,142,2003,Moonee Valley City Council,-37.74541,144.89844,9264,18, ,6830.985915,242500,129333.3333,33388.88889,SYDENHAM,,18,,
Taylors Lakes,h,720000,6/01/2018,15.5,1,1,1,1347,,2003,Yarra City Council,-37.81893,145.00631,14949,18,396.4365256, ,534000,222500,40000,TAYLORS LAKES,,18,,
Templestowe Lower,h,900000,6/01/2018,12.4,4,2,2,502,320,2003,Knox City Council,-37.92985,145.25184,11667,18,2003.585657,3143.125,251450,42800,50000,TEMPLESTOWE LOWER,,18,,
Templestowe Lower,h,1330000,6/01/2018,12.4,3,1,2,197,96,2003,Moreland City Council,-37.70489,144.91033,8870,18,2598.984772,5333.333333,170666.6667,45714.28571,73888.88889,TEMPLESTOWE LOWER,,18,,
Thornbury,t,950500,6/01/2018,7,4,2,2,407,300,2003,Whitehorse City Council,-37.85028,145.18787,4280,18,3169.53317,4300,322500,75000,52805.55556,THORNBURY,,18,,
Tullamarine,h,780000,6/01/2018,12.9,4,2,2,228,,2003,Moreland City Council,-37.7046,144.91041,8870,18,2877.192982, ,164000,58571.42857,43333.33333,TULLAMARINE,,18,,
Wantirna,h,975000,6/01/2018,14.7,2,2,1,0,,2003,Stonnington City Council,-37.84696,144.99364,7717,18, , ,501500,218043.4783,54166.66667,WANTIRNA,,18,,
Wantirna,h,1188888,6/01/2018,14.7,2,1,1,17200,79,2003,Melbourne City Council,-37.83613,144.99661,14887,18,44.33139535,9651.898734,381250,282407.4074,66049.33333,WANTIRNA,,18,,
Wantirna South,h,1500000,6/01/2018,14.7,2,1,2,0,93,2003,Maribyrnong City Council,-37.77117,144.88041,4918,18, ,4731.182796,220000,102325.5814,83333.33333,WANTIRNA SOUTH,,18,,
Wantirna South,h,1075000,6/01/2018,14.7,3,2,2,551,178,2003,Knox City Council,-37.94266,145.24662,11667,18,1370.235935,4241.573034,251666.6667,32127.65957,59722.22222,WANTIRNA SOUTH,,18,,
Wheelers Hill,h,1100000,6/01/2018,16.7,2,1,0,89,85,2003,Melbourne City Council,-37.80802,144.96168,17496,18,6348.314607,6647.058824,282500,#DIV/0!,61111.11111,WHEELERS HILL,,18,,
Williamstown,h,1115000,6/01/2018,6.8,3,2,2,459,153,2003,Melbourne City Council,-37.78273,144.92358,3593,18,2216.775599,6650.326797,339166.6667,299264.7059,61944.44444,WILLIAMSTOWN,,18,,
Williamstown,h,870000,6/01/2018,6.8,3,1,1,318,118,2003,Brimbank City Council,-37.70388,144.75259,5556,18,1503.144654,4050.847458,159333.3333,26555.55556,48333.33333,WILLIAMSTOWN,,18,,
Williamstown,h,2400000,6/01/2018,6.8,4,2,2,,157,2003,Monash City Council,-37.87039,145.13965,13366,18, ,7484.076433,293750,82746.47887,133333.3333,WILLIAMSTOWN,,18,,
