Suburb,Address,Rooms,Type,   Price   ,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,
Brunswick,14 Murdock St,3,h," $1,105,000.00 ",S,Peter,17/03/2018,5.2,3056,3,2,1,239,162,2005,Moreland City Council,-37.756,144.95869,Northern Metropolitan,11918,,
Burwood,29 Murray Dr,3,h," $1,217,000.00 ",S,Buxton,17/03/2018,10.4,3125,3,2,1,392,130,1950,Monash City Council,-37.84429,145.10199,Southern Metropolitan,5678,,
Cairnlea,12 Sunnybrae Cct,4,h," $734,000.00 ",S,Barry,17/03/2018,14.8,3023,4,2,2,571,185,2004,Brimbank City Council,-37.76437,144.79517,Western Metropolitan,2674,,
Carlton,26 Tyne St,3,t," $1,750,000.00 ",S,Collins,17/03/2018,1.6,3053,3,2,2,2399,138,1998,Melbourne City Council,-37.79782,144.96664,Northern Metropolitan,6786,,
Caulfield South,11 Russell St,5,h," $2,050,000.00 ",PI,Gary,17/03/2018,8.7,3162,5,3,2,579,327,2013,Glen Eira City Council,-37.90121,145.02462,Southern Metropolitan,5051,,
Caulfield South,13 Sycamore St,3,h," $1,490,000.00 ",S,Gary,17/03/2018,8.7,3162,3,1,2,496,128,1919,Glen Eira City Council,-37.889,145.01575,Southern Metropolitan,5051,,
Cheltenham,53a Cavanagh St,3,t," $1,111,000.00 ",S,Barry,17/03/2018,17.9,3192,3,3,2,259,182,2017,Bayside City Council,-37.96116,145.06561,Southern Metropolitan,9758,,
Cheltenham,21 Parnell St,3,h," $1,200,000.00 ",SP,Greg,17/03/2018,17.9,3192,3,2,2,784,120,1960,Bayside City Council,-37.95502,145.06185,Southern Metropolitan,9758,,
Clayton,47 Beddoe Av,3,h," $1,870,000.00 ",SP,Darras,17/03/2018,16.7,3168,3,2,1,740,186,1950,Monash City Council,-37.9112,145.12778,South-Eastern Metropolitan,5837,,
Clifton Hill,23D Grant St,3,h," $1,040,000.00 ",S,Nelson,17/03/2018,3.6,3068,3,2,1,1727,129,2005,Yarra City Council,-37.78915,144.99605,Northern Metropolitan,2954,,
Coburg,97 Connolly Av,2,h," $905,000.00 ",S,Peter,17/03/2018,6.7,3058,2,1,1,390,82,1948,Darebin City Council,-37.73656,144.97799,Northern Metropolitan,11204,,
Coburg,11 Gilmour St,3,h," $900,000.00 ",PI,Love,17/03/2018,6.7,3058,3,1,1,403,100,1950,Darebin City Council,-37.73864,144.96376,Northern Metropolitan,11204,,
Coburg North,4 Allenby St,3,h," $801,000.00 ",S,Nelson,17/03/2018,6.7,3058,3,1,2,532,124,1930,Darebin City Council,-37.72768,144.95985,Northern Metropolitan,3445,,
Coburg North,14 Boyd Cr,4,h," $830,000.00 ",PI,Barry,17/03/2018,6.7,3058,4,2,2,557,102,1950,Darebin City Council,-37.73316,144.97958,Northern Metropolitan,3445,,
Croydon,11 Alwyn St,2,h," $664,000.00 ",S,Jellis,17/03/2018,23,3136,2,1,1,352,93,1950,Maroondah City Council,-37.79588,145.29166,Eastern Metropolitan,11925,,
Croydon,5 Lindisfarne Av,3,h," $1,165,000.00 ",S,McGrath,17/03/2018,23,3136,3,2,2,1044,235,1945,Maroondah City Council,-37.79263,145.29207,Eastern Metropolitan,11925,,
Deer Park,9 Meakin Wy,3,h," $580,500.00 ",SP,Wyndham,17/03/2018,14.8,3023,3,2,2,406,144,2010,Brimbank City Council,-37.77583,144.75692,Western Metropolitan,6388,,
Doncaster,32 Clancys La,4,h," $1,160,000.00 ",VB,Jellis,17/03/2018,12.4,3108,4,2,2,653,153,1970,Manningham City Council,-37.77607,145.1291,Eastern Metropolitan,9028,,
Doncaster,1 Curnola Av,3,h," $1,600,000.00 ",S,Barry,17/03/2018,12.4,3108,3,1,2,728,131,1962,Manningham City Council,-37.78118,145.11029,Eastern Metropolitan,9028,,
Doncaster,66 Margot Av,4,h," $1,310,000.00 ",PI,Jellis,17/03/2018,12.4,3108,4,2,2,352,226,2000,Manningham City Council,-37.7733,145.12795,Eastern Metropolitan,9028,,
Doncaster,11 Outhwaite Av,3,h," $1,320,000.00 ",VB,Jellis,17/03/2018,12.4,3108,3,1,2,725,128,1970,Manningham City Council,-37.78278,145.10144,Eastern Metropolitan,9028,,
Doncaster East,35 Owens St,4,h," $1,385,000.00 ",PI,Barry,17/03/2018,14.3,3109,4,3,2,675,194,1980,Manningham City Council,-37.77714,145.14903,Eastern Metropolitan,10999,,
Donvale,14 Amys Gr,3,h," $900,000.00 ",PI,Barry,17/03/2018,16.1,3111,3,2,2,393,178,2008,Manningham City Council,-37.80344,145.19777,Eastern Metropolitan,4790,,
Donvale,117A Glenvale Rd,3,t," $800,000.00 ",PI,Barry,17/03/2018,16.1,3111,3,2,2,345,173,2013,Manningham City Council,-37.80047,145.21536,Eastern Metropolitan,4790,,
Essendon,37 Daisy St,4,h," $1,727,000.00 ",S,Rendina,17/03/2018,7.5,3040,4,2,3,590,185,1910,Moonee Valley City Council,-37.7536,144.91097,Western Metropolitan,9264,,
Essendon,38C Fletcher St,3,h," $1,210,000.00 ",S,Nelson,17/03/2018,7.5,3040,3,2,2,207,181,2000,Moonee Valley City Council,-37.75451,144.92179,Western Metropolitan,9264,,
Essendon,22 McPhail St,4,h," $1,650,000.00 ",VB,Barry,17/03/2018,7.5,3040,4,2,2,354,272,2015,Moonee Valley City Council,-37.75474,144.91227,Western Metropolitan,9264,,
Essendon,5A Roberts St,3,h," $2,100,000.00 ",PI,McDonald,17/03/2018,7.5,3040,3,3,2,719,292,2010,Moonee Valley City Council,-37.75396,144.89796,Western Metropolitan,9264,,
Fairfield,58 Rathmines St,3,h," $1,360,000.00 ",VB,Miles,17/03/2018,5.7,3078,3,1,0,320,130,1910,Darebin City Council,-37.77945,145.01553,Northern Metropolitan,2970,,
Ferntree Gully,82 Bryden Dr,4,h," $860,000.00 ",S,Schroeder,17/03/2018,24.8,3156,4,2,4,623,171,1985,Knox City Council,-37.8984,145.26457,Eastern Metropolitan,10788,,
Ferntree Gully,62 Helen Rd,4,h," $851,000.00 ",S,Ray,17/03/2018,24.8,3156,4,2,2,722,170,1970,Knox City Council,-37.87574,145.26685,Eastern Metropolitan,10788,,
Fitzroy North,83 Holden St,3,h," $1,700,000.00 ",S,Nelson,17/03/2018,3.6,3068,3,1,0,266,150,1910,Moreland City Council,-37.77931,144.98197,Northern Metropolitan,6244,,
Fitzroy North,15 Willowbank Rd,3,h," $1,875,000.00 ",S,hockingstuart,17/03/2018,3.6,3068,3,2,2,560,183,1980,Moreland City Council,-37.77501,144.98491,Northern Metropolitan,6244,,
Flemington,1 Waltham St,3,h," $1,120,000.00 ",S,Nelson,17/03/2018,3.4,3031,3,1,0,209,143,1890,Melbourne City Council,-37.78346,144.9283,Northern Metropolitan,3593,,
Footscray,14 Tiernan St,4,h," $850,000.00 ",SP,Jas,17/03/2018,5.1,3011,4,1,2,388,102,1920,Maribyrnong City Council,-37.79419,144.89618,Western Metropolitan,7570,,
Glen Huntly,10 James St,4,h," $1,900,000.00 ",VB,hockingstuart,17/03/2018,10.1,3163,4,2,2,617,207,1950,Glen Eira City Council,-37.89042,145.04058,Southern Metropolitan,2403,,
Glenroy,55 Grandview St,3,h," $880,000.00 ",PI,Nelson,17/03/2018,11.2,3046,3,2,3,619,140,1950,Moreland City Council,-37.70994,144.90987,Northern Metropolitan,8870,,
Glenroy,25 Hilda St,3,h," $550,000.00 ",VB,Stockdale,17/03/2018,11.2,3046,3,1,1,308,93,1950,Moreland City Council,-37.6988,144.93355,Northern Metropolitan,8870,,
Gowanbrae,47 Balerno Cir,3,h," $665,000.00 ",S,Nelson,17/03/2018,12.9,3043,3,2,2,217,134,2003,Moreland City Council,-37.70864,144.89595,Western Metropolitan,1071,,
Gowanbrae,64 Gowanbrae Dr,3,h," $770,000.00 ",PI,Nelson,17/03/2018,12.9,3043,3,2,2,450,186,2000,Moreland City Council,-37.70703,144.89501,Western Metropolitan,1071,,
Hadfield,90 Hilton St,3,h," $685,000.00 ",SP,Barry,17/03/2018,11.2,3046,3,1,2,550,107,1970,Moreland City Council,-37.70202,144.94064,Northern Metropolitan,2606,,
Heathmont,14 Mont Ct,4,h," $1,050,000.00 ",S,Fletchers,17/03/2018,21.3,3135,4,3,4,893,250,1969,Maroondah City Council,-37.828,145.25283,Eastern Metropolitan,3794,,
Hillside,33 Allenby Rd,5,h," $650,000.00 ",PI,Barry,17/03/2018,18,3037,5,2,2,666,157,1998,Brimbank City Council,-37.70382,144.75342,Western Metropolitan,5556,,
Hillside,175 Community Hub,4,h," $640,000.00 ",PI,Prof.,17/03/2018,18,3037,4,2,4,650,180,2001,Brimbank City Council,-37.69971,144.74623,Western Metropolitan,5556,,
Hillside,22 Penlow Ct,3,h," $550,000.00 ",SP,Prof.,17/03/2018,18,3037,3,2,1,474,159,1995,Brimbank City Council,-37.68944,144.74707,Western Metropolitan,5556,,
Hughesdale,10 Bowen St,4,h," $815,000.00 ",S,Ray,17/03/2018,12.3,3166,4,2,2,455,170,1900,Monash City Council,-37.9016,145.08294,Southern Metropolitan,3145,,
Kealba,59 Rowan Dr,4,h," $668,500.00 ",S,Barry,17/03/2018,14,3021,4,2,2,365,146,2012,Brimbank City Council,-37.72971,144.82654,Western Metropolitan,1202,,
Keilor East,4 Brees Rd,5,h," $1,080,000.00 ",VB,Nelson,17/03/2018,11.7,3033,5,3,2,547,348,1970,Brimbank City Council,-37.75014,144.87182,Western Metropolitan,5629,,
Kings Park,19 Aldergate Cr,3,h," $585,000.00 ",SP,Frank,17/03/2018,14,3021,3,1,4,706,18,1985,Brimbank City Council,-37.74012,144.7718,Western Metropolitan,2878,,
Kingsville,112 Wales St,4,h," $1,480,000.00 ",VB,Village,17/03/2018,6.4,3012,4,2,2,373,150,1915,Maribyrnong City Council,-37.8117,144.87925,Western Metropolitan,1808,,
Maidstone,5 Smith St,3,h," $830,000.00 ",VB,Biggin,17/03/2018,6.4,3012,3,1,2,427,123,1960,Maribyrnong City Council,-37.77916,144.87998,Western Metropolitan,3873,,
Malvern,13 Wilks Av,5,h," $6,300,000.00 ",S,RT,17/03/2018,5.9,3144,5,4,4,900,435,1930,Stonnington City Council,-37.84802,145.03341,Southern Metropolitan,4675,,
Maribyrnong,24 Gatehouse Pl,2,h," $527,000.00 ",SP,Sweeney,17/03/2018,4.3,3032,2,1,1,4627,70,1911,Maribyrnong City Council,-37.77394,144.88112,Western Metropolitan,4918,,
Middle Park,36 Park Rd,4,h," $2,650,000.00 ",S,Cayzer,17/03/2018,3,3206,4,2,0,199,192,1900,Port Phillip City Council,-37.85372,144.96579,Southern Metropolitan,2019,,
Moonee Ponds,37 Addison St,4,h," $1,835,000.00 ",S,Jellis,17/03/2018,6.2,3039,4,2,1,438,183,1910,Moonee Valley City Council,-37.77011,144.92881,Western Metropolitan,6232,,
Moonee Ponds,22 Darling St,4,h," $1,800,000.00 ",S,McDonald,17/03/2018,6.2,3039,4,2,2,550,174,1940,Moonee Valley City Council,-37.7677,144.91107,Western Metropolitan,6232,,
Mount Waverley,27 Solomon St,3,h," $1,000,000.00 ",S,McGrath/First,17/03/2018,14.2,3149,3,1,2,660,150,1968,Monash City Council,-37.88811,145.11153,Eastern Metropolitan,13366,,
Mount Waverley,40 Sunhill Rd,3,h," $1,400,000.00 ",PI,Barry,17/03/2018,14.2,3149,3,1,2,724,139,1960,Monash City Council,-37.86824,145.128,Eastern Metropolitan,13366,,
Mount Waverley,68 Wilga St,4,h," $1,500,000.00 ",PI,McGrath,17/03/2018,14.2,3149,4,2,2,673,259,2015,Monash City Council,-37.89003,145.13272,Eastern Metropolitan,13366,,
Newport,78 Anderson St,5,h," $1,680,000.00 ",S,Williams,17/03/2018,6.2,3015,5,2,3,479,250,2015,Hobsons Bay City Council,-37.84456,144.87459,Western Metropolitan,5498,,
Newport,2A Ford St,2,h," $850,000.00 ",VB,Greg,17/03/2018,6.2,3015,2,1,2,173,107,2009,Hobsons Bay City Council,-37.84426,144.87911,Western Metropolitan,5498,,
Newport,195 Mason St,3,h," $1,030,000.00 ",SP,hockingstuart,17/03/2018,6.2,3015,3,1,3,528,110,1950,Hobsons Bay City Council,-37.84089,144.86617,Western Metropolitan,5498,,
Niddrie,23 Hutchison St,4,h," $1,340,000.00 ",S,Nelson,17/03/2018,10.4,3042,4,3,2,344,270,2009,Moonee Valley City Council,-37.73779,144.88392,Western Metropolitan,2291,,
Niddrie,63A Nolan St,4,h," $1,300,000.00 ",VB,Nelson,17/03/2018,10.4,3042,4,3,2,314,270,2017,Moonee Valley City Council,-37.741,144.88474,Western Metropolitan,2291,,
North Melbourne,9 George St,3,h," $1,270,000.00 ",S,Peter,17/03/2018,1.8,3051,3,2,2,214,137,2004,Melbourne City Council,-37.79025,144.94093,Northern Metropolitan,6821,,
Northcote,4 Balgonie Pl,2,h," $940,000.00 ",S,Nelson,17/03/2018,5.3,3070,2,1,1,130,73,1900,Darebin City Council,-37.77018,144.99969,Northern Metropolitan,11364,,
Northcote,4 Jeffrey St,3,h," $1,225,000.00 ",VB,McGrath,17/03/2018,5.3,3070,3,1,1,222,108,1900,Darebin City Council,-37.78323,145.00957,Northern Metropolitan,11364,,
Northcote,9 McLachlan St,3,h," $2,125,000.00 ",S,Jellis,17/03/2018,5.3,3070,3,1,1,423,127,1930,Darebin City Council,-37.78207,144.99348,Northern Metropolitan,11364,,
Pascoe Vale,3 Quick St,4,h," $863,000.00 ",SP,Jellis,17/03/2018,8.5,3044,4,2,2,283,168,2000,Moreland City Council,-37.72196,144.93017,Northern Metropolitan,7485,,
Prahran,389 High St,2,h," $1,350,000.00 ",S,Biggin,17/03/2018,4.6,3181,2,2,0,164,135,1915,Stonnington City Council,-37.85277,145.00129,Southern Metropolitan,7717,,
Preston,50 Garnet St,2,t," $635,000.00 ",S,Ray,17/03/2018,8.4,3072,2,1,2,152,110,2005,Darebin City Council,-37.74542,145.00086,Northern Metropolitan,14577,,
Preston,252 Gower St,3,h," $1,000,000.00 ",S,Nelson,17/03/2018,8.4,3072,3,1,1,353,112,1925,Darebin City Council,-37.74064,145.00746,Northern Metropolitan,14577,,
Preston,68 Hotham St,3,h," $1,250,000.00 ",PI,McGrath,17/03/2018,8.4,3072,3,2,1,206,108,1890,Darebin City Council,-37.74731,145.00751,Northern Metropolitan,14577,,
Reservoir,30 Elinda Pl,2,h," $445,000.00 ",S,Ray,17/03/2018,12,3073,2,1,1,144,95,2002,Darebin City Council,-37.69824,145.02372,Northern Metropolitan,21650,,
Richmond,6 Albert Pl,3,h," $1,798,000.00 ",S,Biggin,17/03/2018,2.4,3121,3,2,1,144,145,1998,Yarra City Council,-37.82467,145.0127,Northern Metropolitan,14949,,
Richmond,184 Buckingham St,3,t," $1,150,000.00 ",SP,Jellis,17/03/2018,2.4,3121,3,2,1,104,118,2002,Yarra City Council,-37.81471,145.0086,Northern Metropolitan,14949,,
Richmond,76 Buckingham St,3,h," $2,210,000.00 ",S,hockingstuart,17/03/2018,2.4,3121,3,3,2,285,218,1930,Yarra City Council,-37.81415,145.00381,Northern Metropolitan,14949,,
Ringwood,8 Margaret St,4,h," $955,000.00 ",PI,Ray,17/03/2018,19.9,3134,4,3,6,710,277,1970,Maroondah City Council,-37.81519,145.21356,Eastern Metropolitan,7785,,
Seddon,52 Austin St,3,h," $1,020,000.00 ",VB,Jas,17/03/2018,5.1,3011,3,1,0,213,97,1900,Maribyrnong City Council,-37.80563,144.89352,Western Metropolitan,2417,,
South Kingsville,55A Vernon St,4,h," $1,030,000.00 ",SP,Jas,17/03/2018,6.2,3015,4,3,2,212,192,2013,Hobsons Bay City Council,-37.83187,144.87164,Western Metropolitan,984,,
South Yarra,25 Albion St,3,h," $2,160,000.00 ",S,Jellis,17/03/2018,2.7,3141,3,2,0,217,175,1930,Melbourne City Council,-37.84305,144.98701,Southern Metropolitan,14887,,
St Albans,25 Bent St,3,h," $475,000.00 ",S,Barry,17/03/2018,14,3021,3,1,1,478,103,1968,Brimbank City Council,-37.75501,144.80459,Western Metropolitan,14042,,
St Kilda,2 Alfred Sq,4,h," $3,600,000.00 ",VB,Marshall,17/03/2018,5,3182,4,2,1,596,293,1880,Port Phillip City Council,-37.86429,144.97382,Southern Metropolitan,13240,,
Strathmore,18 Glenview Rd,5,h," $3,300,000.00 ",S,Nelson,17/03/2018,8.2,3041,5,5,2,1076,397,2015,Moonee Valley City Council,-37.73896,144.92131,Western Metropolitan,3284,,
Sunshine North,38 Barwon Av,2,h," $600,000.00 ",PI,Douglas,17/03/2018,10.5,3020,2,1,2,612,95,1970,Brimbank City Council,-37.76914,144.82632,Western Metropolitan,4217,,
Sunshine North,12 Lurg Av,3,h," $695,000.00 ",S,Douglas,17/03/2018,10.5,3020,3,1,2,697,120,1964,Brimbank City Council,-37.76374,144.82401,Western Metropolitan,4217,,
Sunshine West,54 Bardsley St,3,h," $760,000.00 ",S,Barry,17/03/2018,10.5,3020,3,1,1,603,116,1955,Brimbank City Council,-37.79146,144.82045,Western Metropolitan,6763,,
Sunshine West,32 Kosa Av,3,t," $535,000.00 ",PI,Douglas,17/03/2018,10.5,3020,3,2,2,166,134,2013,Brimbank City Council,-37.79498,144.79227,Western Metropolitan,6763,,
Sunshine West,16 Ryder St,3,t," $510,000.00 ",PI,Barry,17/03/2018,10.5,3020,3,1,1,152,105,2013,Brimbank City Council,-37.79057,144.82188,Western Metropolitan,6763,,
Templestowe,19 Jacobena Pl,4,h," $1,370,000.00 ",VB,Fletchers,17/03/2018,15.5,3106,4,2,2,781,269,1980,Manningham City Council,-37.75726,145.14123,Eastern Metropolitan,6202,,
Templestowe,5 Noorilim Cl,3,h," $1,496,000.00 ",S,Fletchers,17/03/2018,15.5,3106,3,2,2,722,262,1975,Manningham City Council,-37.77459,145.14123,Eastern Metropolitan,6202,,
Thornbury,2 Bradley Av,3,h," $1,530,000.00 ",S,Jellis,17/03/2018,7,3071,3,1,2,442,127,1950,Darebin City Council,-37.76113,144.99212,Northern Metropolitan,8870,,
Thornbury,172A Normanby Av,2,h," $816,000.00 ",S,Love,17/03/2018,7,3071,2,1,2,166,87,1994,Darebin City Council,-37.75773,144.98542,Northern Metropolitan,8870,,
Thornbury,83 Normanby Av,3,h," $1,185,000.00 ",S,Woodards,17/03/2018,7,3071,3,2,2,313,124,1910,Darebin City Council,-37.75879,144.99196,Northern Metropolitan,8870,,
Toorak,29 Gordon St,3,h," $2,300,000.00 ",PI,RT,17/03/2018,4.1,3142,3,2,1,230,181,1930,Stonnington City Council,-37.84387,145.00687,Southern Metropolitan,7217,,
Travancore,106 Baroda St,2,h," $972,000.00 ",S,Nelson,17/03/2018,4.3,3032,2,1,4,315,82,1930,Moonee Valley City Council,-37.7778,144.93439,Western Metropolitan,1052,,
Vermont South,1 Cottonwood Av,3,h," $1,120,000.00 ",SP,Ray,17/03/2018,17.2,3133,3,2,2,647,145,1980,Whitehorse City Council,-37.85785,145.17049,Eastern Metropolitan,4280,,
Wantirna South,5 Hunt Ct,3,h," $980,000.00 ",S,Harcourts,17/03/2018,14.7,3152,3,2,2,650,156,1985,Knox City Council,-37.88812,145.22391,Eastern Metropolitan,7082,,
Warrandyte,261 Tindals Rd,5,h," $3,250,000.00 ",S,Barry,17/03/2018,21.1,3113,5,3,6,4330,417,1985,Manningham City Council,-37.76192,145.19617,Eastern Metropolitan,2003,,
West Footscray,19 Hope St,4,h," $1,230,000.00 ",S,Jas,17/03/2018,6.4,3012,4,2,2,353,160,1935,Maribyrnong City Council,-37.79175,144.87185,Western Metropolitan,5058,,
Williamstown,58 Anzac Cr,4,h," $1,600,000.00 ",PI,Williams,17/03/2018,6.8,3016,4,3,2,509,127,1990,Hobsons Bay City Council,-37.8621,144.88598,Western Metropolitan,6380,,
Williamstown,12 McGuire Cr,3,h," $1,150,000.00 ",SP,Williams,17/03/2018,6.8,3016,3,2,2,330,112,2000,Hobsons Bay City Council,-37.85714,144.87523,Western Metropolitan,6380,,
Williamstown,4 McGuire Cr,3,h," $1,150,000.00 ",SP,Williams,17/03/2018,6.8,3016,3,2,2,270,150,1998,Hobsons Bay City Council,-37.85681,144.87529,Western Metropolitan,6380,,
Yarraville,23 Frederick St,3,h," $1,125,000.00 ",S,Village,17/03/2018,6.3,3013,3,1,1,294,112,1900,Maribyrnong City Council,-37.81973,144.89735,Western Metropolitan,6543,,
Yarraville,30 Sussex St,3,h," $1,200,000.00 ",SP,Jas,17/03/2018,6.3,3013,3,1,0,268,119,1915,Maribyrnong City Council,-37.81968,144.89142,Western Metropolitan,6543,,
Alphington,41 Broomfield Av,4,h," $1,575,000.00 ",PI,Jellis,10/03/2018,5.7,3078,4,2,1,471,187,1925,Darebin City Council,-37.77984,145.02149,Northern Metropolitan,2211,,
Altona Meadows,84 Myers Pde,4,h," $761,000.00 ",S,Reliance,10/03/2018,15.5,3028,4,2,2,503,190,1990,Hobsons Bay City Council,-37.87774,144.77313,Western Metropolitan,7630,,
Brunswick,6 Bennie St,4,h," $1,320,000.00 ",S,Collins,10/03/2018,5.2,3056,4,2,0,243,133,1920,Moreland City Council,-37.76699,144.96641,Northern Metropolitan,11918,,
Coburg,92A Rennie St,3,h," $975,000.00 ",SP,Nelson,10/03/2018,6.7,3058,3,1,2,481,138,1940,Darebin City Council,-37.75142,144.97404,Northern Metropolitan,11204,,
Doncaster,23 Frederick St,5,h," $2,250,000.00 ",PI,Jellis,10/03/2018,12.4,3108,5,4,1,981,278,1974,Manningham City Council,-37.78983,145.1262,Eastern Metropolitan,9028,,
Doncaster East,55 Gedye St,5,h," $1,200,000.00 ",SP,Barry,10/03/2018,14.3,3109,5,3,2,653,239,1980,Manningham City Council,-37.79751,145.14706,Eastern Metropolitan,10999,,
Glen Waverley,5 Wilfred Ct,5,h," $815,000.00 ",S,Barry,10/03/2018,16.7,3150,5,3,2,895,145,1978,Monash City Council,-37.89524,145.1587,Eastern Metropolitan,15321,,
Glenroy,15 George St,4,h," $876,500.00 ",S,Eview,10/03/2018,11.2,3046,4,2,2,600,154,1970,Moreland City Council,-37.71283,144.91446,Northern Metropolitan,8870,,
Glenroy,75 Glen St,3,h," $680,000.00 ",VB,RW,10/03/2018,11.2,3046,3,1,6,669,130,1950,Moreland City Council,-37.69805,144.92765,Northern Metropolitan,8870,,
Glenroy,6 Gordon Ct,3,h," $777,777.00 ",S,Stockdale,10/03/2018,11.2,3046,3,1,2,650,97,1960,Moreland City Council,-37.69824,144.92347,Northern Metropolitan,8870,,
Keilor East,23 Viewbank Dr,4,h," $1,000,000.00 ",VB,Nelson,10/03/2018,11.7,3033,4,2,2,545,233,1980,Brimbank City Council,-37.74794,144.87634,Western Metropolitan,5629,,
