Suburb,Type,Price,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,Lattitude,Longtitude,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,,Pricelandratio,Landbuildingratio
Brunswick,h,1261000,16/04/2016,5.2,3,1,0,183,104,-37.7948,144.9875,141,5874.31694,10336.53846,358333.3333,671875,8943.262411,,6890.710383,1.759615385
Brunswick,h,1045000,16/04/2016,5.2,3,2,1,140,169,-37.8353,144.9442,141,11928.57143,9881.656805,556666.6667,439473.6842,7411.347518,,7464.285714,0.828402367
Brunswick West,h,711000,16/04/2016,5.9,3,1,2,240,84,-37.8202,144.8896,141,3958.333333,11309.52381,316666.6667,135714.2857,5042.553191,,2962.5,2.857142857
Bulleen,h,1000000,16/04/2016,11.8,4,2,1,153,180,-37.8447,144.9523,141,15032.67974,12777.77778,575000,696969.697,7092.198582,,6535.947712,0.85
Carnegie,h,817500,16/04/2016,11.4,3,2,1,132,165,-37.8004,144.9768,141,12272.72727,9818.181818,540000,1012500,5797.87234,,6193.181818,0.8
Carnegie,h,1450000,16/04/2016,11.4,2,1,1,199,120,-37.759,144.9597,141,3844.221106,6375,382500,147115.3846,10283.68794,,7286.432161,1.658333333
Carnegie,t,855000,16/04/2016,11.4,2,1,1,155,85,-37.7934,144.9922,141,5032.258065,9176.470588,390000,229411.7647,6063.829787,,5516.129032,1.823529412
Carnegie,h,675000,16/04/2016,11.4,3,1,0,153,109,-37.8382,144.9469,141,9607.843137,13486.23853,490000,386842.1053,4787.234043,,4411.764706,1.403669725
Caulfield South,h,825000,16/04/2016,9.3,3,1,1,181,117,-37.8365,144.9631,141,7762.430939,12008.54701,468333.3333,669047.619,5851.06383,,4558.01105,1.547008547
Caulfield South,h,1262000,16/04/2016,9.3,3,3,2,265,280,-37.8073,144.9481,141,8943.396226,8464.285714,790000,1247368.421,8950.35461,,4762.264151,0.946428571
Coburg,h,865000,16/04/2016,7.8,2,1,1,261,100,-37.8157,144.887,141,3279.693487,8560,428000,122285.7143,6134.751773,,3314.176245,2.61
Coburg,u,485000,16/04/2016,7.8,3,2,1,183,145,-37.8434,144.9495,141,11693.98907,14758.62069,713333.3333,648484.8485,3439.716312,,2650.273224,1.262068966
Collingwood,h,1075000,16/04/2016,1.6,3,1,0,118,118,-37.7921,144.9858,141,11525.42373,11525.42373,453333.3333,400000,7624.113475,,9110.169492,1
Doncaster,h,1485000,16/04/2016,13.9,3,2,1,151,165,-37.847,144.9594,141,9933.774834,9090.909091,500000,365853.6585,10531.91489,,9834.437086,0.915151515
Elsternwick,t,1071000,16/04/2016,8.5,3,2,1,113,110,-37.8056,144.993,141,10619.46903,10909.09091,400000,480000,7595.744681,,9477.876106,1.027272727
Elsternwick,h,1800000,16/04/2016,8.5,4,2,2,436,211,-37.8629,144.9887,141,4472.477064,9241.706161,487500,319672.1311,12765.95745,,4128.440367,2.066350711
Elsternwick,u,741000,16/04/2016,8.5,4,2,2,527,184,-37.883,145.0043,141,4933.586338,14130.43478,650000,305882.3529,5255.319149,,1406.072106,2.864130435
Elwood,u,686000,16/04/2016,7.7,2,1,1,111,73,-37.8044,144.9481,141,7972.972973,12123.28767,442500,384782.6087,4865.248227,,6180.18018,1.520547945
Elwood,u,560000,16/04/2016,7.7,2,1,0,104,70,-37.7927,144.9796,141,8269.230769,12285.71429,430000,245714.2857,3971.631206,,5384.615385,1.485714286
Elwood,u,765000,16/04/2016,7.7,4,3,4,310,276,-37.7958,144.944,141,9419.354839,10579.71014,730000,1269565.217,5425.531915,,2467.741935,1.123188406
Essendon,u,280000,16/04/2016,8,3,2,2,324,165,-37.8278,144.9885,141,4552.469136,8939.393939,491666.6667,590000,1985.815603,,864.1975309,1.963636364
Essendon,h,890000,16/04/2016,8,3,2,2,324,165,-37.8278,144.9885,141,3950.617284,7757.575758,426666.6667,512000,6312.056738,,2746.91358,1.963636364
Fitzroy North,h,1275000,16/04/2016,3.5,4,2,0,292,272,-37.8377,144.9894,141,19520.54795,20955.88235,1425000,1727272.727,9042.553191,,4366.438356,1.073529412
Footscray,u,615000,16/04/2016,6.4,2,1,2,159,86,-37.7962,144.9887,141,6289.308176,11627.90698,500000,625000,4361.702128,,3867.924528,1.848837209
Glenroy,h,525000,16/04/2016,13,2,1,0,96,71,-37.8501,144.9953,141,8489.583333,11478.87324,407500,181111.1111,3723.404255,,5468.75,1.352112676
Hadfield,t,510000,16/04/2016,12.1,4,1,3,765,257,-37.8621,144.8999,141,2947.712418,8774.319066,563750,281875,3617.021277,,666.6666667,2.976653696
Hughesdale,u,455000,16/04/2016,13,3,2,1,177,181,-37.8415,144.9585,141,14774.0113,14447.51381,871666.6667,792424.2424,3226.950355,,2570.621469,0.977900552
Keilor East,h,835000,16/04/2016,12.8,1,1,1,818,50,-37.788,144.9306,141,482.8850856,7900,395000,89772.72727,5921.985816,,1020.782396,16.36
Keilor East,t,705000,16/04/2016,12.8,2,1,1,0,97,-37.8035,144.985,141, ,9381.443299,455000,568750,5000,,#DIV/0!,0
Kensington,t,812000,16/04/2016,4.2,3,2,1,287,196,-37.7698,144.9214,141,5017.421603,7346.938776,480000,208695.6522,5758.865248,,2829.268293,1.464285714
Kensington,h,1900000,16/04/2016,4.2,3,2,2,176,192,-37.8641,144.9739,141,11363.63636,10416.66667,666666.6667,327868.8525,13475.1773,,10795.45455,0.916666667
Maidstone,u,349000,16/04/2016,9.2,4,1,1,0,163,-37.8423,144.8795,141, ,6840.490798,278750,132738.0952,2475.177305,,#DIV/0!,0
Malvern,h,1437000,16/04/2016,7.4,4,2,2,141,127,-37.8366,144.9827,141,18439.71631,20472.44094,650000,787878.7879,10191.48936,,10191.48936,1.11023622
Malvern East,h,1915000,16/04/2016,11.2,2,1,0,101,60,-37.7989,144.9713,141,10000,16833.33333,505000,561111.1111,13581.56028,,18960.39604,1.683333333
Maribyrnong,t,865000,16/04/2016,8.7,2,1,1,15900,98,-37.8035,144.985,141,59.43396226,9642.857143,472500,590625,6134.751773,,54.40251572,162.244898
Maribyrnong,h,940000,16/04/2016,8.7,2,1,0,160,119,-37.7933,144.9824,141,5287.5,7109.243697,423000,241714.2857,6666.666667,,5875,1.344537815
Middle Park,u,700000,16/04/2016,4.1,3,2,2,368,226,-37.8323,144.9463,141,6521.73913,10619.46903,800000,631578.9474,4964.539007,,1902.173913,1.628318584
Newport,t,735000,16/04/2016,8.4,3,2,2,275,106,-37.767,144.9108,141,4509.090909,11698.11321,413333.3333,179710.1449,5212.765957,,2672.727273,2.594339623
North Melbourne,u,440000,16/04/2016,2.3,2,2,0,208,145,-37.8433,145.0024,141,8221.153846,11793.10345,855000,518181.8182,3120.567376,,2115.384615,1.434482759
North Melbourne,u,606000,16/04/2016,2.3,2,1,0,144,80,-37.80298,144.98894,141,7881.944444,14187.5,567500,567500,4297.87234,,4208.333333,1.8
Northcote,h,1900000,16/04/2016,5.5,2,1,0,181,105,-37.83661,144.93359,141,7375.690608,12714.28571,667500,381428.5714,13475.1773,,10497.23757,1.723809524
Northcote,h,888000,16/04/2016,5.5,5,3,2,590,223,-37.75511,144.90935,141,3745.762712,9910.313901,442000,294666.6667,6297.87234,,1505.084746,2.64573991
Northcote,h,1020000,16/04/2016,5.5,3,2,0,145,138,-37.84957,144.9889,141,9655.172414,10144.92754,466666.6667,304347.8261,7234.042553,,7034.482759,1.050724638
Northcote,h,844000,16/04/2016,5.5,4,2,1,176,216,-37.83986,144.98598,141,10542.61364,8590.277778,463875,687222.2222,5985.815603,,4795.454545,0.814814815
Pascoe Vale,h,970000,16/04/2016,9.9,3,1,2,433,144,-37.81183,144.88569,141,2840.646651,8541.666667,410000,195238.0952,6879.432624,,2240.184758,3.006944444
Port Melbourne,h,1670000,16/04/2016,3.8,3,1,3,312,106,-37.79334,144.89128,141,2884.615385,8490.566038,300000,176470.5882,11843.97163,,5352.564103,2.943396226
Prahran,u,530000,16/04/2016,4.5,3,1,0,142,130,-37.80359,144.99538,141,11514.08451,12576.92308,545000,545000,3758.865248,,3732.394366,1.092307692
Preston,h,700000,16/04/2016,8.8,3,1,2,354,117,-37.85189,145.03335,141,4661.016949,14102.5641,550000,279661.0169,4964.539007,,1977.40113,3.025641026
Reservoir,u,323000,16/04/2016,11.2,3,1,,128,130,-37.83731,144.95057,141,11031.25,10861.53846,470666.6667,743157.8947,2290.780142,,2523.4375,0.984615385
Reservoir,h,680000,16/04/2016,11.2,3,2,1,162,135,-37.84398,144.95044,141,14444.44444,17333.33333,780000,780000,4822.695035,,4197.530864,1.2
Reservoir,t,530000,16/04/2016,11.2,3,1,,9405,134,-37.79945,144.96653,141,187.1345029,13134.32836,586666.6667,1100000,3758.865248,,56.35300372,70.18656716
Richmond,h,1088000,16/04/2016,2.6,3,1,1,110,128,-37.79667,144.97204,141,11481.81818,9867.1875,421000,789375,7716.312057,,9890.909091,0.859375
Richmond,h,3001000,16/04/2016,2.6,4,2,1,278,174,-37.77081,144.96318,141,5863.309353,9367.816092,407500,313461.5385,21283.68794,,10794.96403,1.597701149
Richmond,u,638000,16/04/2016,2.6,3,2,,395,149,-37.85892,145.03731,141,6329.113924,16778.52349,833333.3333,423728.8136,4524.822695,,1615.189873,2.651006711
Seddon,h,1395000,16/04/2016,6.6,2,1,1,182,96,-37.77523,144.97479,141,6593.406593,12500,600000,300000,9893.617021,,7664.835165,1.895833333
Seddon,h,965000,16/04/2016,6.6,1,1,0,133,60,-37.78673,144.97899,141,6917.293233,15333.33333,920000,255555.5556,6843.971631,,7255.639098,2.216666667
South Melbourne,h,2000000,16/04/2016,2.1,3,2,0,193,80,-37.76627,144.99345,141,5958.549223,14375,383333.3333,216981.1321,14184.39716,,10362.6943,2.4125
Southbank,u,425000,16/04/2016,1.2,4,2,,165,202,-37.78731,144.97551,141,11030.30303,9009.90099,455000,520000,3014.184397,,2575.757576,0.816831683
Spotswood,h,831000,16/04/2016,7.7,2,1,1,156,96,-37.79379,144.98809,141,5846.153846,9500,456000,253333.3333,5893.617021,,5326.923077,1.625
St Kilda,u,503500,16/04/2016,6.1,4,1,1,242,143,-37.7873,144.9911,141,9090.909091,15384.61538,550000,611111.1111,3570.921986,,2080.578512,1.692307692
Strathmore,h,1430000,16/04/2016,9.7,2,1,,100,71,-37.83661,144.96378,141,12250,17253.52113,612500,644736.8421,10141.84397,,14300,1.408450704
Sunshine,h,610000,16/04/2016,12.6,4,1,1,133,124,-37.80814,144.94506,141,9248.120301,9919.354839,307500,396774.1935,4326.241135,,4586.466165,1.072580645
Sunshine West,h,480000,16/04/2016,13.5,3,2,0,506,88,-37.8029,144.9772,141,2579.051383,14829.54545,435000,621428.5714,3404.255319,,948.6166008,5.75
Templestowe Lower,h,1010000,16/04/2016,13.8,3,2,1,261,194,-37.8513,145.0089,141,12452.10728,16752.57732,1083333.333,706521.7391,7163.120567,,3869.731801,1.345360825
Thornbury,h,898000,16/04/2016,6.5,3,1,,116,98,-37.813,145.0004,141,8198.275862,9704.081633,317000,396250,6368.794326,,7741.37931,1.183673469
Thornbury,t,910500,16/04/2016,6.5,4,2,,165,170,-37.7925,144.98789,141,9696.969697,9411.764706,400000,444444.4444,6457.446809,,5518.181818,0.970588235
Thornbury,h,760000,16/04/2016,6.5,2,1,,101,93,-37.78495,144.98088,141,13465.34653,14623.65591,680000,377777.7778,5390.070922,,7524.752475,1.086021505
Thornbury,u,505000,16/04/2016,6.5,3,1,2,156,113,-37.82795,144.99565,141,7980.769231,11017.69912,415000,518750,3581.560284,,3237.179487,1.380530973
Williamstown,h,1805000,16/04/2016,8,2,1,,164,108,-37.85235,144.98723,141,7179.878049,10902.77778,588750,255978.2609,12801.41844,,11006.09756,1.518518519
Williamstown,h,1126000,16/04/2016,8,3,1,,325,130,-37.8536,144.98841,141,5384.615385,13461.53846,583333.3333,380434.7826,7985.815603,,3464.615385,2.5
Williamstown,t,935000,16/04/2016,8,6,4,4,420,324,-37.84535,144.96044,141,13273.80952,17206.79012,929166.6667,1858333.333,6631.205674,,2226.190476,1.296296296
Yarraville,h,1055000,16/04/2016,7,4,2,,296,193,-37.77326,144.99688,141,6520.27027,10000,482500,364150.9434,7482.269504,,3564.189189,1.533678756
Yarraville,t,620000,16/04/2016,7,3,1,,113,140,-37.82357,144.99697,141,15730.0885,12696.42857,592500,740625,4397.163121,,5486.725664,0.807142857
Yarraville,h,660000,16/04/2016,7,2,1,0,96,80,-37.788,144.96978,141,11093.75,13312.5,532500,304285.7143,4680.851064,,6875,1.2
Yarraville,u,345000,16/04/2016,7,2,1,0,130,83,-37.83913,144.9482,141,11153.84615,17469.87952,725000,763157.8947,2446.808511,,2653.846154,1.56626506
Yarraville,h,950000,16/04/2016,7,6,3,5,1463,307,-37.82438,145.12528,141,3144.224197,14983.71336,766666.6667,422018.3486,6737.588652,,649.3506494,4.765472313
Brunswick East,h,1574000,16/04/2016,4.5,4,2,1,596,293,-37.86429,144.97382,141,6040.268456,12286.68942,900000,720000,11163.12057,,2640.939597,2.034129693
Ormond,h,1500000,16/04/2016,11.8,3,1,2,477,173,-37.8257,145.0514,141,,,630000,,10638.29787,,3144.654088,2.757225434
Ormond,u,260000,16/04/2016,11.8,5,5,4,2079,464.3,-37.8179,145.0694,141,,,1600000,,1843.971631,,125.0601251,4.477708378
South Kingsville,t,915000,16/04/2016,9.1,4,1,2,566,140,-37.8008,145.0353,141,,,503750,,6489.361702,,1616.607774,4.042857143
Albert Park,h,2100000,23/04/2016,3.3,3,3,0,1126,240,-37.81631,145.10313,141,,,773333.3333,,14893.61702,,1865.008881,4.691666667
Altona,u,577000,23/04/2016,13.8,5,2,2,304,184,-37.8065,144.9768,140,9177.631579,15163.04348,558000,1328571.429,4121.428571,,1898.026316,1.652173913
Ascot Vale,h,1130000,23/04/2016,5.9,5,3,3,1294,378,-37.8589,144.9883,137,3899.536321,13349.20635,1009200,827213.1148,8248.175182,,873.2612056,3.423280423
Box Hill,h,1170000,23/04/2016,13.1,5,3,2,701,273,-37.8897,145.008,136,3708.987161,9523.809524,520000,305882.3529,8602.941176,,1669.044223,2.567765568
Brunswick,h,705000,23/04/2016,5.2,3,1,1,272,131,-37.7857,144.931,136,4080.882353,8473.282443,370000,252272.7273,5183.823529,,2591.911765,2.076335878
Carnegie,t,1100000,23/04/2016,11.4,2,1,1,223,118,-37.7829,144.9782,136,5426.008969,10254.23729,605000,345714.2857,8088.235294,,4932.735426,1.889830508
Carnegie,h,1125000,23/04/2016,11.4,3,2,0,138,155,-37.84962,144.95856,136,12681.15942,11290.32258,583333.3333,583333.3333,8272.058824,,8152.173913,0.890322581
Coburg,h,680000,23/04/2016,7.8,3,2,,205,106,-37.79933,144.97932,136,12087.80488,23377.35849,826000,1180000,5000,,3317.073171,1.933962264
Coburg,h,825000,23/04/2016,7.8,3,2,0,279,207,-37.85122,145.00514,136,9354.83871,12608.69565,870000,567391.3043,6066.176471,,2956.989247,1.347826087
Coburg,h,1250000,23/04/2016,7.8,3,1,2,304,127,-37.8023,145.0404,136,,,470000,,9191.176471,,4111.842105,2.393700787
Doncaster,u,452000,23/04/2016,13.9,3,1,2,888,165,-37.8799,145.0738,135,1689.189189,9090.909091,500000,133928.5714,3348.148148,,509.009009,5.381818182
Essendon,u,736000,23/04/2016,8,3,2,1,665,195,-37.75238,144.92249,135,2375.93985,8102.564103,526666.6667,210666.6667,5451.851852,,1106.766917,3.41025641
Fairfield,h,1065000,23/04/2016,5.8,3,2,4,634,0,-37.77625,144.99572,135,4337.539432, ,916666.6667,518867.9245,7888.888889,,1679.810726,#DIV/0!
Fitzroy North,h,937500,23/04/2016,3.5,4,1,2,600,186,-37.8327,145.0976,135,,,400000,,6944.444444,,1562.5,3.225806452
Flemington,h,991000,23/04/2016,4.4,2,1,0,132,79,-37.7989,144.9275,134,6151.515152,10278.48101,406000,193333.3333,7395.522388,,7507.575758,1.670886076
Glenroy,h,600000,23/04/2016,13,6,3,2,1014,435,-37.7721,144.9184,134,2391.518738,5574.712644,404166.6667,411016.9492,4477.61194,,591.7159763,2.331034483
Gowanbrae,h,390000,23/04/2016,13.6,6,3,2,1012,435,-37.7721,144.9184,134,2223.320158,5172.413793,375000,381355.9322,2910.447761,,385.3754941,2.326436782
Hampton,h,2200000,23/04/2016,13.7,3,2,1,155,171,-37.82394,145.00044,134,14193.54839,12865.49708,733333.3333,916666.6667,16417.91045,,14193.54839,0.906432749
Keilor East,h,825000,23/04/2016,12.8,2,1,2,0,90,-37.79413,145.02382,134,,,295500,,6156.716418,,#DIV/0!,0
Kensington,u,460000,23/04/2016,4.2,2,1,1,0,76,-37.851,144.988,133, ,6973.684211,265000,117777.7778,3458.646617,,#DIV/0!,0
Maribyrnong,h,1048700,23/04/2016,8.7,3,1,1,217,116,-37.8592,145.0182,133,8617.511521,16120.68966,623333.3333,296825.3968,7884.962406,,4832.718894,1.870689655
Middle Park,h,1025000,23/04/2016,4.1,1,1,1,1768,45,-37.851,144.988,133,278.280543,10933.33333,492000,109333.3333,7706.766917,,579.7511312,39.28888889
Moonee Ponds,h,1250000,23/04/2016,6.9,1,1,1,0,64,-37.8487,144.9511,133, ,17187.5,1100000,333333.3333,9398.496241,,#DIV/0!,0
Moonee Ponds,t,870000,23/04/2016,6.9,3,2,0,92,114,-37.797,144.9957,133,12663.04348,10219.29825,388333.3333,466000,6541.353383,,9456.521739,0.807017544
Newport,h,680000,23/04/2016,8.4,1,1,0,0,53,-37.80376,144.89862,133, ,5849.056604,310000,60784.31373,5112.781955,,#DIV/0!,0
Northcote,h,1225000,23/04/2016,5.5,5,3,4,900,180,-37.75402,144.95991,133,1666.666667,8333.333333,300000,223880.597,9210.526316,,1361.111111,5
Pascoe Vale,t,410000,23/04/2016,9.9,4,2,4,751,188,-37.82233,145.09559,133,,,575000,,3082.706767,,545.9387483,3.994680851
Pascoe Vale,h,600000,23/04/2016,9.9,3,2,2,296,150,-37.8614,145.0274,132,6550.675676,12926.66667,646333.3333,307777.7778,4545.454545,,2027.027027,1.973333333
Prahran,u,510000,23/04/2016,4.5,4,3,4,778,331,-37.88049,145.0509,132,4730.077121,11117.82477,920000,438095.2381,3863.636364,,655.5269923,2.350453172
Richmond,h,1650000,23/04/2016,2.6,4,3,2,562,204,-37.782,144.903,131,2918.149466,8039.215686,410000,277966.1017,12595.41985,,2935.94306,2.754901961
Seddon,h,970000,23/04/2016,6.6,4,2,1,692,195,-37.8247,145.1281,131,2312.138728,8205.128205,400000,122137.4046,7404.580153,,1401.734104,3.548717949
South Melbourne,u,480000,23/04/2016,2.1,3,1,2,222,105,-37.7642,144.969,131,4707.207207,9952.380952,348333.3333,200961.5385,3664.122137,,2162.162162,2.114285714
South Yarra,u,310000,23/04/2016,3.3,4,2,2,504,168,-37.7805,144.9721,131,5000,15000,630000,787500,2366.412214,,615.0793651,3
Southbank,u,690000,23/04/2016,1.2,3,2,1,104,110,-37.7813,144.9834,131,12259.61538,11590.90909,425000,364285.7143,5267.175573,,6634.615385,0.945454545
St Kilda,u,535000,23/04/2016,6.1,5,2,2,566,270,-37.7893,144.933,131,3356.890459,7037.037037,380000,452380.9524,4083.969466,,945.229682,2.096296296
Toorak,h,4200000,23/04/2016,4.6,3,2,2,394,160,-37.7699,144.9149,131,3553.299492,8750,466666.6667,202898.5507,32061.0687,,10659.89848,2.4625
Yarraville,h,1158000,23/04/2016,7,3,1,0,353,109,-37.8309,144.889,131,2354.107649,7623.853211,277000,107922.0779,8839.694656,,3280.453258,3.23853211
Brunswick East,h,998000,23/04/2016,4.5,2,1,0,100,72,-37.788,144.9791,131,9375,13020.83333,468750,267857.1429,7618.320611,,9980,1.388888889
Brunswick East,t,1010000,23/04/2016,4.5,2,1,1,118,79,-37.7807,144.9288,131,6364.40678,9506.329114,375500,127288.1356,7709.923664,,8559.322034,1.493670886
Murrumbeena,t,720000,23/04/2016,12.1,2,1,1,179,90,-37.7742,144.9542,131,4723.463687,9394.444444,422750,162596.1538,5496.183206,,4022.346369,1.988888889
Ormond,u,940000,23/04/2016,11.8,4,2,1,381,145,-37.7735,145.0192,131,3044.619423,8000,290000,200000,7175.572519,,2467.191601,2.627586207
Abbotsford,h,1876000,7/05/2016,2.5,3,2,0,171,126,-37.8391,144.9501,131,9327.48538,12658.73016,531666.6667,759523.8095,14320.61069,,10970.76023,1.357142857
Airport West,h,725000,7/05/2016,13.5,4,2,2,822,145,-37.7749,144.9762,131,1976.885645,11206.89655,406250,361111.1111,5534.351145,,881.9951338,5.668965517
Airport West,t,450000,7/05/2016,13.5,2,1,1,117,71,-37.793,144.9728,131,6153.846154,10140.84507,360000,400000,3435.114504,,3846.153846,1.647887324
Albert Park,h,2300000,7/05/2016,3.3,4,2,2,233,216,-37.7786,144.9818,131,8369.098712,9027.777778,487500,557142.8571,17557.25191,,9871.244635,1.078703704
Altona,h,660000,7/05/2016,13.8,3,2,1,445,175,-37.786,144.9864,131,7640.449438,19428.57143,1133333.333,971428.5714,5038.167939,,1483.146067,2.542857143
Altona North,h,588000,7/05/2016,11.1,3,1,0,198,119,-37.8225,145.0007,131,7171.717172,11932.77311,473333.3333,546153.8462,4488.549618,,2969.69697,1.663865546
Armadale,u,735000,7/05/2016,6.3,4,2,0,132,195,-37.801,144.9656,131,12349.24242,8359.487179,407525,905611.1111,5610.687023,,5568.181818,0.676923077
Ascot Vale,h,970000,7/05/2016,5.9,3,1,1,483,162,-37.7602,144.9543,131,2587.991718,7716.049383,416666.6667,240384.6154,7404.580153,,2008.281573,2.981481481
Ascot Vale,h,751000,7/05/2016,5.9,2,1,1,149,62,-37.8491,144.8903,131,4362.416107,10483.87097,325000,77380.95238,5732.824427,,5040.268456,2.403225806
Ascot Vale,h,950000,7/05/2016,5.9,2,1,2,243,102,-37.7653,145.0014,131,4259.259259,10147.05882,517500,188181.8182,7251.908397,,3909.465021,2.382352941
Bentleigh,h,1500000,7/05/2016,13,4,1,0,254,124,-37.8201,144.9898,131,3562.992126,7298.387097,226250,348076.9231,11450.38168,,5905.511811,2.048387097
Bentleigh East,h,1215000,7/05/2016,13.9,3,2,1,194,148,-37.8395,144.9898,131,10025.7732,13141.89189,648333.3333,589393.9394,9274.80916,,6262.886598,1.310810811
Bentleigh East,h,1200000,7/05/2016,13.9,2,1,0,79,68,-37.8387,144.9519,131,12405.06329,14411.76471,490000,296969.697,9160.305344,,15189.87342,1.161764706
Bentleigh East,h,1050000,7/05/2016,13.9,4,1,3,0,2,-37.8046,144.9858,131, ,822500,411250,1028125,8015.267176,,#DIV/0!,0
Bentleigh East,h,950000,7/05/2016,13.9,3,1,1,465,137,-37.7662,144.9889,131,3053.763441,10364.9635,473333.3333,258181.8182,7251.908397,,2043.010753,3.394160584
Bentleigh East,u,380000,7/05/2016,13.9,3,1,0,0,134,-37.8373,144.9397,131, ,10298.50746,460000,363157.8947,2900.763359,,#DIV/0!,0
Bentleigh East,h,1338000,7/05/2016,13.9,2,2,2,238,153,-37.8476,144.9892,131,9159.663866,14248.36601,1090000,484444.4444,10213.74046,,5621.848739,1.555555556
Bentleigh East,u,651000,7/05/2016,13.9,3,1,1,352,150,-37.8059,144.8899,131,3607.954545,8466.666667,423333.3333,192424.2424,4969.465649,,1849.431818,2.346666667
Bentleigh East,h,920000,7/05/2016,13.9,4,2,1,256,156,-37.7833,144.9681,131,7453.125,12230.76923,477000,515675.6757,7022.900763,,3593.75,1.641025641
Bentleigh East,h,1390000,7/05/2016,13.9,2,1,1,214,77,-37.7776,144.9142,131,3317.757009,9220.779221,355000,120338.9831,10610.68702,,6495.327103,2.779220779
Brighton,h,2750000,7/05/2016,11.2,3,2,1,789,257,-37.7558,144.9073,131,1394.169835,4280.155642,366666.6667,137500,20992.36641,,3485.424588,3.070038911
Brighton,u,892500,7/05/2016,11.2,2,2,1,231,180,-37.8607,145.0373,131,8874.458874,11388.88889,1025000,277027.027,6812.977099,,3863.636364,1.283333333
Brighton,h,2145000,7/05/2016,11.2,3,1,1,247,160,-37.7798,144.9952,131,6923.076923,10687.5,570000,310909.0909,16374.0458,,8684.210526,1.54375
Brighton,h,3171000,7/05/2016,11.2,2,2,0,96,108,-37.8327,144.9474,131,10416.66667,9259.259259,500000,263157.8947,24206.10687,,33031.25,0.888888889
Brighton East,h,1400000,7/05/2016,10.7,3,1,1,307,106,-37.8247,145.1206,131,3022.801303,8754.716981,309333.3333,70839.69466,10687.0229,,4560.260586,2.896226415
Brighton East,h,1600000,7/05/2016,10.7,4,3,4,1572,305,-37.9233,144.9944,131,2353.689567,12131.14754,925000,330357.1429,12213.74046,,1017.811705,5.154098361
Brighton East,h,1780000,7/05/2016,10.7,4,1,0,177,152,-37.7999,144.9759,131,11016.94915,12828.94737,487500,1218750,13587.78626,,10056.49718,1.164473684
