Suburb,,,Type,Price,,,Distance,,Bedroom,,,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,,Uppercase
Elwood,,,h,1700000,,,7.7,,3,,,316,,1910,Port Phillip City Council,-37.875,144.9813,Southern Metropolitan,8989,111,5379.746835, ,566666.6667,220779.2208,,ELWOOD
Elwood,,,u,686000,,,7.7,,2,,,1622,,1970,Port Phillip City Council,-37.8716,144.9869,Southern Metropolitan,8989,51,422.9346486, ,343000,89090.90909,,ELWOOD
Elwood,,,u,560000,,,7.7,,2,,,0,70,1930,Port Phillip City Council,-37.8751,144.987,Southern Metropolitan,8989,91, ,8000,280000,72727.27273,,ELWOOD
Elwood,,,u,765000,,,7.7,,2,,,0,88,1940,Port Phillip City Council,-37.8809,144.9833,Southern Metropolitan,8989,81, ,8693.181818,382500,99350.64935,,ELWOOD
Essendon,,,h,1575000,,,8,,5,,,700,454,1988,Moonee Valley City Council,-37.7461,144.9173,Western Metropolitan,9264,33,2250,3469.162996,315000,196875,,ESSENDON
Essendon,,,u,280000,,,8,,1,,,0,49,1960,Moonee Valley City Council,-37.7475,144.9194,Western Metropolitan,9264,61, ,5714.285714,280000,35000,,ESSENDON
Essendon,,,h,1467000,,,8,,3,,,683,145,1920,Moonee Valley City Council,-37.7439,144.9195,Western Metropolitan,9264,101,2147.877013,10117.24138,489000,183375,,ESSENDON
Essendon,,,h,890000,,,8,,2,,,649,108,1950,Moonee Valley City Council,-37.7445,144.9133,Western Metropolitan,9264,71,1371.340524,8240.740741,445000,111250,,ESSENDON
Fitzroy North,,,h,1275000,,,3.5,,3,,,104,110,1890,Moreland City Council,-37.7813,144.9834,Northern Metropolitan,6244,131,12259.61538,11590.90909,425000,364285.7143,,FITZROY NORTH
Footscray,,,u,375000,,,6.4,,1,,,0,50,1920,Maribyrnong City Council,-37.8006,144.881,Western Metropolitan,7570,101, ,7500,375000,58593.75,,FOOTSCRAY
Footscray,,,u,615000,,,6.4,,2,,,207,,1960,Maribyrnong City Council,-37.7975,144.8855,Western Metropolitan,7570,61,2971.014493, ,307500,96093.75,,FOOTSCRAY
Glenroy,,,h,525000,,,13,,3,,,665,85,1950,Moreland City Council,-37.6966,144.9331,Northern Metropolitan,8870,71,789.4736842,6176.470588,175000,40384.61538,,GLENROY
Gowanbrae,,,h,485000,,,13.6,,3,,,175,134,2004,Moreland City Council,-37.7076,144.8961,Western Metropolitan,1071,17,2771.428571,3619.402985,161666.6667,35661.76471,,GOWANBRAE
Hadfield,,,t,510000,,,12.1,,3,,,234,115,2012,Moreland City Council,-37.707,144.9411,Northern Metropolitan,2606,9,2179.487179,4434.782609,170000,42148.76033,,HADFIELD
Hughesdale,,,u,455000,,,13,,2,,,0,60,1960,Monash City Council,-37.8942,145.0867,Southern Metropolitan,3145,61, ,7583.333333,227500,35000,,HUGHESDALE
Keilor East,,,h,835000,,,12.8,,4,,,708,184,1990,Brimbank City Council,-37.7452,144.8652,Western Metropolitan,5629,31,1179.378531,4538.043478,208750,65234.375,,KEILOR EAST
Keilor East,,,t,705000,,,12.8,,3,,,440,156,1995,Brimbank City Council,-37.7517,144.8776,Western Metropolitan,5629,26,1602.272727,4519.230769,235000,55078.125,,KEILOR EAST
Kensington,,,t,812000,,,4.2,,2,,,132,79,1887,Melbourne City Council,-37.7989,144.9275,Northern Metropolitan,5263,134,6151.515152,10278.48101,406000,193333.3333,,KENSINGTON
Kensington,,,h,1900000,,,4.2,,5,,,566,270,1890,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263,131,3356.890459,7037.037037,380000,452380.9524,,KENSINGTON
Maidstone,,,u,349000,,,9.2,,2,,,0,69,2011,Maribyrnong City Council,-37.7795,144.8729,Western Metropolitan,3873,10, ,5057.971014,174500,37934.78261,,MAIDSTONE
Malvern,,,h,1437000,,,7.4,,2,,,313,132,1910,Stonnington City Council,-37.8511,145.0317,Southern Metropolitan,4675,111,4591.054313,10886.36364,718500,194189.1892,,MALVERN
Malvern East,,,h,1915000,,,11.2,,3,,,700,126,1920,Stonnington City Council,-37.8807,145.0547,Southern Metropolitan,8801,101,2735.714286,15198.4127,638333.3333,170982.1429,,MALVERN EAST
Malvern East,,,h,1690000,,,11.2,,4,,,334,,1920,Stonnington City Council,-37.8743,145.0588,Southern Metropolitan,8801,101,5059.88024, ,422500,150892.8571,,MALVERN EAST
Maribyrnong,,,t,865000,,,8.7,,3,,,151,3,2010,Maribyrnong City Council,-37.7855,144.8958,Western Metropolitan,4918,11,5728.476821,288333.3333,288333.3333,99425.28736,,MARIBYRNONG
Maribyrnong,,,h,940000,,,8.7,,4,,,325,,2004,Maribyrnong City Council,-37.7822,144.892,Western Metropolitan,4918,17,2892.307692, ,235000,108045.977,,MARIBYRNONG
Maribyrnong,,,t,570000,,,8.7,,3,,,98,128,2009,Maribyrnong City Council,-37.7677,144.8925,Western Metropolitan,4918,12,5816.326531,4453.125,190000,65517.24138,,MARIBYRNONG
Middle Park,,,u,700000,,,4.1,,2,,,0,67,1970,Port Phillip City Council,-37.8556,144.9669,Southern Metropolitan,2019,51, ,10447.76119,350000,170731.7073,,MIDDLE PARK
Moonee Ponds,,,h,1400000,,,6.9,,3,,,394,160,1890,Moonee Valley City Council,-37.7699,144.9149,Western Metropolitan,6232,131,3553.299492,8750,466666.6667,202898.5507,,MOONEE PONDS
Newport,,,h,740000,,,8.4,,2,,,213,127,2006,Hobsons Bay City Council,-37.8441,144.8805,Western Metropolitan,5498,15,3474.178404,5826.771654,370000,88095.2381,,NEWPORT
Newport,,,h,970000,,,8.4,,3,,,619,151,1915,Hobsons Bay City Council,-37.839,144.8854,Western Metropolitan,5498,106,1567.043619,6423.84106,323333.3333,115476.1905,,NEWPORT
Newport,,,t,735000,,,8.4,,3,,,0,162,2007,Hobsons Bay City Council,-37.8436,144.8691,Western Metropolitan,5498,14, ,4537.037037,245000,87500,,NEWPORT
North Melbourne,,,u,440000,,,2.3,,2,,,0,,1960,Melbourne City Council,-37.8004,144.9465,Northern Metropolitan,6821,61, , ,220000,191304.3478,,NORTH MELBOURNE
North Melbourne,,,u,606000,,,2.3,,2,,,0,84,2000,Melbourne City Council,-37.8022,144.9439,Northern Metropolitan,6821,21, ,7214.285714,303000,263478.2609,,NORTH MELBOURNE
Northcote,,,h,1900000,,,5.5,,3,,,522,174,1910,Darebin City Council,-37.7752,145.0032,Northern Metropolitan,11364,111,3639.846743,10919.54023,633333.3333,345454.5455,,NORTHCOTE
Northcote,,,h,888000,,,5.5,,2,,,190,102,1985,Darebin City Council,-37.7667,144.9909,Northern Metropolitan,11364,36,4673.684211,8705.882353,444000,161454.5455,,NORTHCOTE
Northcote,,,h,1020000,,,5.5,,2,,,354,97,1920,Darebin City Council,-37.7638,144.9933,Northern Metropolitan,11364,101,2881.355932,10515.46392,510000,185454.5455,,NORTHCOTE
Northcote,,,h,844000,,,5.5,,2,,,174,106,1995,Darebin City Council,-37.7642,144.9963,Northern Metropolitan,11364,26,4850.574713,7962.264151,422000,153454.5455,,NORTHCOTE
Pascoe Vale,,,h,970000,,,9.9,,3,,,535,154,1920,Moreland City Council,-37.7282,144.9462,Northern Metropolitan,7485,101,1813.084112,6298.701299,323333.3333,97979.79798,,PASCOE VALE
Port Melbourne,,,h,1670000,,,3.8,,3,,,140,169,1880,Melbourne City Council,-37.8353,144.9442,Southern Metropolitan,8648,141,11928.57143,9881.656805,556666.6667,439473.6842,,PORT MELBOURNE
Prahran,,,u,530000,,,4.5,,2,,,0,76,1888,Stonnington City Council,-37.851,144.988,Southern Metropolitan,7717,133, ,6973.684211,265000,117777.7778,,PRAHRAN
Preston,,,h,700000,,,8.8,,2,,,214,85,1910,Darebin City Council,-37.7462,145.0044,Northern Metropolitan,14577,111,3271.028037,8235.294118,350000,79545.45455,,PRESTON
Preston,,,h,920000,,,8.8,,2,,,516,97,1935,Darebin City Council,-37.7497,145.011,Northern Metropolitan,14577,86,1782.945736,9484.536082,460000,104545.4545,,PRESTON
Reservoir,,,u,376000,,,11.2,,2,,,104,77,1970,Darebin City Council,-37.7104,145.0076,Northern Metropolitan,21650,51,3615.384615,4883.116883,188000,33571.42857,,RESERVOIR
Reservoir,,,u,323000,,,11.2,,2,,,0,65,1960,Darebin City Council,-37.7093,145.0084,Northern Metropolitan,21650,61, ,4969.230769,161500,28839.28571,,RESERVOIR
Reservoir,,,h,680000,,,11.2,,3,,,527,146,1965,Darebin City Council,-37.6983,144.9941,Northern Metropolitan,21650,56,1290.322581,4657.534247,226666.6667,60714.28571,,RESERVOIR
Reservoir,,,t,530000,,,11.2,,2,,,0,106,2007,Darebin City Council,-37.7141,145.0047,Northern Metropolitan,21650,14, ,5000,265000,47321.42857,,RESERVOIR
Reservoir,,,h,786000,,,11.2,,4,,,595,174,2013,Darebin City Council,-37.7283,145.0072,Northern Metropolitan,21650,8,1321.008403,4517.241379,196500,70178.57143,,RESERVOIR
Reservoir,,,u,390000,,,11.2,,2,,,122,74,1980,Darebin City Council,-37.7261,144.9961,Northern Metropolitan,21650,41,3196.721311,5270.27027,195000,34821.42857,,RESERVOIR
Reservoir,,,h,650000,,,11.2,,3,,,468,92,1960,Darebin City Council,-37.7184,144.9962,Northern Metropolitan,21650,61,1388.888889,7065.217391,216666.6667,58035.71429,,RESERVOIR
Richmond,,,h,1088000,,,2.6,,3,,,168,120,1915,Yarra City Council,-37.8126,145.0064,Northern Metropolitan,14949,106,6476.190476,9066.666667,362666.6667,418461.5385,,RICHMOND
Richmond,,,t,911000,,,2.6,,3,,,0,110,2000,Yarra City Council,-37.8238,145.0072,Northern Metropolitan,14949,21, ,8281.818182,303666.6667,350384.6154,,RICHMOND
Richmond,,,h,3001000,,,2.6,,2,,,544,241,1920,Yarra City Council,-37.8152,144.9922,Northern Metropolitan,14949,101,5516.544118,12452.28216,1500500,1154230.769,,RICHMOND
Richmond,,,u,638000,,,2.6,,2,,,0,77,2008,Yarra City Council,-37.822,145.0104,Northern Metropolitan,14949,13, ,8285.714286,319000,245384.6154,,RICHMOND
Seddon,,,h,920000,,,6.6,,3,,,0,132,2000,Maribyrnong City Council,-37.8057,144.8857,Western Metropolitan,2417,21, ,6969.69697,306666.6667,139393.9394,,SEDDON
Seddon,,,h,1395000,,,6.6,,3,,,467,155,1946,Maribyrnong City Council,-37.8093,144.8941,Western Metropolitan,2417,75,2987.152034,9000,465000,211363.6364,,SEDDON
Seddon,,,h,965000,,,6.6,,3,,,217,104,1910,Maribyrnong City Council,-37.8037,144.8874,Western Metropolitan,2417,111,4447.004608,9278.846154,321666.6667,146212.1212,,SEDDON
South Melbourne,,,u,1500000,,,2.1,,2,,,0,,2004,Port Phillip City Council,-37.8369,144.968,Southern Metropolitan,5943,17, , ,750000,714285.7143,,SOUTH MELBOURNE
South Melbourne,,,h,2000000,,,2.1,,2,,,141,150,1900,Port Phillip City Council,-37.8389,144.9612,Southern Metropolitan,5943,121,14184.39716,13333.33333,1000000,952380.9524,,SOUTH MELBOURNE
South Yarra,,,u,515000,,,3.3,,2,,,734,65,2013,Melbourne City Council,-37.8433,144.9962,Southern Metropolitan,14887,8,701.6348774,7923.076923,257500,156060.6061,,SOUTH YARRA
Southbank,,,u,425000,,,1.2,,1,,,0,57,2004,Melbourne City Council,-37.8245,144.9622,Southern Metropolitan,8400,17, ,7456.140351,425000,354166.6667,,SOUTHBANK
Spotswood,,,h,831000,,,7.7,,3,,,353,109,1890,Hobsons Bay City Council,-37.8309,144.889,Western Metropolitan,1223,131,2354.107649,7623.853211,277000,107922.0779,,SPOTSWOOD
St Kilda,,,u,503500,,,6.1,,2,,,683,72,1940,Port Phillip City Council,-37.8594,144.9828,Southern Metropolitan,13240,81,737.1888726,6993.055556,251750,82540.98361,,ST KILDA
St Kilda,,,u,580000,,,6.1,,2,,,0,95,1930,Port Phillip City Council,-37.8617,144.9796,Southern Metropolitan,13240,91, ,6105.263158,290000,95081.96721,,ST KILDA
Strathmore,,,h,1430000,,,9.7,,4,,,607,224,1990,Moonee Valley City Council,-37.7376,144.9154,Western Metropolitan,3284,31,2355.848435,6383.928571,357500,147422.6804,,STRATHMORE
Sunshine,,,h,610000,,,12.6,,3,,,705,118,1965,Brimbank City Council,-37.8005,144.822,Western Metropolitan,3755,56,865.248227,5169.491525,203333.3333,48412.69841,,SUNSHINE
Sunshine,,,h,600000,,,12.6,,3,,,0,126,1950,Brimbank City Council,-37.7796,144.8455,Western Metropolitan,3755,71, ,4761.904762,200000,47619.04762,,SUNSHINE
Sunshine North,,,h,735000,,,13.3,,4,,,635,201,1975,Brimbank City Council,-37.7693,144.8351,Western Metropolitan,4217,46,1157.480315,3656.716418,183750,55263.15789,,SUNSHINE NORTH
Sunshine West,,,h,480000,,,13.5,,3,,,696,148,1960,Brimbank City Council,-37.7836,144.7988,Western Metropolitan,6763,61,689.6551724,3243.243243,160000,35555.55556,,SUNSHINE WEST
Templestowe Lower,,,h,1010000,,,13.8,,3,,,751,175,1968,Manningham City Council,-37.77,145.1025,Eastern Metropolitan,5420,53,1344.873502,5771.428571,336666.6667,73188.4058,,TEMPLESTOWE LOWER
Thornbury,,,h,898000,,,6.5,,3,,,210,108,2010,Darebin City Council,-37.7551,144.9993,Northern Metropolitan,8870,11,4276.190476,8314.814815,299333.3333,138153.8462,,THORNBURY
Thornbury,,,h,1235000,,,6.5,,3,,,288,133,1920,Darebin City Council,-37.7583,145.0025,Northern Metropolitan,8870,101,4288.194444,9285.714286,411666.6667,190000,,THORNBURY
Thornbury,,,t,910500,,,6.5,,3,,,157,144,2010,Darebin City Council,-37.759,144.988,Northern Metropolitan,8870,11,5799.363057,6322.916667,303500,140076.9231,,THORNBURY
Thornbury,,,h,995000,,,6.5,,2,,,327,96,1920,Darebin City Council,-37.7574,144.9854,Northern Metropolitan,8870,101,3042.813456,10364.58333,497500,153076.9231,,THORNBURY
Thornbury,,,h,760000,,,6.5,,2,,,0,75,1900,Darebin City Council,-37.7595,145.0061,Northern Metropolitan,8870,121, ,10133.33333,380000,116923.0769,,THORNBURY
Thornbury,,,u,505000,,,6.5,,2,,,0,80,1980,Darebin City Council,-37.7591,145.0211,Northern Metropolitan,8870,41, ,6312.5,252500,77692.30769,,THORNBURY
Williamstown,,,h,1805000,,,8,,3,,,466,160,1930,Hobsons Bay City Council,-37.8621,144.8872,Western Metropolitan,6380,91,3873.390558,11281.25,601666.6667,225625,,WILLIAMSTOWN
Williamstown,,,h,1126000,,,8,,4,,,307,150,1900,Hobsons Bay City Council,-37.8525,144.8945,Western Metropolitan,6380,121,3667.752443,7506.666667,281500,140750,,WILLIAMSTOWN
Williamstown,,,t,935000,,,8,,3,,,233,194,2002,Hobsons Bay City Council,-37.8573,144.8911,Western Metropolitan,6380,19,4012.875536,4819.587629,311666.6667,116875,,WILLIAMSTOWN
Yarraville,,,h,1055000,,,7,,3,,,670,116,1940,Maribyrnong City Council,-37.8134,144.8745,Western Metropolitan,6543,81,1574.626866,9094.827586,351666.6667,150714.2857,,YARRAVILLE
Yarraville,,,t,620000,,,7,,3,,,0,141,2014,Maribyrnong City Council,-37.8194,144.8826,Western Metropolitan,6543,7, ,4397.163121,206666.6667,88571.42857,,YARRAVILLE
Yarraville,,,h,660000,,,7,,4,,,360,,1910,Maribyrnong City Council,-37.8212,144.8887,Western Metropolitan,6543,111,1833.333333, ,165000,94285.71429,,YARRAVILLE
Yarraville,,,u,345000,,,7,,1,,,0,47,1970,Maribyrnong City Council,-37.8111,144.887,Western Metropolitan,6543,51, ,7340.425532,345000,49285.71429,,YARRAVILLE
Yarraville,,,h,950000,,,7,,3,,,240,84,1880,Maribyrnong City Council,-37.8202,144.8896,Western Metropolitan,6543,141,3958.333333,11309.52381,316666.6667,135714.2857,,YARRAVILLE
Brunswick East,,,h,1574000,,,4.5,,3,,,336,207,2007,Moreland City Council,-37.7664,144.9797,Northern Metropolitan,5533,14,4684.52381,7603.864734,524666.6667,349777.7778,,BRUNSWICK EAST
Burnley,,,h,881000,,,3.5,,2,,,172,94,1900,Yarra City Council,-37.8283,145.012,Northern Metropolitan,438,121,5122.093023,9372.340426,440500,251714.2857,,BURNLEY
Ormond,,,h,1500000,,,11.8,,4,,,862,153,1970,Glen Eira City Council,-37.8993,145.0447,Southern Metropolitan,3578,51,1740.139211,9803.921569,375000,127118.6441,,ORMOND
Ormond,,,u,260000,,,11.8,,1,,,0,,1970,Glen Eira City Council,-37.9038,145.0454,Southern Metropolitan,3578,51, , ,260000,22033.89831,,ORMOND
South Kingsville,,,t,915000,,,9.1,,4,,,662,265,2016,Hobsons Bay City Council,-37.8307,144.8725,Western Metropolitan,984,5,1382.175227,3452.830189,228750,100549.4505,,SOUTH KINGSVILLE
Albert Park,,,h,2100000,,,3.3,,2,,,120,123,1900,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280,121,17500,17073.17073,1050000,636363.6364,,ALBERT PARK
