Suburb,Type,Price,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance,Priceperage,Price/km
Burwood,h,1350000,141,3075, ,436666.6667,251923.0769,9574.468085,252
Carlton North,h,2520000,141,4051, ,435500,167500,17872.34043,168
Carnegie,h,817500,141,12273,9818.181818,540000,1012500,5797.87234,1013
Carnegie,h,1450000,141,3844,6375,382500,147115.3846,10283.68794,147
Carnegie,t,855000,141,5032,9176.470588,390000,229411.7647,6063.829787,229
Carnegie,h,675000,141,9608,13486.23853,490000,386842.1053,4787.234043,387
Caulfield South,h,825000,141,7762,12008.54701,468333.3333,669047.619,5851.06383,669
Caulfield South,h,1262000,141,8943,8464.285714,790000,1247368.421,8950.35461,1247
Coburg,h,865000,141,3280,8560,428000,122285.7143,6134.751773,122
Coburg,u,485000,141,11694,14758.62069,713333.3333,648484.8485,3439.716312,648
Collingwood,h,1075000,141,11525,11525.42373,453333.3333,400000,7624.113475,400
Doncaster,h,1485000,141,9934,9090.909091,500000,365853.6585,10531.91489,366
Doncaster,h,1190000,141,7581, ,561000,243913.0435,8439.716312,244
Elsternwick,t,1071000,141,10619,10909.09091,400000,480000,7595.744681,480
Elsternwick,h,1800000,141,4472,9241.706161,487500,319672.1311,12765.95745,320
Elsternwick,h,2345000,141,10288, ,375500,395263.1579,16631.20567,395
Elsternwick,u,741000,141,4934,14130.43478,650000,305882.3529,5255.319149,306
Elwood,h,1700000,141,3685, ,813166.6667,178065.6934,12056.73759,178
Elwood,u,686000,141,7973,12123.28767,442500,384782.6087,4865.248227,385
Elwood,u,560000,141,8269,12285.71429,430000,245714.2857,3971.631206,246
Elwood,u,765000,141,9419,10579.71014,730000,1269565.217,5425.531915,1270
Essendon,h,1575000,141,3020, ,337500,195652.1739,11170.21277,196
Essendon,u,280000,141,4552,8939.393939,491666.6667,590000,1985.815603,590
Essendon,h,1467000,141,4790, ,570000,488571.4286,10404.25532,489
Essendon,h,890000,141,3951,7757.575758,426666.6667,512000,6312.056738,512
Fitzroy North,h,1275000,141,19521,20955.88235,1425000,1727272.727,9042.553191,1727
Footscray,u,375000,141,8200, ,956666.6667,869696.9697,2659.574468,870
Footscray,u,615000,141,6289,11627.90698,500000,625000,4361.702128,625
Glenroy,h,525000,141,8490,11478.87324,407500,181111.1111,3723.404255,181
Gowanbrae,h,485000,141,3188, ,328333.3333,126282.0513,3439.716312,126
Hadfield,t,510000,141,2948,8774.319066,563750,281875,3617.021277,282
Hughesdale,u,455000,141,14774,14447.51381,871666.6667,792424.2424,3226.950355,792
Keilor East,h,835000,141,483,7900,395000,89772.72727,5921.985816,90
Kensington,t,812000,141,5017,7346.938776,480000,208695.6522,5758.865248,209
Kensington,h,1900000,141,11364,10416.66667,666666.6667,327868.8525,13475.1773,328
Malvern,h,1437000,141,18440,20472.44094,650000,787878.7879,10191.48936,788
Malvern East,h,1915000,141,10000,16833.33333,505000,561111.1111,13581.56028,561
Malvern East,h,1690000,141,4545, ,1160000,517857.1429,11985.8156,518
Maribyrnong,t,865000,141,59,9642.857143,472500,590625,6134.751773,591
Maribyrnong,h,940000,141,5288,7109.243697,423000,241714.2857,6666.666667,242
Maribyrnong,t,570000,141,9904, ,901250,515000,4042.553191,515
Middle Park,u,700000,141,6522,10619.46903,800000,631578.9474,4964.539007,632
Moonee Ponds,h,1400000,141,10039, ,512000,487619.0476,9929.078014,488
Newport,h,740000,141,7163, ,526500,554210.5263,5248.22695,554
Newport,h,970000,141,719, ,477500,183653.8462,6879.432624,184
Newport,t,735000,141,4509,11698.11321,413333.3333,179710.1449,5212.765957,180
North Melbourne,u,440000,141,8221,11793.10345,855000,518181.8182,3120.567376,518
North Melbourne,u,606000,141,7882,14187.5,567500,567500,4297.87234,568
Northcote,h,1900000,141,7376,12714.28571,667500,381428.5714,13475.1773,381
Northcote,h,888000,141,3746,9910.313901,442000,294666.6667,6297.87234,295
Northcote,h,1020000,141,9655,10144.92754,466666.6667,304347.8261,7234.042553,304
Northcote,h,844000,141,10543,8590.277778,463875,687222.2222,5985.815603,687
Pascoe Vale,h,970000,141,2841,8541.666667,410000,195238.0952,6879.432624,195
Port Melbourne,h,1670000,141,2885,8490.566038,300000,176470.5882,11843.97163,176
Prahran,u,530000,141,11514,12576.92308,545000,545000,3758.865248,545
Preston,h,700000,141,4661,14102.5641,550000,279661.0169,4964.539007,280
Reservoir,u,323000,141,11031,10861.53846,470666.6667,743157.8947,2290.780142,743
Reservoir,h,680000,141,14444,17333.33333,780000,780000,4822.695035,780
Reservoir,t,530000,141,187,13134.32836,586666.6667,1100000,3758.865248,1100
Reservoir,h,650000,141,8527, ,550000,611111.1111,4609.929078,611
Richmond,h,1088000,141,11482,9867.1875,421000,789375,7716.312057,789
Richmond,h,3001000,141,5863,9367.816092,407500,313461.5385,21283.68794,313
Richmond,u,638000,141,6329,16778.52349,833333.3333,423728.8136,4524.822695,424
Seddon,h,1395000,141,6593,12500,600000,300000,9893.617021,300
Seddon,h,965000,141,6917,15333.33333,920000,255555.5556,6843.971631,256
South Melbourne,h,2000000,141,5959,14375,383333.3333,216981.1321,14184.39716,217
Southbank,u,425000,141,11030,9009.90099,455000,520000,3014.184397,520
Spotswood,h,831000,141,5846,9500,456000,253333.3333,5893.617021,253
St Kilda,u,503500,141,9091,15384.61538,550000,611111.1111,3570.921986,611
Strathmore,h,1430000,141,12250,17253.52113,612500,644736.8421,10141.84397,645
Sunshine,h,610000,141,9248,9919.354839,307500,396774.1935,4326.241135,397
Sunshine West,h,480000,141,2579,14829.54545,435000,621428.5714,3404.255319,621
Templestowe Lower,h,1010000,141,12452,16752.57732,1083333.333,706521.7391,7163.120567,707
Thornbury,h,898000,141,8198,9704.081633,317000,396250,6368.794326,396
Thornbury,t,910500,141,9697,9411.764706,400000,444444.4444,6457.446809,444
Thornbury,h,760000,141,13465,14623.65591,680000,377777.7778,5390.070922,378
Thornbury,u,505000,141,7981,11017.69912,415000,518750,3581.560284,519
Williamstown,h,1805000,141,7180,10902.77778,588750,255978.2609,12801.41844,256
Williamstown,h,1126000,141,5385,13461.53846,583333.3333,380434.7826,7985.815603,380
Williamstown,t,935000,141,13274,17206.79012,929166.6667,1858333.333,6631.205674,1858
Yarraville,h,1055000,141,6520,10000,482500,364150.9434,7482.269504,364
Yarraville,t,620000,141,15730,12696.42857,592500,740625,4397.163121,741
Yarraville,h,660000,141,11094,13312.5,532500,304285.7143,4680.851064,304
Yarraville,u,345000,141,11154,17469.87952,725000,763157.8947,2446.808511,763
Yarraville,h,950000,141,3144,14983.71336,766666.6667,422018.3486,6737.588652,422
Brunswick East,h,1574000,141,6040,12286.68942,900000,720000,11163.12057,720
Altona,u,577000,140,9178,15163.04348,558000,1328571.429,4121.428571,1329
Ascot Vale,h,1130000,137,3900,13349.20635,1009200,827213.1148,8248.175182,827
Box Hill,h,1170000,136,3709,9523.809524,520000,305882.3529,8602.941176,306
Brunswick,h,705000,136,4081,8473.282443,370000,252272.7273,5183.823529,252
Carnegie,t,1100000,136,5426,10254.23729,605000,345714.2857,8088.235294,346
Carnegie,h,1125000,136,12681,11290.32258,583333.3333,583333.3333,8272.058824,583
Coburg,h,680000,136,12088,23377.35849,826000,1180000,5000,1180
Coburg,h,825000,136,9355,12608.69565,870000,567391.3043,6066.176471,567
Doncaster,h,1391000,135,4518, ,855000,407142.8571,10303.7037,407
Doncaster,u,452000,135,1689,9090.909091,500000,133928.5714,3348.148148,134
Elsternwick,h,895000,135,4323, ,763666.6667,214112.1495,6629.62963,214
Essendon,u,736000,135,2376,8102.564103,526666.6667,210666.6667,5451.851852,211
Fairfield,h,1065000,135,4338, ,916666.6667,518867.9245,7888.888889,519
Flemington,h,991000,134,6152,10278.48101,406000,193333.3333,7395.522388,193
Glenroy,h,600000,134,2392,5574.712644,404166.6667,411016.9492,4477.61194,411
Gowanbrae,h,390000,134,2223,5172.413793,375000,381355.9322,2910.447761,381
Hampton,h,2200000,134,14194,12865.49708,733333.3333,916666.6667,16417.91045,917
Kensington,u,395000,133,3127, ,290000,148717.9487,2969.924812,149
Maribyrnong,h,1048700,133,8618,16120.68966,623333.3333,296825.3968,7884.962406,297
Middle Park,h,1025000,133,278,10933.33333,492000,109333.3333,7706.766917,109
Moonee Ponds,t,870000,133,12663,10219.29825,388333.3333,466000,6541.353383,466
Newport,h,805000,133,3682, ,567000,667058.8235,6052.631579,667
Northcote,h,1225000,133,1667,8333.333333,300000,223880.597,9210.526316,224
Pascoe Vale,h,600000,132,6551,12926.66667,646333.3333,307777.7778,4545.454545,308
Prahran,h,1180000,132,9717, ,800000,352941.1765,8939.393939,353
Prahran,u,510000,132,4730,11117.82477,920000,438095.2381,3863.636364,438
Richmond,h,1650000,131,2918,8039.215686,410000,277966.1017,12595.41985,278
Seddon,h,970000,131,2312,8205.128205,400000,122137.4046,7404.580153,122
South Melbourne,u,480000,131,4707,9952.380952,348333.3333,200961.5385,3664.122137,201
South Yarra,u,310000,131,5000,15000,630000,787500,2366.412214,788
Southbank,u,690000,131,12260,11590.90909,425000,364285.7143,5267.175573,364
St Kilda,u,535000,131,3357,7037.037037,380000,452380.9524,4083.969466,452
Toorak,h,4200000,131,3553,8750,466666.6667,202898.5507,32061.0687,203
Yarraville,h,1158000,131,2354,7623.853211,277000,107922.0779,8839.694656,108
Brunswick East,h,998000,131,9375,13020.83333,468750,267857.1429,7618.320611,268
Brunswick East,t,1010000,131,6364,9506.329114,375500,127288.1356,7709.923664,127
Murrumbeena,t,720000,131,4723,9394.444444,422750,162596.1538,5496.183206,163
Ormond,u,940000,131,3045,8000,290000,200000,7175.572519,200
Abbotsford,h,1876000,131,9327,12658.73016,531666.6667,759523.8095,14320.61069,760
Airport West,h,725000,131,1977,11206.89655,406250,361111.1111,5534.351145,361
Airport West,t,450000,131,6154,10140.84507,360000,400000,3435.114504,400
Albert Park,h,2300000,131,8369,9027.777778,487500,557142.8571,17557.25191,557
Altona,h,660000,131,7640,19428.57143,1133333.333,971428.5714,5038.167939,971
Altona North,h,588000,131,7172,11932.77311,473333.3333,546153.8462,4488.549618,546
Armadale,u,735000,131,12349,8359.487179,407525,905611.1111,5610.687023,906
Ascot Vale,h,970000,131,2588,7716.049383,416666.6667,240384.6154,7404.580153,240
Ascot Vale,h,751000,131,4362,10483.87097,325000,77380.95238,5732.824427,77
Ascot Vale,h,950000,131,4259,10147.05882,517500,188181.8182,7251.908397,188
Bentleigh,h,1500000,131,3563,7298.387097,226250,348076.9231,11450.38168,348
Bentleigh East,h,1215000,131,10026,13141.89189,648333.3333,589393.9394,9274.80916,589
Bentleigh East,h,1200000,131,12405,14411.76471,490000,296969.697,9160.305344,297
Bentleigh East,h,1050000,131, ,822500,411250,1028125,8015.267176,1028
Bentleigh East,h,950000,131,3054,10364.9635,473333.3333,258181.8182,7251.908397,258
Bentleigh East,u,380000,131, ,10298.50746,460000,363157.8947,2900.763359,363
Bentleigh East,h,1338000,131,9160,14248.36601,1090000,484444.4444,10213.74046,484
Bentleigh East,u,651000,131,3608,8466.666667,423333.3333,192424.2424,4969.465649,192
Bentleigh East,h,920000,131,7453,12230.76923,477000,515675.6757,7022.900763,516
Bentleigh East,h,1390000,131,3318,9220.779221,355000,120338.9831,10610.68702,120
Brighton,h,2750000,131,1394,4280.155642,366666.6667,137500,20992.36641,138
Brighton,u,892500,131,8874,11388.88889,1025000,277027.027,6812.977099,277
Brighton,h,2145000,131,6923,10687.5,570000,310909.0909,16374.0458,311
Brighton,h,3171000,131,10417,9259.259259,500000,263157.8947,24206.10687,263
Brighton East,h,1400000,131,3023,8754.716981,309333.3333,70839.69466,10687.0229,71
Brighton East,h,1600000,131,2354,12131.14754,925000,330357.1429,12213.74046,330
Brighton East,h,1780000,131,11017,12828.94737,487500,1218750,13587.78626,1219
Brighton East,h,1200000,131,7572,12901.23457,522500,401923.0769,9160.305344,402
Brunswick,h,1310000,131,9160,15189.87342,600000,571428.5714,10000,571
Brunswick,h,845500,131,8125,14444.44444,585000,650000,6454.198473,650
Brunswick,h,860000,131,14519,11408.16327,559000,860000,6564.885496,860
Brunswick,t,605000,131,8525,11204.7619,588250,470600,4618.320611,471
Brunswick,h,1055000,131,7748,12687.5,507500,406000,8053.435115,406
Brunswick,u,445000,131,4105,11250,390000,225000,3396.946565,225
Brunswick West,u,265000,131,3925,11776.47059,500500,107634.4086,2022.900763,108
Brunswick West,h,955000,131,6404,11818.18182,433333.3333,371428.5714,7290.076336,371
Bulleen,h,1340000,131, ,8387.096774,260000,157575.7576,10229.00763,158
Bulleen,h,1225000,131,3530,9022.47191,401500,229428.5714,9351.145038,229
Burwood,h,2000000,131,2099,10067.56757,372500,116406.25,15267.17557,116
Carlton North,h,2950000,131,5606,9435.643564,476500,122179.4872,22519.08397,122
Carlton North,h,2175000,131,6720,13090.90909,504000,288000,16603.05344,288
Carnegie,h,1600000,131,4096,12307.69231,600000,324324.3243,12213.74046,324
Carnegie,u,260000,131,7790,8897.058824,453750,403333.3333,1984.732824,403
Caulfield North,h,2005000,131,7784,10148.14815,456666.6667,402941.1765,15305.34351,403
Caulfield South,h,1470000,131,11737,9233.333333,461666.6667,602173.913,11221.37405,602
Coburg North,h,700000,131,3796,11693.54839,435000,395454.5455,5343.51145,395
Doncaster,h,1868000,131,4674,8269.230769,286666.6667,165384.6154,14259.54198,165
Doncaster,h,1050000,131,10585,11108.91089,561000,701250,8015.267176,701
Elsternwick,h,1755000,131,6634,14488,603666.6667,402444.4444,13396.94656,402
Elsternwick,h,1400000,131,11837,12985.07463,580000,527272.7273,10687.0229,527
Elwood,u,357000,131,5252,9414.634146,772000,148461.5385,2725.19084,148
Essendon,h,1130000,131,4321,9307.692308,403333.3333,232692.3077,8625.954198,233
Fairfield,h,1220000,131,13357,21460.67416,636666.6667,374509.8039,9312.977099,375
Fairfield,h,1160000,131,8727,12141.30435,558500,620555.5556,8854.961832,621
Footscray,u,291000,131,2741,7127.272727,392000,100512.8205,2221.374046,101
Footscray,h,375000,131,5249,11907.40741,643000,233818.1818,2862.59542,234
Footscray,h,752000,131,3271,9870.689655,381666.6667,173484.8485,5740.458015,173
Glenroy,h,540000,131,18182,17204.30108,533333.3333,761904.7619,4122.137405,762
Gowanbrae,t,468000,131,5214,7448.979592,365000,165909.0909,3572.519084,166
Hampton,h,1120000,131,3021,6333.333333,342000,407142.8571,8549.618321,407
Hughesdale,t,828000,131,5596,10693.06931,540000,240000,6320.610687,240
Keilor East,h,772000,131,11062,11904.7619,416666.6667,781250,5893.129771,781
Keilor East,h,650000,131,11574,10000,416666.6667,595238.0952,4961.832061,595
Kensington,h,1271000,131,8088,8461.538462,550000,785714.2857,9702.290076,786
Kensington,h,1010000,131,3114,3127.853881,342500,87820.51282,7709.923664,88
Kensington,t,750000,131,8403,15267.17557,666666.6667,606060.6061,5725.19084,606
Malvern,u,569000,131,690, ,458000,176153.8462,4343.51145,176
Malvern,h,2025000,131,9938,10365.5914,482000,741538.4615,15458.01527,742
Malvern East,t,1253000,131,7719,11186.44068,440000,507692.3077,9564.885496,508
Maribyrnong,t,550000,131,6391,15289.71963,818000,654400,4198.473282,654
Maribyrnong,u,420000,131,6178,12647.05882,537500,316176.4706,3206.10687,316
Maribyrnong,h,399000,131,2798,8908.045977,387500,121093.75,3045.801527,121
Maribyrnong,h,1105000,131,9652,17696.07843,902500,694230.7692,8435.114504,694
Melbourne,u,535000,131,3740,7661.290323,237500,365384.6154,4083.969466,365
Moonee Ponds,h,1445000,131,5580,11061.9469,416666.6667,595238.0952,11030.53435,595
Newport,h,880000,131,6467,15478.7234,727500,440909.0909,6717.557252,441
Newport,u,335000,131,2818,10552.32558,363000,259285.7143,2557.251908,259
Newport,h,1260000,131,5504,13505.15464,655000,524000,9618.320611,524
Newport,h,1400000,131,8876,13494.89796,661250,400757.5758,10687.0229,401
Niddrie,t,770000,131,11082,18825.3012,781250,473484.8485,5877.862595,473
Northcote,t,650000,131,3683,8368,348666.6667,124523.8095,4961.832061,125
Northcote,h,1700000,131,6714,13583.81503,470000,618421.0526,12977.09924,618
Oak Park,h,830000,131,4074,7040,293333.3333,133333.3333,6335.877863,133
Pascoe Vale,h,738000,131,12422,14184.39716,666666.6667,952380.9524,5633.587786,952
Pascoe Vale,h,386000,131,10339,16925.92593,761666.6667,692424.2424,2946.564885,692
Pascoe Vale,u,452000,131,15707,17142.85714,1000000,909090.9091,3450.381679,909
Pascoe Vale,h,522500,131,7423,13152.17391,605000,157142.8571,3988.549618,157
Pascoe Vale,h,601500,131,6577,10687.5,427500,534375,4591.603053,534
Port Melbourne,u,1100000,131, ,13904.7619,730000,912500,8396.946565,913
Port Melbourne,h,1421000,131,3748,9405.940594,475000,311475.4098,10847.32824,311
Port Melbourne,h,1275000,131,4505,9398.496241,500000,480769.2308,9732.824427,481
Port Melbourne,h,1000000,131,5863,11435.64356,577500,275000,7633.587786,275
Prahran,h,1182500,131,7310,13250,848000,572972.973,9026.717557,573
Prahran,h,1303000,131,18071,12401.96078,632500,486538.4615,9946.564885,487
Preston,h,850000,131,7806, ,382500,170000,6488.549618,170
Reservoir,h,365000,131,3840,10559.21053,535000,188823.5294,2786.259542,189
Reservoir,u,405000,131,14024,14585.45455,1002750,2506875,3091.603053,2507
Reservoir,t,620500,131,10236,9629.62963,433333.3333,371428.5714,4736.641221,371
Reservoir,h,260000,131,2175,7435.897436,217500,98863.63636,1984.732824,99
Reservoir,h,625000,131,14716,12730.06135,691666.6667,988095.2381,4770.992366,988
Richmond,h,1506000,131,3988,13000,433333.3333,520000,11496.18321,520
Richmond,h,1350000,131,4110,7177.033493,375000,288461.5385,10305.34351,288
Richmond,u,405000,131,2740,8730.769231,454000,212812.5,3091.603053,213
South Melbourne,h,2260000,131,5760,5898.203593,328333.3333,259210.5263,17251.9084,259
South Melbourne,h,1595000,131,7080,9897.959184,323333.3333,146969.697,12175.57252,147
South Yarra,u,623500,131,9939,10588.23529,405000,771428.5714,4759.541985,771
South Yarra,u,409000,131,5580,9390.243902,385000,110000,3122.137405,110
Southbank,u,990000,131,2967,4810.810811,222500,150847.4576,7557.251908,151
Southbank,u,623000,131,3693,9702.380952,407500,235096.1538,4755.725191,235
Southbank,u,592500,131,7866,13030.30303,645000,379411.7647,4522.900763,379
Spotswood,h,832500,131,4200,9742.268041,472500,136956.5217,6354.961832,137
St Kilda,u,400000,131,3650,12790.69767,550000,187500,3053.435115,188
Strathmore,h,1265000,131,4985,10628.93082,563333.3333,256060.6061,9656.48855,256
Strathmore,h,1025000,131,6550,10621.62162,491250,265540.5405,7824.427481,266
Strathmore,h,1430000,131,7885,14068.62745,478333.3333,410000,10916.03053,410
Sunshine,h,657500,131,10632,11625.89928,404000,897777.7778,5019.083969,898
Sunshine,h,1030000,131,13507,14393.93939,950000,863636.3636,7862.59542,864
Sunshine North,h,560000,131,14453,13909.77444,616666.6667,560606.0606,4274.80916,561
Sunshine West,h,581000,131,11680,10961.53846,356250,445312.5,4435.114504,445
Templestowe Lower,h,1500000,131,5880,7611.111111,456666.6667,175641.0256,11450.38168,176
Thornbury,h,940000,131,5178,12307.69231,640000,1230769.231,7175.572519,1231
Toorak,u,349000,131,8609,14846.93878,727500,363750,2664.122137,364
West Melbourne,u,550000,131,20476,20616.43836,1003333.333,912121.2121,4198.473282,912
West Melbourne,u,660000,131,9295,13551.40187,725000,426470.5882,5038.167939,426
Williamstown,h,1460000,131,9485,14021.73913,645000,368571.4286,11145.03817,369
Williamstown,u,310000,131,3303,5848.623853,255000,193181.8182,2366.412214,193
Windsor,u,800000,131, ,6281.25,301500,137045.4545,6106.870229,137
Windsor,u,275000,131,3315,8894.472362,442500,138281.25,2099.236641,138
Yarraville,h,1320000,131,3353,10124.37811,508750,290714.2857,10076.33588,291
Aberfeldie,u,470000,131,5973,11786.66667,442000,170000,3587.78626,170
Brunswick East,h,1625000,131,5072,14133.33333,530000,240909.0909,12404.58015,241
Brunswick East,t,899000,131,6413,6742.647059,305666.6667,208409.0909,6862.59542,208
Carlton,h,1590000,131,4029,10527.02703,584250,278214.2857,12137.40458,278
Carlton,u,610250,131,8140,8203.125,525000,420000,4658.396947,420
Carlton,h,720000,131,15203,15410.9589,750000,548780.4878,5496.183206,549
Kingsville,h,677500,131,10562,14461.53846,470000,408695.6522,5171.755725,409
Murrumbeena,u,975000,131,7409,15149.25373,507500,225555.5556,7442.748092,226
Murrumbeena,h,1060000,131,7911,13157.89474,625000,367647.0588,8091.603053,368
Murrumbeena,u,680000,131,2367,10989.79592,538500,176557.377,5190.839695,177
West Footscray,u,520000,131,7423,12857.14286,720000,236065.5738,3969.465649,236
Oakleigh,u,400000,131,13190,25294.11765,716666.6667,651515.1515,3053.435115,652
Ripponlea,u,605000,131,15500,23250,930000,1073076.923,4618.320611,1073
Altona,h,635000,131,10101,13807.33945,501666.6667,501666.6667,4847.328244,502
Altona North,h,675000,131,3510,8113.207547,430000,165384.6154,5152.671756,165
Ascot Vale,h,1340000,131,6475,11538.46154,450000,450000,10229.00763,450
Ascot Vale,h,955000,131,9933,15413.7931,670500,558750,7290.076336,559
Ashwood,u,690000,131,15152,16835.01684,833333.3333,833333.3333,5267.175573,833
Bentleigh East,t,805000,131,5717,13287.03704,478333.3333,275961.5385,6145.038168,276
Bentleigh East,h,1100000,131,6387,13987.34177,552500,276250,8396.946565,276
Brighton,h,2730000,131,9710,15703.125,670000,670000,20839.69466,670
Brighton,u,900000,131,11818,16616.54135,1105000,818518.5185,6870.229008,819
Brighton,t,1962000,131,15890,10593.22034,625000,1442307.692,14977.09924,1442
Brighton East,h,1530000,131,6940, ,635000,352777.7778,11679.38931,353
Brunswick,h,976000,131,7823,12105.26316,575000,338235.2941,7450.381679,338
Brunswick,t,641000,131,7904,8728.652751,575000,500000,4893.129771,500
Brunswick West,h,1245000,131,11591,17708.33333,637500,531250,9503.816794,531
Bulleen,h,1320000,131,6473,11920.79208,401333.3333,231538.4615,10076.33588,232
Burwood,h,633000,131,6419,7809.278351,378750,291346.1538,4832.061069,291
Carnegie,h,1501000,131,8261,7000,443333.3333,332500,11458.01527,333
Carnegie,t,970000,131,6973,9467.153285,432333.3333,648500,7404.580153,649
Caulfield South,h,1774500,131,3673,9437.086093,356250,229838.7097,13545.80153,230
Coburg,h,763000,131, ,11489.3617,540000,540000,5824.427481,540
Collingwood,t,897500,131,7500,14538.46154,472500,185294.1176,6851.145038,185
Collingwood,h,1265000,131,5866,9130.434783,350000,154411.7647,9656.48855,154
Doncaster,h,1250000,131,13661, ,956250,2013157.895,9541.984733,2013
Doncaster,h,1140000,131,9747,13750,770000,440000,8702.290076,440
Essendon,u,460000,131,8973,12596.15385,655000,363888.8889,3511.450382,364
Essendon,t,1000000,131,6084,11694.44444,701666.6667,292361.1111,7633.587786,292
Essendon North,u,450000,131, ,12631.57895,400000,400000,3435.114504,400
Fitzroy North,h,1950000,131,7869,17312.5,692500,384722.2222,14885.49618,385
Fitzroy North,h,3400000,131,8537,15053.76344,700000,388888.8889,25954.19847,389
Fitzroy North,h,1785000,131,7540,10809.24855,467500,519444.4444,13625.9542,519
Footscray,h,780000,131,10800,16119.40299,540000,600000,5954.198473,600
Gowanbrae,h,709000,131,5714,8888.888889,400000,153846.1538,5412.21374,154
Hadfield,h,545000,131,6643,13460.52632,511500,255750,4160.305344,256
Keilor East,u,560000,131,11330,14110.42945,766666.6667,1095238.095,4274.80916,1095
Keilor East,h,1010000,131,6911, ,660000,366666.6667,7709.923664,367
Kensington,h,825000,131,6222,11475.40984,466666.6667,194444.4444,6297.709924,194
Maidstone,h,673000,131, ,13250,530000,504761.9048,5137.40458,505
Malvern,t,1390000,131, ,11111.11111,500000,555555.5556,10610.68702,556
Malvern East,h,1700000,131,8167,12760.41667,612500,360294.1176,12977.09924,360
Malvern East,u,370000,131,10101,10416.66667,333333.3333,285714.2857,2824.427481,286
Malvern East,h,1150000,131, ,13793.10345,533333.3333,457142.8571,8778.625954,457
Maribyrnong,h,1072000,131,7821,12500,508333.3333,635416.6667,8183.206107,635
Maribyrnong,t,510000,131,3740,8490.566038,675000,177631.5789,3893.129771,178
Middle Park,h,1020000,131,14505, ,536666.6667,350000,7786.259542,350
Moonee Ponds,u,330000,131, ,27024.79339,1090000,1362500,2519.083969,1363
Moonee Ponds,h,1322000,131,8889,13953.48837,600000,500000,10091.60305,500
Moonee Ponds,h,1015000,131,15328,16800,700000,700000,7748.091603,700
Newport,h,950000,131, ,7766.990291,400000,186046.5116,7251.908397,186
Newport,h,1620000,131, ,12179.48718,475000,153225.8065,12366.41221,153
Northcote,u,312000,131, ,11160.71429,416666.6667,235849.0566,2381.679389,236
Northcote,h,890000,131,5887,11423.84106,575000,492857.1429,6793.89313,493
Northcote,h,2700000,131,8992,12115.78947,575500,605789.4737,20610.68702,606
Northcote,h,1101000,131,8272,10113.20755,670000,536000,8404.580153,536
Pascoe Vale,u,488000,131,7799,13333.33333,413333.3333,413333.3333,3725.19084,413
Pascoe Vale,h,900000,131, ,12561.15108,582000,485000,6870.229008,485
Pascoe Vale,h,680000,131,7992,15514.70588,527500,439583.3333,5190.839695,440
Port Melbourne,h,900000,131,3940, ,675000,321428.5714,6870.229008,321
Prahran,h,1100000,131,8889, ,600000,400000,8396.946565,400
Preston,h,1260000,131,10902,17272.72727,665000,443333.3333,9618.320611,443
Preston,u,485000,131,20339,13533.83459,900000,1200000,3702.290076,1200
Preston,h,690000,131,4502,8340.163934,508750,164112.9032,5267.175573,164
Reservoir,h,830000,131,9187, ,615500,351714.2857,6335.877863,352
Reservoir,u,360000,131,4986,10802.46914,437500,729166.6667,2748.091603,729
Richmond,t,930000,131, ,15942.02899,550000,440000,7099.236641,440
Richmond,h,1182000,131,11079,14029.5858,592750,764838.7097,9022.900763,765
Richmond,h,777500,131,6111,12392.52336,442000,331500,5935.114504,332
