Suburb,Type,Lattitude,Longtitude,Landpercentage
Carlton,u,-37.8099,145.0027,0.775193798
Sunshine,h,-37.79395,144.97698,0.8
Deer Park,h,-37.8147,145.00852,0.806451613
Glen Waverley,h,-37.8946,145.0588,1.01010101
Prahran,h,-37.8981,145,1.048951049
Elwood,u,-37.7196,144.9899,1.063829787
Coburg,h,-37.7732,144.8927,1.176470588
Malvern,u,-37.75772,144.94349,1.19760479
Sunshine,h,-37.833,144.9381,1.234567901
Northcote,h,-37.7765,145.1031,1.236263736
Fitzroy,h,-37.7656,144.9562,1.257861635
Carnegie,u,-37.8578,145.0919,1.300813008
Carlton,h,-37.8496,144.963,1.351351351
Coburg,h,-37.7325,144.88272,1.538461538
Camberwell,h,-37.87818,144.98532,1.595744681
Blackburn South,h,-37.85086,144.96317,1.6
Brunswick,h,-37.84689,145.05863,1.762114537
Footscray,h,-37.8332,144.945,1.851851852
Bentleigh East,h,-37.73715,144.97044,1.968503937
Camberwell,t,-37.7516,144.9623,2.06185567
Glenroy,h,-37.8148,145.0571,2.247191011
South Melbourne,h,-37.8385,144.9409,2.339181287
Pascoe Vale,u,-37.8355,145.0633,2.409638554
Fitzroy North,h,-37.7773,144.8725,2.424242424
Preston,h,-37.82392,145.1299,2.496099844
Bayswater,h,-37.7631,144.9357,2.564102564
Hughesdale,u,-37.8248,144.8717,2.631578947
Elsternwick,t,-37.8056,144.993,2.654867257
Wheelers Hill,h,-37.845,144.8873,2.777777778
Footscray,h,-37.84497,144.99781,2.941176471
Malvern East,u,-37.83509,144.94286,3.03030303
Gowanbrae,h,-37.9011,145.0474,3.191489362
Newport,h,-37.83819,144.94686,3.267973856
South Yarra,h,-37.8404,145.0022,3.370786517
Malvern East,h,-37.857,144.8846,3.424657534
Mitcham,h,-37.857,144.8846,3.424657534
Maribyrnong,u,-37.8233,145.0769,3.448275862
Essendon West,u,-37.85372,144.96579,3.51758794
Glen Iris,h,-37.8154,145.0369,3.529411765
Reservoir,u,-37.7999,144.9755,3.846153846
Malvern,h,-37.7944,144.9542,4.12371134
Ringwood North,h,-37.8542,145.0024,4.166666667
Balwyn North,h,-37.7232,144.9154,4.237288136
Camberwell,u,-37.78974,144.88143,4.402515723
Kensington,h,-37.8357,144.9531,4.411764706
Kew,h,-37.7112,144.9142,4.411764706
Reservoir,t,-37.9389,145.0186,4.444444444
Wheelers Hill,h,-37.80802,144.96168,4.494382022
Camberwell,u,-37.7609,144.9416,4.587155963
Doncaster,h,-37.7968,144.9781,4.716981132
Hampton,h,-37.7231,144.9482,4.72972973
Brighton East,h,-37.80962,144.86877,4.761904762
Maribyrnong,h,-37.8519,145.0055,4.794520548
Northcote,h,-37.84957,144.9889,4.827586207
Brunswick East,t,-37.7868,144.9336,4.895104895
South Yarra,u,-37.78251,144.96817,4.901960784
Williamstown,h,-37.7462,144.9795,5.2
Brunswick,u,-37.8529,145.0806,5.218617772
South Melbourne,h,-37.79611,144.93305,5.479452055
Murrumbeena,t,-37.8801,145.26011,5.622009569
McKinnon,h,-37.8448,144.9882,6.040268456
South Yarra,u,-37.8355,144.951,6.134969325
Sunshine,h,-37.8481,144.9499,6.161137441
Northcote,h,-37.7754,144.99275,6.206896552
Seabrook,h,-37.7934,144.9923,6.451612903
Malvern East,u,-37.7668,144.96644,6.748466258
Sunshine,h,-37.80814,144.94506,6.766917293
Fitzroy North,h,-37.8377,144.9894,6.849315068
Ringwood East,h,-37.736,144.9665,6.862745098
Glen Iris,h,-37.96062,145.04296,6.875
Cremorne,h,-37.8361,144.9831,6.976744186
Bulleen,u,-37.824,145.0052,6.976744186
Oakleigh,h,-37.7833,144.89717,7.016806723
Glen Iris,h,-37.8033,144.8897,7.04845815
Mont Albert,u,-37.8033,144.8897,7.04845815
Keilor East,h,-37.7966,144.9821,7.079646018
Cairnlea,h,-37.79,144.7886,7.126865672
Albert Park,h,-37.7786,144.9818,7.296137339
Elwood,h,-37.7379,144.9617,7.407407407
Balwyn,h,-37.80199,145.06486,7.407407407
Bentleigh East,t,-37.7639,144.9126,7.419354839
Surrey Hills,h,-37.73566,144.89368,7.453416149
Ringwood North,h,-37.7939,144.8261,7.56302521
Balwyn North,h,-37.713,145.0108,7.692307692
Thornbury,h,-37.78495,144.98088,7.920792079
Melbourne,u,-37.8481,144.9869,7.96460177
Templestowe Lower,h,-37.79335,144.98857,8.045977011
Southbank,u,-37.7965,144.9543,8.196721311
Coburg,h,-37.795,144.942,8.256880734
Balwyn,h,-37.759,144.988,8.280254777
Cheltenham,h,-37.8179,145.1341,8.333333333
Thornbury,h,-37.7343,145.0025,8.333333333
Pascoe Vale,u,-37.836,144.9824,8.376963351
Ascot Vale,h,-37.7403,144.9491,8.403361345
Prahran,u,-37.80359,144.99538,8.450704225
Hawthorn,u,-37.90904,144.99868,8.464566929
Camberwell,h,-37.7641,144.8885,8.482142857
Sunshine,h,-37.7966,144.9709,8.552631579
Northcote,h,-37.799,144.9276,8.695652174
Williamstown,h,-37.814,145.006,8.73015873
Moonee Ponds,h,-37.84388,144.95303,8.759124088
Elsternwick,h,-37.8448,144.9453,8.843537415
Hawthorn,h,-37.81338,145.18551,8.991825613
Bentleigh East,h,-37.7532,144.9178,9.042553191
Coburg,h,-37.836,144.93701,9.090909091
Glen Iris,h,-37.75792,144.97218,9.148264984
Doncaster,t,-37.7659,144.9487,9.166666667
Balwyn North,h,-37.8395,144.8787,9.278350515
Toorak,t,-37.78714,144.97966,9.420289855
Mont Albert,h,-37.83187,144.87164,9.433962264
Brunswick,t,-37.84961,145.00248,9.450171821
Kensington,t,-37.72752,144.88358,9.467455621
Bentleigh East,h,-37.7928,144.9575,9.473684211
Coburg,h,-37.8122,145.0879,9.565217391
Oakleigh,h,-37.7948,144.854,9.565217391
Ashburton,t,-37.7713,144.9038,9.589041096
Newport,h,-37.7922,144.8831,9.6
Kensington,h,-37.7804,145.0308,9.677419355
Preston,h,-37.8894,145.0679,9.803921569
Bayswater North,h,-37.7697,144.878,9.90990991
Malvern,h,-37.8366,144.9827,9.929078014
Ashwood,u,-37.84152,144.95027,10
Surrey Hills,h,-37.7863,145.106,10.16949153
Coburg,h,-37.8225,145.0029,10.1910828
McKinnon,h,-37.8775,144.9808,10.21276596
Altona,h,-37.8401,145.09113,10.2173913
Maribyrnong,h,-37.7993,145.0267,10.24390244
Reservoir,h,-37.79013,144.97963,10.27027027
Thornbury,t,-37.83863,144.96208,10.30555556
Toorak,h,-37.84163,144.99792,10.54852321
Windsor,h,-37.7527,144.8824,10.61452514
Reservoir,h,-37.8517,145.0056,10.71428571
Ormond,h,-37.8001,144.9901,10.71428571
Prahran,u,-37.9207,145.0079,10.81081081
Glen Waverley,h,-37.8525,145.0071,10.81081081
Templestowe,h,-37.7668,145.0063,10.85271318
Oak Park,t,-37.8988,145.0781,10.89108911
Elwood,u,-37.7958,144.944,10.96774194
Camberwell,h,-37.93211,145.18955,11.03448276
Strathmore,t,-37.8085,144.9964,11.21495327
Caulfield South,h,-37.8122,144.8965,11.24260355
Hawthorn,u,-37.8213,144.9948,11.30434783
Carlton North,h,-37.78109,144.97939,11.33333333
Footscray,h,-37.7588,144.9881,11.39240506
Hawthorn East,u,-37.72304,144.92864,11.47540984
Flemington,h,-37.76292,144.97975,11.5942029
Glen Iris,u,-37.8887,145.0046,11.61290323
Glen Iris,h,-37.96066,145.04109,11.65644172
Reservoir,h,-37.8974,145.0622,11.66077739
Coburg North,h,-37.87972,145.03351,11.66666667
Balwyn,h,-37.8007,144.88207,11.72839506
Surrey Hills,u,-37.82073,144.8447,11.94968553
Strathmore Heights,h,-37.8945,145.0876,12
Preston,h,-37.80473,144.9435,12
Doncaster East,h,-37.7888,145.138,12.08791209
Maribyrnong,h,-37.78459,144.92963,12.12121212
Box Hill,h,-37.7815,144.9869,12.23404255
Carlton,u,-37.7528,144.9368,12.32876712
Brunswick,u,-37.814,145.002,12.37113402
Pascoe Vale,h,-37.8383,144.9499,12.42236025
Carnegie,u,-37.7776,144.9727,12.44635193
Camberwell,u,-37.71064,145.01067,12.5
Brunswick East,h,-37.75451,144.92179,12.56038647
Hawthorn East,u,-37.76393,144.90839,12.60162602
Maribyrnong,h,-37.7889,144.8465,12.65822785
Footscray,h,-37.7839,144.9807,12.71186441
Ascot Vale,h,-37.85258,145.08589,13
Kingsville,h,-37.8271,145.0243,13.04347826
Port Melbourne,h,-37.82,144.9987,13.22751323
Coburg,h,-37.78893,144.84652,13.29113924
Hawthorn,u,-37.80141,144.89587,13.33333333
Delahey,h,-37.7382,144.973,13.38028169
Yarraville,u,-37.79074,144.94324,13.52941176
Croydon,h,-37.8063,145.0179,13.57142857
Essendon,h,-37.8052,144.9739,13.64985163
Sunshine West,h,-37.88592,145.04781,13.67521368
Glen Iris,h,-37.84406,145.09005,13.69863014
Balwyn,h,-37.75156,144.886,13.73626374
Canterbury,h,-37.7556,144.899,13.83928571
Bentleigh East,h,-37.8387,144.9519,13.92405063
Donvale,h,-37.7091,144.8958,13.92405063
Hawthorn,h,-37.741,144.88474,14.01273885
Cheltenham,h,-37.8147,145.0084,14.0562249
Cheltenham,t,-37.8695,145.05,14.1025641
Brighton East,h,-37.7999,144.9759,14.12429379
Caulfield North,h,-37.7863,145.1105,14.2
Sunshine West,h,-37.8024,144.9993,14.28571429
Hawthorn East,h,-37.73346,144.91778,14.28571429
Melbourne,u,-37.7578,144.9134,14.51612903
Newport,h,-37.77129,144.99508,14.59854015
Essendon,u,-37.8124,144.8957,14.61988304
Yarraville,h,-37.8395,144.9489,14.72081218
Keilor East,h,-37.8047,144.8948,14.76510067
Balwyn North,h,-37.78538,144.87959,14.96598639
Hampton,u,-37.7601,144.9581,15
Kew,u,-37.84143,145.08705,15.05376344
Kew,h,-37.7527,144.8957,15.234375
Thornbury,h,-37.813,145.0004,15.51724138
Ashwood,h,-37.89233,144.9925,15.56291391
Hawthorn,u,-37.8139,144.8741,15.57377049
Richmond,h,-37.83805,144.94761,15.6626506
Moonee Ponds,h,-37.7587,144.9881,15.82278481
Carlton,u,-37.8348,144.9686,16
Ringwood East,h,-37.8127,144.8965,16.01941748
Kingsville,h,-37.7999,144.9776,16.03053435
Balwyn,h,-37.77558,144.90397,16.03053435
Niddrie,t,-37.7907,145.00008,16.04095563
Braybrook,h,-37.9034,145.0409,16.08040201
Seddon,h,-37.9219,145.0733,16.16766467
Hawthorn,u,-37.7233,144.9507,16.19047619
Coburg,u,-37.7857,144.9305,16.20111732
Highett,h,-37.89563,145.06992,16.25
Balwyn,h,-37.7977,145.068,16.33802817
Canterbury,h,-37.89238,144.98907,16.42857143
Cairnlea,h,-37.897,145.0593,16.43835616
Camberwell,h,-37.77488,145.12952,16.44736842
Balaclava,h,-37.79068,144.97824,16.54676259
Port Melbourne,h,-37.87345,145.22973,16.56804734
Elwood,u,-37.96841,145.07175,16.57142857
Tullamarine,u,-37.8823,145.0839,16.57458564
Glen Iris,h,-37.715,144.9475,16.61129568
Reservoir,h,-37.84398,144.95044,16.66666667
Yarraville,h,-37.788,144.96978,16.66666667
Sunshine North,h,-37.79674,144.96563,16.66666667
Ascot Vale,h,-37.77639,144.91666,16.66666667
Sunshine North,h,-37.8573,144.8911,16.73819742
Caulfield South,h,-37.7559,144.9378,16.79389313
Kealba,h,-37.7269,144.9274,16.81415929
Glen Waverley,h,-37.7929,144.9197,16.86746988
Hawthorn East,t,-37.74009,144.87787,16.87116564
Kingsville,h,-37.7898,145.0967,16.9544741
Abbotsford,u,-37.8158,144.9931,17.05069124
Kew,u,-37.7422,144.9606,17.05426357
Kew East,h,-37.74999,144.89622,17.06586826
Camberwell,h,-37.7189,144.9036,17.2
Hawthorn East,h,-37.9182,145.0231,17.21854305
Kew East,h,-37.7282,144.928,17.27272727
Hawthorn East,h,-37.88011,145.23567,17.34693878
Coburg,h,-37.8112,145.0881,17.3553719
Maribyrnong,h,-37.8053,145.0327,17.40890688
Preston,h,-37.79737,144.98492,17.43119266
Coburg,t,-37.8552,145.05,17.46031746
Richmond,h,-37.8106,144.994,17.6
Altona North,h,-37.85277,145.00129,17.68292683
Yarraville,h,-37.7585,144.9504,17.75147929
Fairfield,u,-37.9122,145.0038,17.77777778
Burwood,h,-37.76549,144.96366,17.79661017
Kew,h,-37.75982,145.0045,17.80821918
Glenroy,u,-37.81852,144.99008,17.89473684
Camberwell,h,-37.74588,144.927,18.04878049
Murrumbeena,h,-37.7169,144.8582,18.07228916
Bentleigh East,h,-37.8401,144.943,18.10344828
Camberwell,h,-37.73174,144.88086,18.15181518
Ashburton,h,-37.7216,144.871,18.18181818
Northcote,h,-37.86569,144.97919,18.20987654
Mulgrave,h,-37.8982,145.0121,18.22033898
Sunshine West,h,-37.79435,144.92591,18.22660099
Northcote,h,-37.8334,144.9867,18.2320442
Port Melbourne,h,-37.8334,144.9867,18.2320442
Canterbury,h,-37.78267,145.14278,18.23529412
Glen Iris,h,-37.86472,144.82929,18.23899371
Kingsville,h,-37.8209,145.0055,18.30065359
Maidstone,h,-37.85104,145.00556,18.42105263
Templestowe Lower,u,-37.85205,144.96481,18.53146853
Northcote,t,-37.7615,144.9333,18.84057971
Hawthorn,u,-37.78329,144.91842,18.86792453
Ormond,h,-37.79644,144.99578,19.04761905
Camberwell,h,-37.83014,144.96967,19.04761905
Ashburton,h,-37.8327,145.2348,19.07514451
Moonee Ponds,u,-37.92624,145.1321,19.25925926
Surrey Hills,h,-37.79498,144.79227,19.27710843
Balwyn,h,-37.7693,144.8905,19.31818182
Altona North,h,-37.84305,144.98701,19.35483871
Reservoir,h,-37.7403,144.8989,19.375
Glen Waverley,h,-37.73915,144.80289,19.375
Richmond,t,-37.727,144.887,19.39393939
Reservoir,h,-37.98453,145.02659,19.44444444
Surrey Hills,h,-37.785,144.8673,19.49685535
Kew East,h,-37.78502,144.86733,19.49685535
Balwyn,h,-37.78502,144.86733,19.49685535
Keilor East,h,-37.9306,145.0284,19.64285714
Keilor East,u,-37.80475,144.98228,19.7044335
Kew,h,-37.707,144.9413,19.7080292
Hawthorn,u,-37.9256,145.0533,19.7492163
North Melbourne,u,-37.8965,145.0618,20
Fitzroy,u,-37.806,144.8674,20
Keilor East,h,-37.7293,144.8659,20.1863354
Brunswick West,h,-37.8065,144.8866,20.20725389
Pascoe Vale,h,-37.85277,144.98485,20.21276596
Richmond,h,-37.8577,145.0406,20.26431718
Hawthorn,h,-37.7479,145.0153,20.3539823
Preston,h,-37.7847,144.8962,20.37037037
Kensington,h,-37.8873,145.0559,20.38834951
Templestowe,t,-37.8124,145.0916,20.49180328
Aberfeldie,u,-37.8337,144.8739,20.51282051
Mont Albert,u,-37.7898,144.8722,20.51282051
Thornbury,h,-37.797,144.9915,20.52980132
Hadfield,h,-37.8142,145.0252,20.64220183
Murrumbeena,h,-37.7648,145.0098,20.66666667
Airport West,h,-37.9245,145.0336,20.68965517
Coburg,u,-37.8434,144.9495,20.76502732
Carnegie,u,-37.8375,144.941,20.80924855
Pascoe Vale,h,-37.813,145.0167,20.94240838
Richmond,h,-37.80712,144.94832,21.02803738
Mont Albert,h,-37.8704,145.0503,21.07728337
Fitzroy,u,-37.79798,144.97324,21.15384615
Newport,h,-37.7853,144.8972,21.18226601
Mont Albert,u,-37.7617,145.0117,21.21212121
Armadale,h,-37.84387,145.00687,21.30434783
Preston,h,-37.7696,145.0003,21.33333333
Kew,h,-37.7462,144.8873,21.39737991
Prahran,h,-37.7987,144.9034,21.42857143
Murrumbeena,h,-37.7483,144.9634,21.51162791
Balwyn,h,-37.73779,144.88392,21.51162791
Taylors Lakes,h,-37.7638,144.9175,21.55477032
Camberwell,h,-37.90522,145.07109,21.60278746
Murrumbeena,t,-37.7652,144.9454,21.65605096
Kew,h,-37.7234,144.8792,21.66666667
Brunswick,h,-37.7804,144.9748,21.73913043
Glenroy,h,-37.8288,144.9891,21.73913043
Preston,h,-37.77323,145.18029,21.75732218
Reservoir,h,-37.8911,145.0539,21.80451128
Brighton,u,-37.8607,145.0373,22.07792208
Kew,h,-37.742,144.8885,22.11221122
Richmond,h,-37.77849,144.9838,22.13114754
Keilor Park,u,-37.8467,144.9475,22.32415902
Kingsville,h,-37.7319,144.9461,22.4
Essendon West,h,-37.882,144.993,22.42152466
Ferntree Gully,h,-37.7087,144.8962,22.47191011
Hawthorn,u,-37.7308,144.9836,22.48322148
Hillside,h,-37.9059,144.992,22.50755287
Newport,h,-37.8806,145.0831,22.60869565
Templestowe Lower,h,-37.7549,144.9611,22.74678112
Kew,t,-37.7801,144.869,22.75862069
Caulfield South,h,-37.82223,145.22504,22.76422764
Williamstown,t,-37.84535,144.96044,22.85714286
Surrey Hills,h,-37.92594,145.03184,22.8668942
Hawthorn,u,-37.787,144.8748,22.88135593
St Kilda,u,-37.85134,144.98497,22.90502793
Glen Iris,h,-37.7499,144.8927,23.02405498
Kew,h,-37.93227,145.06377,23.05084746
Surrey Hills,h,-37.75582,144.91061,23.15270936
Camberwell,h,-37.75474,144.91227,23.16384181
Malvern East,u,-37.8159,145.0219,23.17073171
Caulfield North,h,-37.7921,144.9898,23.29545455
Beaumaris,h,-37.7076,144.8961,23.42857143
Hawthorn East,h,-37.8805,145.105,23.44497608
Kew,h,-37.77004,145.0093,23.46666667
Maribyrnong,t,-37.836,144.965,23.5
Altona,u,-37.81415,145.00381,23.50877193
St Kilda,h,-37.8288,145.1048,23.52941176
Altona Meadows,h,-37.8887,145.0318,23.61111111
Canterbury,h,-37.937,145.01169,23.61111111
Bentleigh East,h,-37.8395,144.9898,23.71134021
Balwyn,h,-37.9347,145.0546,23.71134021
Hawthorn,u,-37.94008,145.00809,23.80952381
Canterbury,h,-37.84461,145.10968,23.85620915
Hawthorn,u,-37.74936,144.89669,23.86363636
Brunswick,t,-37.8021,144.9965,23.91304348
Northcote,u,-37.8302,145.0542,23.94366197
Balwyn North,h,-37.7139,145.0198,23.95833333
Keilor,h,-37.83868,144.93181,24.03846154
Kensington,h,-37.7302,144.92928,24.05063291
Sunshine North,h,-37.8652,144.9019,24.09638554
Elwood,u,-37.8378,145.0949,24.10714286
Kealba,h,-37.8019,144.9821,24.13793103
Balwyn North,h,-37.72487,145.00705,24.18115942
Avondale Heights,h,-37.7261,144.9336,24.32432432
Balwyn North,h,-37.9252,145.0494,24.35424354
Templestowe Lower,h,-37.8677,145.0981,24.35897436
Richmond,h,-37.7601,144.9228,24.36781609
Ashburton,h,-37.84684,145.03893,24.3697479
Prahran,u,-37.8264,145.0824,24.54545455
Kew,h,-37.78458,144.88106,24.6031746
Keilor East,h,-37.75867,144.95679,24.63768116
Richmond,h,-37.72924,145.02981,24.70588235
Camberwell,h,-37.7581,144.9514,24.7311828
Hillside,h,-37.73344,144.94372,24.76415094
Surrey Hills,u,-37.81961,144.88132,24.78632479
Richmond,h,-37.87798,145.06731,24.80620155
Reservoir,u,-37.7922,144.9316,24.85207101
Cremorne,h,-37.8664,144.9072,24.86486486
Brighton East,h,-37.8639,145.0641,24.88479263
Mont Albert,u,-37.7881,145.1371,24.89270386
Scoresby,h,-37.7492,144.969,24.9343832
Yarraville,t,-37.9461,145.02432,25
Templestowe,h,-37.73748,144.97217,25
Oakleigh,h,-37.8125,145.0849,25.11415525
Balwyn North,h,-37.8503,145.0292,25.17006803
Flemington,h,-37.82671,145.04786,25.21008403
Camberwell,u,-37.7418,144.8833,25.24752475
Essendon,t,-37.8169,145.0234,25.25252525
Northcote,h,-37.7418,144.8918,25.26315789
Canterbury,h,-37.74914,144.96826,25.37313433
Kew,u,-37.7723,144.9643,25.42372881
Brighton,h,-37.8331,144.9412,25.47169811
Camberwell,h,-37.8014,144.8959,25.53191489
Pascoe Vale,h,-37.81474,145.02609,25.606469
Kingsville,h,-37.8348,145.0503,25.61728395
Maribyrnong,h,-37.7933,144.9824,25.625
Preston,h,-37.7223,144.9315,25.65445026
Carnegie,t,-37.8513,144.9586,25.65789474
Balwyn North,h,-37.8656,144.9039,25.66037736
Templestowe Lower,h,-37.8513,145.0089,25.67049808
Abbotsford,h,-37.8564,145.0228,25.69444444
Prahran,h,-37.8435,145.0497,25.69444444
Armadale,h,-37.83446,144.94021,25.74257426
Balwyn North,h,-37.718,144.878,25.74257426
Northcote,h,-37.83281,144.96633,25.78125
Kew,h,-37.72034,144.93788,25.78125
Coburg,h,-37.85122,145.00514,25.80645161
Highett,t,-37.93682,145.0762,25.80645161
Kew,h,-37.7209,144.93,25.85034014
Kew,h,-37.7242,144.9411,25.92592593
Glen Iris,h,-37.7293,145.0216,25.94936709
Bentleigh East,h,-37.7104,145.0076,25.96153846
Glenroy,h,-37.8501,144.9953,26.04166667
Avondale Heights,h,-37.7406,144.9555,26.08695652
Hawthorn East,h,-37.8971,145.03477,26.10169492
Moonee Ponds,u,-37.8007,144.9958,26.19047619
Seaholme,h,-37.7894,144.8463,26.20689655
Richmond,u,-37.8668,144.9928,26.2295082
Thornbury,t,-37.85028,145.18787,26.28992629
Abbotsford,h,-37.8391,144.9501,26.31578947
Carnegie,t,-37.79557,144.99158,26.34408602
Balwyn North,h,-37.9299,145.0598,26.43312102
Brunswick,h,-37.8233,144.8825,26.59233449
South Yarra,u,-37.8371,144.921,26.625387
Alphington,h,-37.7839,144.9273,26.66666667
Abbotsford,u,-37.82012,145.08526,26.72413793
Deer Park,h,-37.9307,145.0379,26.82926829
Altona,h,-37.84587,144.94828,26.84563758
Kingsville,h,-37.9394,145.089,26.96629213
Blackburn North,t,-37.71766,145.00132,26.96629213
Oakleigh,u,-37.7247,144.9257,26.97674419
Mont Albert,t,-37.9116,145.0686,26.99724518
Donvale,h,-37.8122,144.9937,27.03862661
Reservoir,h,-37.7562,144.9286,27.08333333
Mulgrave,h,-37.80857,144.87682,27.11864407
Hawthorn,u,-37.8781,145.0955,27.12765957
Kew,h,-37.9278,145.0337,27.14776632
Camberwell,h,-37.79979,145.15665,27.17948718
South Melbourne,h,-37.83261,144.99895,27.21893491
Balwyn,h,-37.7802,145.0243,27.22222222
Canterbury,u,-37.7827,144.8625,27.27272727
Kew,u,-37.7317,144.9177,27.29083665
Northcote,h,-37.7152,144.9346,27.39726027
Thornbury,u,-37.82795,144.99565,27.56410256
Balwyn North,h,-37.7295,144.9641,27.5862069
Doncaster,h,-37.9199,145.0174,27.61904762
Malvern East,h,-37.74542,145.00086,27.63157895
Hawthorn,h,-37.78559,144.86483,27.6344086
Cheltenham,h,-37.90017,145.05812,27.7173913
St Kilda,h,-37.77232,144.99552,27.734375
Prahran,u,-37.869,144.9865,27.75665399
St Kilda,h,-37.7607,144.9314,27.77777778
Beaumaris,h,-37.69503,144.77869,27.77777778
Glen Iris,t,-37.7186,145.0166,27.77777778
Moonee Ponds,h,-37.8149,144.8942,27.86885246
Ascot Vale,t,-37.9326,145.0441,27.96610169
Sunshine West,h,-37.8225,144.8814,27.97619048
Brunswick East,h,-37.788,144.9791,28
Reservoir,h,-37.7766,144.9277,28
Seddon,h,-37.822,145.0041,28.03030303
Ringwood North,h,-37.80862,145.14474,28.05755396
Seddon,h,-37.8655,145.0808,28.10457516
Fairfield,h,-37.7996,144.9737,28.125
Wheelers Hill,h,-37.7216,144.8837,28.125
Maribyrnong,h,-37.8199,144.9911,28.15533981
Camberwell,h,-37.8007,145.0374,28.15884477
Toorak,u,-37.79372,144.92846,28.18181818
Burwood,h,-37.83423,144.95243,28.44036697
South Melbourne,h,-37.8078,144.8972,28.46715328
Hawthorn East,h,-37.8184,145.08624,28.47790507
Toorak,u,-37.8126,145.0064,28.57142857
Croydon,h,-37.79423,145.13696,28.57142857
Kew,h,-37.7507,144.8911,28.60962567
Glen Iris,h,-37.9904,145.03871,28.61189802
Mont Albert,h,-37.95671,145.0686,28.65497076
Hawthorn,h,-37.91783,145.0816,28.65671642
Doncaster East,h,-37.7815,144.8128,28.72928177
South Melbourne,h,-37.7174,145.0016,28.73563218
Carnegie,h,-37.8382,144.9469,28.75816993
Essendon,u,-37.79346,144.99642,28.76712329
Sunshine,t,-37.76898,144.9858,28.78787879
Glen Iris,h,-37.91372,145.07488,28.81355932
Balwyn North,u,-37.87036,145.08471,28.83895131
Brighton,u,-37.83554,144.97956,28.87700535
Reservoir,u,-37.84297,145.01819,28.87700535
Richmond,u,-37.7295,145.0243,28.88888889
Brighton,t,-37.7684,144.9739,28.94736842
Alphington,h,-37.80828,144.8856,28.95622896
Abbotsford,h,-37.9237,145.0763,28.97727273
Strathmore,h,-37.83661,144.96378,29
Ashburton,h,-37.7308,144.8664,29.01234568
Prahran,h,-37.7863,144.8401,29.01785714
Glen Iris,h,-37.8303,145.0668,29.10798122
Doncaster,h,-37.79212,144.97409,29.11392405
Sandringham,h,-37.88957,145.01799,29.12371134
Armadale,u,-37.85414,144.89561,29.16666667
Glen Iris,h,-37.841,144.8874,29.18454936
Footscray,u,-37.7963,144.8862,29.19254658
Yarraville,h,-37.8622,144.8884,29.32098765
Hawthorn,h,-37.71917,144.87819,29.33333333
Elwood,u,-37.8223,145.0494,29.42477876
Hawthorn East,h,-37.73026,144.88652,29.47368421
Brunswick,h,-37.7997,145.046,29.51388889
St Albans,h,-37.75948,144.99615,29.64824121
Essendon North,u,-37.77529,144.92255,29.71014493
Hawthorn,h,-37.96116,145.06561,29.72972973
Bentleigh East,t,-37.91852,144.99742,29.80769231
