Suburb,CouncilArea,Lattitude,Longtitude,Buildingage,Pricepermeterland,Pricepermeterbuilding
Brunswick,Moreland City Council,-37.7566,144.9599,121,2443.181818, 
Brunswick,Moreland City Council,-37.7572,144.9686, ,2601.880878, 
Brunswick,Moreland City Council,-37.7581,144.9678, ,4680, 
Brunswick,Moreland City Council,-37.7746,144.9697,111,5837.962963,12610
Brunswick,Moreland City Council,-37.7642,144.969,131,4707.207207,9952.380952
Brunswick West,Moreland City Council,-37.7619,144.9412,111,4016.949153,8172.413793
Brunswick West,Moreland City Council,-37.7578,144.9439, ,1579.861111, 
Bulleen,Manningham City Council,-37.7689,145.0895,51,1488.095238,4716.981132
Burwood,Monash City Council,-37.8444,145.1054,71,2276.559865,16463.41463
Carlton North,Melbourne City Council,-37.7805,144.9721,131,5000,15000
Carlton North,Melbourne City Council,-37.7885,144.9757, ,8430.555556, 
Carnegie,Glen Eira City Council,-37.8856,145.0599,19,3874.407583,8014.705882
Carnegie,Glen Eira City Council,-37.8955,145.0515,83,2603.231598,7250
Carnegie,Glen Eira City Council,-37.8905,145.0518, ,2564.102564, 
Carnegie,Glen Eira City Council,-37.8886,145.052,27,5411.392405,8066.037736
Carnegie,Glen Eira City Council,-37.8973,145.0625,53, ,7500
Caulfield South,Glen Eira City Council,-37.8923,145.0177, ,2768.361582, 
Caulfield South,Glen Eira City Council,-37.8995,145.0241,91,2247.956403,9705.882353
Caulfield South,Glen Eira City Council,-37.8901,145.0224,5,2719.827586,4639.705882
Coburg,Darebin City Council,-37.7525,144.948,96,1913.716814,6920
Coburg,Darebin City Council,-37.7367,144.9701,141, ,5052.083333
Collingwood,Yarra City Council,-37.7948,144.9875,141,5874.31694,10336.53846
Collingwood,Yarra City Council,-37.8037,144.9846, , , 
Doncaster,Manningham City Council,-37.7892,145.131,61,2031.463748,10607.14286
Doncaster,Manningham City Council,-37.7816,145.1066,61,1808.510638,8500
Elsternwick,Glen Eira City Council,-37.8961,145.0125,21,5983.240223,8568
Elsternwick,Glen Eira City Council,-37.8789,145.0048,116,3658.536585,9944.751381
Elsternwick,Glen Eira City Council,-37.8817,145.0126,113,5596.658711,11495.09804
Elsternwick,Glen Eira City Council,-37.8829,145.0033,55, ,474.6957079
Elwood,Port Phillip City Council,-37.875,144.9813,111,5379.746835, 
Elwood,Port Phillip City Council,-37.8716,144.9869,51,422.9346486, 
Elwood,Port Phillip City Council,-37.8751,144.987,91, ,8000
Elwood,Port Phillip City Council,-37.8809,144.9833,81, ,8693.181818
Essendon,Moonee Valley City Council,-37.7498,144.9048, ,1593.625498, 
Essendon,Moonee Valley City Council,-37.7461,144.9173,33,2250,3469.162996
Essendon,Moonee Valley City Council,-37.7475,144.9194,61, ,5714.285714
Essendon,Moonee Valley City Council,-37.7439,144.9195,101,2147.877013,10117.24138
Essendon,Moonee Valley City Council,-37.754,144.926, ,1757.990868, 
Essendon,Moonee Valley City Council,-37.7534,144.9242, , , 
Essendon,Moonee Valley City Council,-37.7445,144.9133,71,1371.340524,8240.740741
Fitzroy,Yarra City Council,-37.8003,144.9806, ,11764.70588, 
Fitzroy North,Moreland City Council,-37.7813,144.9834,131,12259.61538,11590.90909
Fitzroy North,Moreland City Council,-37.7739,144.9819, ,3018.518519, 
Flemington,Melbourne City Council,-37.7854,144.9326, , , 
Footscray,Maribyrnong City Council,-37.8006,144.881,101, ,7500
Footscray,Maribyrnong City Council,-37.7975,144.8855,61,2971.014493, 
Glenroy,Moreland City Council,-37.6966,144.9331,71,789.4736842,6176.470588
Gowanbrae,Moreland City Council,-37.7089,144.8927, ,1013.024602, 
Gowanbrae,Moreland City Council,-37.7076,144.8961,17,2771.428571,3619.402985
Hadfield,Moreland City Council,-37.707,144.9411,9,2179.487179,4434.782609
Hughesdale,Monash City Council,-37.8942,145.0867,61, ,7583.333333
Keilor East,Brimbank City Council,-37.7504,144.8594, ,2850.678733, 
Keilor East,Brimbank City Council,-37.7452,144.8652,31,1179.378531,4538.043478
Keilor East,Brimbank City Council,-37.7517,144.8776,26,1602.272727,4519.230769
Kensington,Melbourne City Council,-37.7989,144.9275,134,6151.515152,10278.48101
Kensington,Melbourne City Council,-37.7893,144.933,131,3356.890459,7037.037037
Maidstone,Maribyrnong City Council,-37.7795,144.8729,10, ,5057.971014
Malvern,Stonnington City Council,-37.8511,145.0317,111,4591.054313,10886.36364
Malvern East,Stonnington City Council,-37.8807,145.0547,101,2735.714286,15198.4127
Malvern East,Stonnington City Council,-37.8743,145.0588,101,5059.88024, 
Maribyrnong,Maribyrnong City Council,-37.7855,144.8958,11,5728.476821,288333.3333
Maribyrnong,Maribyrnong City Council,-37.7752,144.8925, , , 
Maribyrnong,Maribyrnong City Council,-37.7822,144.892,17,2892.307692, 
Maribyrnong,Maribyrnong City Council,-37.7677,144.8925,12,5816.326531,4453.125
Middle Park,Port Phillip City Council,-37.8556,144.9669,51, ,10447.76119
Moonee Ponds,Moonee Valley City Council,-37.7702,144.9266, ,3208.430913, 
Moonee Ponds,Moonee Valley City Council,-37.7699,144.9149,131,3553.299492,8750
Moonee Ponds,Moonee Valley City Council,-37.7609,144.9285, ,2757.894737, 
Moonee Ponds,Moonee Valley City Council,-37.7682,144.9151, ,3144.082333, 
Newport,Hobsons Bay City Council,-37.8472,144.8754, ,2671.641791, 
Newport,Hobsons Bay City Council,-37.8441,144.8805,15,3474.178404,5826.771654
Newport,Hobsons Bay City Council,-37.839,144.8854,106,1567.043619,6423.84106
Newport,Hobsons Bay City Council,-37.8436,144.8691,14, ,4537.037037
Niddrie,Moonee Valley City Council,-37.7412,144.8888, ,1645.259939, 
Niddrie,Moonee Valley City Council,-37.7317,144.8751, ,1326.053042, 
North Melbourne,Melbourne City Council,-37.8004,144.9465,61, , 
North Melbourne,Melbourne City Council,-37.8022,144.9439,21, ,7214.285714
Northcote,Darebin City Council,-37.7752,145.0032,111,3639.846743,10919.54023
Northcote,Darebin City Council,-37.7667,144.9909,36,4673.684211,8705.882353
Northcote,Darebin City Council,-37.7638,144.9933,101,2881.355932,10515.46392
Northcote,Darebin City Council,-37.7684,145.0099, ,2729.411765, 
Northcote,Darebin City Council,-37.7642,144.9963,26,4850.574713,7962.264151
Northcote,Darebin City Council,-37.7792,144.9951, ,4151.785714, 
Parkville,Melbourne City Council,-37.7889,144.9421, , , 
Pascoe Vale,Moreland City Council,-37.7282,144.9462,101,1813.084112,6298.701299
Pascoe Vale,Moreland City Council,-37.7305,144.9397, , , 
Port Melbourne,Melbourne City Council,-37.8371,144.9478, ,8324.468085, 
Port Melbourne,Melbourne City Council,-37.8353,144.9442,141,11928.57143,9881.656805
Prahran,Stonnington City Council,-37.851,144.988,133, ,6973.684211
Prahran,Stonnington City Council,-37.8558,145.0072, ,5615.646259, 
Prahran,Stonnington City Council,-37.8529,145.0098, , , 
Preston,Darebin City Council,-37.7462,145.0044,111,3271.028037,8235.294118
Preston,Darebin City Council,-37.7386,144.9828, ,2052.980132, 
Preston,Darebin City Council,-37.7497,145.011,86,1782.945736,9484.536082
Reservoir,Darebin City Council,-37.7064,145.0321, ,1159.16955, 
Reservoir,Darebin City Council,-37.7104,145.0076,51,3615.384615,4883.116883
Reservoir,Darebin City Council,-37.7093,145.0084,61, ,4969.230769
Reservoir,Darebin City Council,-37.6983,144.9941,56,1290.322581,4657.534247
Reservoir,Darebin City Council,-37.7141,145.0047,14, ,5000
Reservoir,Darebin City Council,-37.7283,145.0072,8,1321.008403,4517.241379
Reservoir,Darebin City Council,-37.7261,144.9961,41,3196.721311,5270.27027
Reservoir,Darebin City Council,-37.7184,144.9962,61,1388.888889,7065.217391
Reservoir,Darebin City Council,-37.7156,144.9825, ,1088.709677, 
Richmond,Yarra City Council,-37.8126,145.0064,106,6476.190476,9066.666667
Richmond,Yarra City Council,-37.8238,145.0072,21, ,8281.818182
Richmond,Yarra City Council,-37.8152,144.9922,101,5516.544118,12452.28216
Richmond,Yarra City Council,-37.822,145.0104,13, ,8285.714286
Seddon,Maribyrnong City Council,-37.8057,144.8857,21, ,6969.69697
Seddon,Maribyrnong City Council,-37.8093,144.8941,75,2987.152034,9000
Seddon,Maribyrnong City Council,-37.8037,144.8874,111,4447.004608,9278.846154
South Melbourne,Port Phillip City Council,-37.8369,144.968,17, , 
South Melbourne,Port Phillip City Council,-37.8389,144.9612,121,14184.39716,13333.33333
South Melbourne,Port Phillip City Council,-37.8346,144.9673, , , 
South Yarra,Melbourne City Council,-37.8433,144.9962,8,701.6348774,7923.076923
Southbank,Melbourne City Council,-37.8245,144.9622,17, ,7456.140351
Spotswood,Hobsons Bay City Council,-37.8309,144.889,131,2354.107649,7623.853211
St Kilda,Port Phillip City Council,-37.8594,144.9828,81,737.1888726,6993.055556
St Kilda,Port Phillip City Council,-37.8592,144.981, , , 
St Kilda,Port Phillip City Council,-37.8617,144.9796,91, ,6105.263158
Strathmore,Moonee Valley City Council,-37.7376,144.9154,31,2355.848435,6383.928571
Strathmore,Moonee Valley City Council,-37.7298,144.9162, ,1213.527851, 
Sunshine,Brimbank City Council,-37.8005,144.822,56,865.248227,5169.491525
Sunshine,Brimbank City Council,-37.7796,144.8455,71, ,4761.904762
Sunshine North,Brimbank City Council,-37.7693,144.8351,46,1157.480315,3656.716418
Sunshine North,Brimbank City Council,-37.7696,144.84, ,1056.146179, 
Sunshine West,Brimbank City Council,-37.7836,144.7988,61,689.6551724,3243.243243
Sunshine West,Brimbank City Council,-37.7841,144.8052, ,782.3275862, 
Templestowe Lower,Manningham City Council,-37.77,145.1025,53,1344.873502,5771.428571
Thornbury,Darebin City Council,-37.7551,144.9993,11,4276.190476,8314.814815
Thornbury,Darebin City Council,-37.7583,145.0025,101,4288.194444,9285.714286
Thornbury,Darebin City Council,-37.759,144.988,11,5799.363057,6322.916667
Thornbury,Darebin City Council,-37.7574,144.9854,101,3042.813456,10364.58333
Thornbury,Darebin City Council,-37.7595,145.0061,121, ,10133.33333
Thornbury,Darebin City Council,-37.7591,145.0211,41, ,6312.5
Toorak,Stonnington City Council,-37.8493,145.0134, ,4887.218045, 
Williamstown,Hobsons Bay City Council,-37.8608,144.8803, ,3355.555556, 
Williamstown,Hobsons Bay City Council,-37.8621,144.8872,91,3873.390558,11281.25
Williamstown,Hobsons Bay City Council,-37.8525,144.8945,121,3667.752443,7506.666667
Williamstown,Hobsons Bay City Council,-37.8573,144.8911,19,4012.875536,4819.587629
Yarraville,Maribyrnong City Council,-37.8134,144.8745,81,1574.626866,9094.827586
Yarraville,Maribyrnong City Council,-37.8194,144.8826,7, ,4397.163121
Yarraville,Maribyrnong City Council,-37.8212,144.8887,111,1833.333333, 
Yarraville,Maribyrnong City Council,-37.8183,144.8666, ,1526.90583, 
Yarraville,Maribyrnong City Council,-37.8111,144.887,51, ,7340.425532
Yarraville,Maribyrnong City Council,-37.8202,144.8896,141,3958.333333,11309.52381
Yarraville,Maribyrnong City Council,-37.8196,144.8839, ,4727.722772, 
Yarraville,Maribyrnong City Council,-37.8152,144.8703, ,1525.046382, 
Brunswick East,Moreland City Council,-37.7671,144.9746, , , 
Brunswick East,Moreland City Council,-37.7664,144.9797,14,4684.52381,7603.864734
Burnley,Yarra City Council,-37.8283,145.012,121,5122.093023,9372.340426
Ormond,Glen Eira City Council,-37.8993,145.0447,51,1740.139211,9803.921569
Ormond,Glen Eira City Council,-37.9038,145.0454,51, , 
South Kingsville,Hobsons Bay City Council,-37.8307,144.8725,5,1382.175227,3452.830189
Airport West,Moonee Valley City Council,-37.7169,144.8815, ,1081.699346, 
Albert Park,Port Phillip City Council,-37.8427,144.9546,121,17500,17073.17073
Altona,Hobsons Bay City Council,-37.8684,144.815,14,2814.634146,5106.19469
Altona North,Hobsons Bay City Council,-37.8444,144.8491, ,1051.693405, 
Ascot Vale,Moonee Valley City Council,-37.7766,144.9185, ,3118.357488, 
Ascot Vale,Moonee Valley City Council,-37.7774,144.928,121,4154.411765,7197.452229
Avondale Heights,Moonee Valley City Council,-37.771,144.8586, ,1181.972789, 
Box Hill,Whitehorse City Council,-37.8248,145.1215, , , 
Box Hill,Whitehorse City Council,-37.8264,145.1248,101,1549.668874,12315.78947
Brunswick,Moreland City Council,-37.758,144.9724, ,2764.900662, 
Brunswick,Moreland City Council,-37.7646,144.9586,111,4378.881988,10367.64706
Brunswick,Moreland City Council,-37.7745,144.9558, ,5839.416058, 
Brunswick West,Moreland City Council,-37.757,144.9446, ,1970.29703, 
Brunswick West,Moreland City Council,-37.762,144.9497, ,2523.809524, 
Bulleen,Manningham City Council,-37.7735,145.088, ,2347.169811, 
Carnegie,Glen Eira City Council,-37.8927,145.0644, , , 
Carnegie,Glen Eira City Council,-37.8978,145.0506,25,3606.557377, 
Carnegie,Glen Eira City Council,-37.8993,145.0528,96,1862.582781,9375
Coburg,Darebin City Council,-37.7448,144.9478,101,1471.861472,9444.444444
Coburg,Darebin City Council,-37.7554,144.9648, ,4467.592593, 
Coburg,Darebin City Council,-37.7459,144.9773,101,1429.809359,6297.709924
Coburg,Darebin City Council,-37.7539,144.9612,121,3046.218487,5534.351145
Coburg,Darebin City Council,-37.7537,144.9766,121,2427.184466,5020.080321
Coburg North,Darebin City Council,-37.7263,144.9843, ,3064.516129, 
Doncaster,Manningham City Council,-37.7934,145.1207,56,1820.680628,7948.571429
Doncaster,Manningham City Council,-37.7887,145.1436,46,6746.268657,6647.058824
Elsternwick,Glen Eira City Council,-37.8849,144.9993,106,6088.435374,11049.38272
Essendon,Moonee Valley City Council,-37.7412,144.8974,81, ,6943.396226
Fairfield,Darebin City Council,-37.7713,145.0196,91,1690.47619, 
Fitzroy,Yarra City Council,-37.8035,144.9826, , , 
Fitzroy North,Moreland City Council,-37.7786,144.9846, ,4842.105263, 
Fitzroy North,Moreland City Council,-37.788,144.9791,131,9375,13020.83333
Flemington,Melbourne City Council,-37.7867,144.9249,106,2465.174129, 
Glenroy,Moreland City Council,-37.6975,144.9065,53,1023.890785,3773.584906
Gowanbrae,Moreland City Council,-37.7091,144.8958,16,2468.35443,2867.647059
Hadfield,Moreland City Council,-37.7091,144.9491, ,990.0990099, 
Hampton,Bayside City Council,-37.9336,144.9999,21,3773.584906,7213.114754
Keilor East,Brimbank City Council,-37.7378,144.8705,4,1309.52381,6547.619048
Keilor East,Brimbank City Council,-37.742,144.8523, ,1247.706422, 
Kensington,Melbourne City Council,-37.7948,144.9314,11, ,5476.190476
Kensington,Melbourne City Council,-37.7899,144.9231,19, ,4937.5
Maidstone,Maribyrnong City Council,-37.7829,144.8684, ,959.0792839, 
Maidstone,Maribyrnong City Council,-37.7776,144.8723, , ,4000
Malvern East,Stonnington City Council,-37.8764,145.0463,8, ,7142.857143
Maribyrnong,Maribyrnong City Council,-37.774,144.877,22,2320.132743,4280.408163
Melbourne,Melbourne City Council,-37.8159,144.972, , , 
Middle Park,Port Phillip City Council,-37.8551,144.968,111,8333.333333,14041.09589
Moonee Ponds,Moonee Valley City Council,-37.7638,144.9175,19,4416.961131,5630.630631
Moonee Ponds,Moonee Valley City Council,-37.7631,144.9357,21,5576.923077,5723.684211
Moonee Ponds,Moonee Valley City Council,-37.7712,144.9254, ,6022.556391, 
Newport,Hobsons Bay City Council,-37.8422,144.8784,91,2500,7740.384615
Newport,Hobsons Bay City Council,-37.8368,144.8768,21,2969.432314,6732.673267
Northcote,Darebin City Council,-37.7635,144.9934, , , 
Northcote,Darebin City Council,-37.764,144.9976,111,3990.228013,9074.074074
Pascoe Vale,Moreland City Council,-37.724,144.9501, ,1046.511628, 
Pascoe Vale,Moreland City Council,-37.7233,144.9507,7,3904.761905,4659.090909
Pascoe Vale,Moreland City Council,-37.7156,144.943,66,1077.199282,5405.405405
Prahran,Stonnington City Council,-37.8577,145.0053,121,5514.018692,5488.372093
Prahran,Stonnington City Council,-37.8513,144.9943,22, , 
Preston,Darebin City Council,-37.7456,145.0025, ,2542.372881, 
Reservoir,Darebin City Council,-37.7104,145.0257, ,13.81642512, 
Reservoir,Darebin City Council,-37.7208,145.0148, , , 
Reservoir,Darebin City Council,-37.7211,145.0147, ,2432.432432, 
Reservoir,Darebin City Council,-37.705,145.0152,7,1848.591549, 
Reservoir,Darebin City Council,-37.7086,145.0313, ,862.3910336, 
Reservoir,Darebin City Council,-37.7243,145.0014, ,724.7706422, 
Richmond,Yarra City Council,-37.8217,145.007,101,5288.461538,11702.12766
Seddon,Maribyrnong City Council,-37.8047,144.8948,101,6510.067114,7637.795276
South Melbourne,Port Phillip City Council,-37.8369,144.968,17, , 
South Melbourne,Port Phillip City Council,-37.8341,144.9541, ,10675.67568,395000
South Yarra,Melbourne City Council,-37.8319,144.9876,51, ,8378.378378
Southbank,Melbourne City Council,-37.8295,144.9692,8, , 
St Kilda,Port Phillip City Council,-37.8614,144.9793,91, ,7642.857143
Strathmore,Moonee Valley City Council,-37.736,144.9202, ,1853.846154, 
Strathmore,Moonee Valley City Council,-37.7296,144.9234, ,3543.046358, 
Templestowe Lower,Manningham City Council,-37.7611,145.1168, ,1422.087746, 
Toorak,Stonnington City Council,-37.8448,145.0123,16,7433.628319,12688.82175
Yarraville,Maribyrnong City Council,-37.8195,144.8973, ,2292.307692, 
Yarraville,Maribyrnong City Council,-37.8117,144.8873,111,2817.518248,12062.5
Yarraville,Maribyrnong City Council,-37.8198,144.8904, ,4446.153846, 
Brunswick East,Moreland City Council,-37.7723,144.9761,21,9596.153846,8457.627119
Brunswick East,Moreland City Council,-37.774,144.9731,7, ,7593.984962
Carlton,Melbourne City Council,-37.7998,144.9665, ,16528.45528, 
Murrumbeena,Glen Eira City Council,-37.8969,145.0654,13,546.2822458, 
Ormond,Glen Eira City Council,-37.9061,145.0478,23,2460.732984,6861.313869
Abbotsford,Yarra City Council,-37.8041,144.9953, ,5198.895028, 
Abbotsford,Yarra City Council,-37.8024,144.9993,111,7657.142857,8933.333333
Airport West,Moonee Valley City Council,-37.7239,144.8735,41,742.8278689,3897.849462
Airport West,Moonee Valley City Council,-37.7216,144.871,6,4090.909091,5000
Albert Park,Port Phillip City Council,-37.8405,144.9521, ,9281.437126, 
Albert Park,Port Phillip City Council,-37.8447,144.9523,141,15032.67974,12777.77778
Altona,Hobsons Bay City Council,-37.8616,144.8116,66,1096.345515,5365.853659
Altona North,Hobsons Bay City Council,-37.838,144.8555,51,1792.682927,4983.050847
Armadale,Stonnington City Council,-37.8638,145.0229, ,2200.577201, 
Armadale,Stonnington City Council,-37.8543,145.0262,51,347.8466635,52500
Armadale,Stonnington City Council,-37.8528,145.0268, , , 
Armadale,Stonnington City Council,-37.8566,145.0116, ,6447.154472, 
Ascot Vale,Moonee Valley City Council,-37.7759,144.91,117,2771.428571,7760
Ascot Vale,Moonee Valley City Council,-37.773,144.9049, ,2848.484848, 
Ascot Vale,Moonee Valley City Council,-37.7807,144.9288,131,6364.40678,9506.329114
Ascot Vale,Moonee Valley City Council,-37.7731,144.9206,121,5491.32948,9313.72549
Ashwood,Monash City Council,-37.8642,145.1109, ,1549.100968, 
Avondale Heights,Moonee Valley City Council,-37.7537,144.8729, ,1470.215463, 
Balaclava,Port Phillip City Council,-37.8733,144.997, , , 
Bentleigh,Glen Eira City Council,-37.9134,145.0263,81,2654.867257,6756.756757
Bentleigh East,Glen Eira City Council,-37.9119,145.0705,51,1664.383562,11045.45455
Bentleigh East,Glen Eira City Council,-37.9358,145.0688,61,1938.610662,6282.722513
Bentleigh East,Glen Eira City Council,-37.9284,145.0668,71,1674.641148,7500
Bentleigh East,Glen Eira City Council,-37.9209,145.0757,71,1537.216828,6506.849315
Bentleigh East,Glen Eira City Council,-37.9212,145.0674,51, ,4871.794872
Bentleigh East,Glen Eira City Council,-37.9232,145.0537, ,4076.923077,7919.54023
Bentleigh East,Glen Eira City Council,-37.9069,145.0568, ,2143.950995, 
Bentleigh East,Glen Eira City Council,-37.9309,145.0685, ,1681.184669, 
Bentleigh East,Glen Eira City Council,-37.9231,145.066,51,2193.442623,7559.322034
Bentleigh East,Glen Eira City Council,-37.9262,145.055, ,2266.288952, 
Bentleigh East,Glen Eira City Council,-37.9223,145.0747,61,2456.603774,4340
Bentleigh East,Glen Eira City Council,-37.9272,145.0804,66,1578.044597, 
Bentleigh East,Glen Eira City Council,-37.9256,145.0757,61,2355.932203,11779.66102
Brighton,Bayside City Council,-37.9118,144.9984,16,5402.750491,8064.516129
Brighton,Bayside City Council,-37.9157,144.9973,51,3846.982759,9701.086957
Brighton,Bayside City Council,-37.8954,145.0017,111,3900,10888.32487
Brighton,Bayside City Council,-37.9241,145.0008,21,4466.197183,9326.470588
Brighton,Bayside City Council,-37.9249,144.9903, ,2744.252874, 
Brighton,Bayside City Council,-37.9045,145.0043, , , 
Brighton,Bayside City Council,-37.9119,144.9871, , , 
Brighton,Bayside City Council,-37.9119,145.0037, ,6322.033898, 
Brighton East,Bayside City Council,-37.9117,145.0093, ,2911.208151, 
Brighton East,Bayside City Council,-37.9177,145.0143,71,2283.849918,7692.307692
Brighton East,Bayside City Council,-37.927,145.0267, ,2100.161551, 
Brighton East,Bayside City Council,-37.9084,145.0221,76,2597.402597,6530.612245
Brighton East,Bayside City Council,-37.9205,145.0102,86,2803.149606,14957.98319
Brighton East,Bayside City Council,-37.932,145.0284,101,1548.387097,4444.444444
Brunswick,Moreland City Council,-37.7759,144.9578,141,3075.117371, 
Brunswick,Moreland City Council,-37.7772,144.9653, ,9052.631579,8865.979381
Brunswick,Moreland City Council,-37.7742,144.9542,131,4723.463687,9394.444444
Brunswick,Moreland City Council,-37.7742,144.9541,111,4751.381215, 
Brunswick,Moreland City Council,-37.7588,144.9646,12, ,7756.410256
Brunswick,Moreland City Council,-37.7653,144.9586,91,3256.17284, 
Brunswick,Moreland City Council,-37.7643,144.9638,46, ,7295.081967
Brunswick West,Moreland City Council,-37.7586,144.9452,21, ,6309.52381
Brunswick West,Moreland City Council,-37.7659,144.9494,91,4340.909091,10268.8172
Bulleen,Manningham City Council,-37.779,145.101,56,1729.032258, 
Bulleen,Manningham City Council,-37.7724,145.1033,51,1694.329184,7704.402516
Burwood,Monash City Council,-37.842,145.102,25,2155.172414,8733.624454
Carlton North,Melbourne City Council,-37.7811,144.9715,111,5911.823647,17987.80488
Carlton North,Melbourne City Council,-37.7808,144.9736,101,5203.349282,13343.55828
Carnegie,Glen Eira City Council,-37.8945,145.0648,98,2130.492676,40000
Carnegie,Glen Eira City Council,-37.8988,145.0516, ,2537.960954, 
Carnegie,Glen Eira City Council,-37.8983,145.0627,53, , 
Caulfield North,Glen Eira City Council,-37.8694,145.0296,7,5554.01662,8459.915612
Caulfield South,Glen Eira City Council,-37.8906,145.0224,111,4966.216216, 
Caulfield South,Glen Eira City Council,-37.9002,145.027, , , 
Coburg,Darebin City Council,-37.7372,144.9764, , ,3273.809524
Coburg,Darebin City Council,-37.7432,144.9474, ,1909.722222, 
Coburg North,Darebin City Council,-37.7201,144.9696,71,1118.210863,6481.481481
Doncaster,Manningham City Council,-37.7869,145.1183,61,2019.459459,8568.807339
Doncaster,Manningham City Council,-37.7798,145.1319, ,1404.580153, 
Doncaster,Manningham City Council,-37.7815,145.1279,26,3312.302839,5412.371134
Elsternwick,Glen Eira City Council,-37.8885,145.0133,116,4488.491049,10144.50867
Elsternwick,Glen Eira City Council,-37.8916,145.0123,111,2862.985685,9333.333333
Elwood,Port Phillip City Council,-37.8785,144.9885,56, ,7140
Elwood,Port Phillip City Council,-37.8818,144.9918, , , 
Essendon,Moonee Valley City Council,-37.7528,144.8967, ,1810.344828, 
Essendon,Moonee Valley City Council,-37.7502,144.8923,71,1749.226006,11300
Fairfield,Darebin City Council,-37.7689,145.0177,71,2271.880819,13260.86957
Fairfield,Darebin City Council,-37.7735,145.0192,131,3044.619423,8000
Fitzroy,Yarra City Council,-37.7988,144.9772, , , 
Footscray,Maribyrnong City Council,-37.7978,144.8918,51,437.593985,6326.086957
